timestamp,q0,q1,q2,q3,q4,q5,x,y,z,rx,ry,rz,dx,dy,dz,drx,dry,drz,aperture,d_aperture,contact_force,applied_force,d_applied_force,task,img,wrist_img
1726695143.13649,0.896762,-1.849656,1.828619,-2.011833,-1.263878,-0.484725,-0.140976,-0.39274,0.477373,-2.596728,0.025706,3.035538,-2e-06,-1.2e-05,4e-06,-4.7e-05,-2.7e-05,3.7e-05,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,"[[[109  65  26]
  [108  64  25]
  [108  63  22]
  ...
  [116  93  52]
  [119  94  54]
  [117  92  52]]

 [[110  66  27]
  [109  65  26]
  [108  63  22]
  ...
  [116  92  54]
  [119  93  56]
  [116  90  53]]

 [[111  66  27]
  [110  65  26]
  [110  62  24]
  ...
  [116  92  56]
  [119  93  60]
  [118  92  59]]

 ...

 [[194 153 109]
  [194 153 109]
  [193 152 108]
  ...
  [146 139 120]
  [146 139 120]
  [150 143 124]]

 [[193 155 110]
  [193 155 110]
  [194 153 109]
  ...
  [146 139 120]
  [145 140 120]
  [146 141 121]]

 [[193 155 110]
  [194 156 111]
  [195 154 110]
  ...
  [144 137 118]
  [143 138 118]
  [144 139 119]]]","[[[ 52  63  55]
  [ 53  64  56]
  [ 53  64  58]
  ...
  [138 133 137]
  [139 134 138]
  [140 135 139]]

 [[ 53  64  56]
  [ 54  65  57]
  [ 53  64  58]
  ...
  [139 134 138]
  [140 135 139]
  [140 135 139]]

 [[ 54  65  59]
  [ 55  66  60]
  [ 56  65  60]
  ...
  [140 135 139]
  [140 135 139]
  [140 135 139]]

 ...

 [[ 54  60  60]
  [ 55  61  59]
  [ 53  62  59]
  ...
  [ 75  77  64]
  [ 72  74  61]
  [ 72  74  61]]

 [[ 53  58  61]
  [ 54  60  60]
  [ 53  62  61]
  ...
  [ 69  71  58]
  [ 69  71  58]
  [ 72  74  61]]

 [[ 52  57  60]
  [ 53  58  61]
  [ 51  60  59]
  ...
  [ 65  67  54]
  [ 64  66  53]
  [ 71  73  60]]]"
1726695143.23249,0.896798,-1.84926,1.82881,-2.012733,-1.263974,-0.484762,-0.141077,-0.392878,0.477224,-2.596508,0.025447,3.035574,-2.9e-05,-8.8e-05,-0.00016,-0.000267,0.000232,1e-06,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,"[[[109  65  26]
  [108  64  25]
  [108  63  22]
  ...
  [116  93  52]
  [119  94  54]
  [117  92  52]]

 [[110  66  27]
  [109  65  26]
  [108  63  22]
  ...
  [116  92  54]
  [119  93  56]
  [116  90  53]]

 [[111  66  27]
  [110  65  26]
  [110  62  24]
  ...
  [116  92  56]
  [119  93  60]
  [118  92  59]]

 ...

 [[194 153 109]
  [194 153 109]
  [193 152 108]
  ...
  [146 139 120]
  [146 139 120]
  [150 143 124]]

 [[193 155 110]
  [193 155 110]
  [194 153 109]
  ...
  [146 139 120]
  [145 140 120]
  [146 141 121]]

 [[193 155 110]
  [194 156 111]
  [195 154 110]
  ...
  [144 137 118]
  [143 138 118]
  [144 139 119]]]","[[[ 57  61  60]
  [ 59  63  62]
  [ 59  63  62]
  ...
  [140 138 141]
  [139 137 140]
  [140 138 141]]

 [[ 58  62  61]
  [ 58  62  61]
  [ 57  61  60]
  ...
  [139 137 140]
  [139 137 140]
  [141 139 142]]

 [[ 60  64  65]
  [ 56  60  61]
  [ 55  59  60]
  ...
  [136 134 137]
  [137 135 138]
  [139 137 140]]

 ...

 [[ 51  61  50]
  [ 52  62  51]
  [ 53  63  54]
  ...
  [ 69  71  58]
  [ 71  73  60]
  [ 71  73  60]]

 [[ 51  61  50]
  [ 52  62  51]
  [ 53  63  54]
  ...
  [ 64  66  53]
  [ 67  69  55]
  [ 70  72  58]]

 [[ 50  60  49]
  [ 52  62  51]
  [ 53  63  54]
  ...
  [ 62  64  51]
  [ 66  68  54]
  [ 69  71  57]]]"
1726695143.32849,0.897636,-1.842855,1.832487,-2.023286,-1.264334,-0.48403,-0.142439,-0.395087,0.47406,-2.596289,0.025314,3.035703,-2.5e-05,-0.000137,-0.000298,-0.000484,0.000366,-0.000128,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,"[[[112  67  26]
  [112  67  26]
  [111  66  25]
  ...
  [116  90  63]
  [117  90  61]
  [120  93  64]]

 [[111  66  27]
  [110  65  26]
  [109  64  25]
  ...
  [117  91  64]
  [118  91  62]
  [121  94  65]]

 [[111  65  29]
  [108  62  26]
  [107  61  25]
  ...
  [117  92  62]
  [118  91  62]
  [120  93  64]]

 ...

 [[195 152 109]
  [196 153 110]
  [198 155 112]
  ...
  [148 137 117]
  [150 139 117]
  [154 143 121]]

 [[197 154 111]
  [196 153 110]
  [197 154 111]
  ...
  [148 135 116]
  [150 138 116]
  [151 139 117]]

 [[198 155 112]
  [194 151 108]
  [195 152 109]
  ...
  [150 137 118]
  [153 141 119]
  [152 140 118]]]","[[[ 52  68  68]
  [ 51  67  67]
  [ 51  65  65]
  ...
  [138 133 137]
  [140 135 139]
  [142 137 141]]

 [[ 50  66  66]
  [ 50  66  66]
  [ 50  64  64]
  ...
  [140 135 139]
  [140 135 139]
  [141 136 140]]

 [[ 50  64  65]
  [ 49  63  64]
  [ 49  63  64]
  ...
  [140 135 139]
  [140 135 139]
  [141 136 140]]

 ...

 [[ 52  61  60]
  [ 52  61  58]
  [ 52  61  56]
  ...
  [ 72  75  64]
  [ 70  76  66]
  [ 69  77  66]]

 [[ 51  60  59]
  [ 53  62  59]
  [ 54  63  58]
  ...
  [ 66  69  58]
  [ 66  72  62]
  [ 68  74  64]]

 [[ 50  59  58]
  [ 53  62  59]
  [ 55  64  59]
  ...
  [ 62  65  54]
  [ 63  69  59]
  [ 64  70  60]]]"
1726695143.42449,0.899564,-1.828679,1.840437,-2.045351,-1.265148,-0.482135,-0.145316,-0.399874,0.466937,-2.596753,0.025742,3.035784,1.2e-05,-7e-05,-7.8e-05,-1.9e-05,-6.2e-05,-0.000211,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,"[[[115  64  35]
  [113  62  31]
  [113  63  30]
  ...
  [120  94  59]
  [119  93  60]
  [117  91  58]]

 [[115  64  35]
  [114  63  32]
  [114  64  31]
  ...
  [118  92  57]
  [119  93  60]
  [118  92  59]]

 [[114  65  35]
  [113  64  32]
  [113  64  31]
  ...
  [118  92  59]
  [120  93  63]
  [119  92  62]]

 ...

 [[195 153 111]
  [196 154 112]
  [196 154 112]
  ...
  [146 138 115]
  [146 138 115]
  [147 139 116]]

 [[196 154 112]
  [197 155 113]
  [197 155 113]
  ...
  [146 139 113]
  [147 140 114]
  [149 142 116]]

 [[195 153 111]
  [195 153 111]
  [195 153 111]
  ...
  [144 137 111]
  [148 141 115]
  [150 143 117]]]","[[[ 56  66  65]
  [ 54  64  63]
  [ 54  64  63]
  ...
  [139 136 131]
  [141 138 133]
  [140 137 132]]

 [[ 58  68  67]
  [ 55  65  64]
  [ 54  64  63]
  ...
  [138 135 130]
  [141 138 133]
  [142 139 134]]

 [[ 59  68  67]
  [ 56  65  64]
  [ 55  64  63]
  ...
  [138 134 131]
  [141 137 134]
  [142 138 135]]

 ...

 [[ 57  63  59]
  [ 56  62  58]
  [ 56  62  58]
  ...
  [ 72  74  61]
  [ 72  74  61]
  [ 68  70  57]]

 [[ 56  62  58]
  [ 55  61  57]
  [ 55  61  57]
  ...
  [ 67  69  56]
  [ 69  71  60]
  [ 67  69  58]]

 [[ 55  61  57]
  [ 55  61  57]
  [ 55  61  57]
  ...
  [ 58  60  47]
  [ 65  67  56]
  [ 67  69  58]]]"
1726695143.52049,0.90251,-1.806898,1.85131,-2.078988,-1.266597,-0.479088,-0.14955,-0.407025,0.456489,-2.596644,0.025746,3.035708,-7.5e-05,-0.000102,-0.000136,-0.000125,-6.4e-05,-0.000136,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,"[[[112  67  26]
  [109  64  23]
  [109  61  25]
  ...
  [118  92  65]
  [118  92  65]
  [119  93  66]]

 [[111  66  25]
  [110  65  24]
  [112  64  28]
  ...
  [117  91  64]
  [117  91  64]
  [117  91  64]]

 [[108  63  22]
  [109  64  23]
  [112  64  28]
  ...
  [118  93  63]
  [118  92  65]
  [119  93  66]]

 ...

 [[195 153 111]
  [195 153 111]
  [196 154 112]
  ...
  [150 139 121]
  [150 139 121]
  [152 141 123]]

 [[196 154 112]
  [196 154 112]
  [196 154 112]
  ...
  [147 136 118]
  [150 139 121]
  [150 139 121]]

 [[196 154 112]
  [196 154 112]
  [196 154 112]
  ...
  [147 136 118]
  [150 139 121]
  [145 134 116]]]","[[[ 60  66  66]
  [ 58  64  64]
  [ 57  63  61]
  ...
  [138 134 135]
  [139 135 134]
  [140 136 135]]

 [[ 60  66  66]
  [ 58  64  64]
  [ 57  63  63]
  ...
  [137 133 134]
  [138 134 133]
  [139 135 134]]

 [[ 60  68  70]
  [ 59  68  67]
  [ 59  68  67]
  ...
  [138 134 135]
  [138 134 135]
  [138 134 135]]

 ...

 [[ 53  62  61]
  [ 54  63  62]
  [ 54  63  62]
  ...
  [ 61  63  50]
  [ 68  70  57]
  [ 70  72  59]]

 [[ 53  61  63]
  [ 54  62  64]
  [ 54  63  62]
  ...
  [ 60  62  49]
  [ 66  68  55]
  [ 68  70  57]]

 [[ 54  62  64]
  [ 54  62  64]
  [ 55  64  63]
  ...
  [ 61  63  50]
  [ 65  67  54]
  [ 65  67  54]]]"
1726695143.61649,0.906163,-1.776208,1.864135,-2.123655,-1.268405,-0.475382,-0.155303,-0.41665,0.442423,-2.596555,0.025758,3.035685,-0.000124,-0.000123,-0.000177,-0.000211,-7.4e-05,-0.000116,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,"[[[118  62  27]
  [118  62  27]
  [115  61  25]
  ...
  [124  94  58]
  [127  93  58]
  [128  94  59]]

 [[117  61  26]
  [116  62  26]
  [113  59  23]
  ...
  [122  92  56]
  [124  89  57]
  [125  91  56]]

 [[116  62  28]
  [114  61  27]
  [111  58  24]
  ...
  [123  93  59]
  [122  87  57]
  [126  91  59]]

 ...

 [[196 153 110]
  [196 153 110]
  [196 153 110]
  ...
  [150 139 117]
  [147 139 116]
  [145 137 114]]

 [[197 154 111]
  [197 154 111]
  [197 154 111]
  ...
  [148 141 115]
  [147 140 114]
  [146 139 113]]

 [[197 154 111]
  [197 154 111]
  [196 153 110]
  ...
  [145 138 112]
  [145 138 112]
  [145 138 112]]]","[[[ 55  67  63]
  [ 53  65  61]
  [ 52  64  60]
  ...
  [139 135 136]
  [137 133 134]
  [136 132 133]]

 [[ 54  66  62]
  [ 54  66  62]
  [ 53  65  61]
  ...
  [140 136 137]
  [137 133 134]
  [135 131 132]]

 [[ 53  65  61]
  [ 54  66  62]
  [ 54  66  62]
  ...
  [141 137 138]
  [138 134 135]
  [136 132 133]]

 ...

 [[ 57  62  58]
  [ 57  62  58]
  [ 55  60  56]
  ...
  [ 57  60  51]
  [ 55  56  48]
  [ 55  56  48]]

 [[ 59  61  58]
  [ 60  62  59]
  [ 58  63  59]
  ...
  [ 53  56  47]
  [ 53  54  46]
  [ 53  54  46]]

 [[ 60  62  59]
  [ 61  63  60]
  [ 60  65  61]
  ...
  [ 51  54  45]
  [ 56  57  49]
  [ 58  59  51]]]"
1726695143.712489,0.910319,-1.735503,1.877403,-2.178531,-1.270692,-0.471111,-0.162614,-0.428731,0.424649,-2.596884,0.025861,3.03552,-6.6e-05,-9.9e-05,-3.5e-05,0.000122,-0.000175,4.5e-05,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,"[[[115  63  41]
  [114  62  38]
  [111  61  36]
  ...
  [120  93  64]
  [121  94  65]
  [123  96  67]]

 [[115  63  41]
  [113  61  37]
  [111  61  34]
  ...
  [119  92  63]
  [119  92  63]
  [120  93  64]]

 [[114  62  38]
  [113  62  35]
  [112  62  35]
  ...
  [118  91  62]
  [119  92  63]
  [119  92  63]]

 ...

 [[195 153 111]
  [195 153 111]
  [195 154 110]
  ...
  [149 141 122]
  [147 139 120]
  [148 140 121]]

 [[195 153 111]
  [195 153 111]
  [195 154 110]
  ...
  [147 139 120]
  [146 138 119]
  [147 139 120]]

 [[194 152 110]
  [194 152 110]
  [194 153 109]
  ...
  [146 138 119]
  [145 137 118]
  [145 137 118]]]","[[[ 57  67  59]
  [ 57  67  59]
  [ 57  67  59]
  ...
  [144 139 143]
  [140 136 137]
  [135 131 132]]

 [[ 54  64  56]
  [ 54  64  56]
  [ 54  64  56]
  ...
  [142 137 141]
  [139 135 136]
  [136 132 133]]

 [[ 54  65  59]
  [ 53  64  58]
  [ 53  64  58]
  ...
  [142 137 141]
  [139 135 136]
  [138 134 135]]

 ...

 [[ 55  64  61]
  [ 56  65  62]
  [ 56  65  62]
  ...
  [ 60  61  53]
  [ 61  63  52]
  [ 62  64  53]]

 [[ 54  63  62]
  [ 56  65  64]
  [ 55  64  61]
  ...
  [ 55  56  48]
  [ 57  59  48]
  [ 60  62  51]]

 [[ 54  63  62]
  [ 56  65  64]
  [ 55  64  61]
  ...
  [ 52  53  45]
  [ 53  54  46]
  [ 57  59  48]]]"
1726695143.808489,0.914451,-1.69004,1.887869,-2.235623,-1.272919,-0.466924,-0.170347,-0.441553,0.405872,-2.59694,0.025853,3.035447,-4.8e-05,-0.000104,-1.7e-05,0.000182,-0.000165,0.000116,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,"[[[115  68  24]
  [112  67  25]
  [107  62  21]
  ...
  [118  92  65]
  [120  94  67]
  [121  95  68]]

 [[114  67  25]
  [111  66  24]
  [106  62  23]
  ...
  [118  92  65]
  [118  92  65]
  [119  93  66]]

 [[111  66  25]
  [110  65  24]
  [105  61  22]
  ...
  [118  92  65]
  [117  91  64]
  [117  91  64]]

 ...

 [[192 154 109]
  [192 154 109]
  [192 154 109]
  ...
  [147 139 120]
  [147 139 120]
  [149 141 122]]

 [[194 156 111]
  [194 156 111]
  [192 154 109]
  ...
  [146 137 120]
  [146 138 119]
  [148 140 121]]

 [[195 157 112]
  [195 157 112]
  [192 154 109]
  ...
  [144 135 118]
  [145 137 118]
  [148 140 121]]]","[[[ 54  66  66]
  [ 54  66  66]
  [ 53  65  63]
  ...
  [142 139 134]
  [141 138 133]
  [141 138 133]]

 [[ 54  66  66]
  [ 54  66  66]
  [ 54  66  64]
  ...
  [141 138 133]
  [141 138 133]
  [141 138 133]]

 [[ 55  67  67]
  [ 56  68  68]
  [ 56  68  66]
  ...
  [141 137 134]
  [141 137 134]
  [142 138 135]]

 ...

 [[ 54  63  58]
  [ 54  63  58]
  [ 54  63  58]
  ...
  [ 52  56  41]
  [ 53  57  42]
  [ 57  61  46]]

 [[ 55  64  61]
  [ 54  63  60]
  [ 54  63  60]
  ...
  [ 51  55  40]
  [ 51  55  41]
  [ 56  60  46]]

 [[ 54  63  60]
  [ 54  63  60]
  [ 53  62  59]
  ...
  [ 52  56  41]
  [ 51  55  41]
  [ 55  59  45]]]"
1726695143.904489,0.918355,-1.642276,1.894491,-2.291268,-1.274871,-0.463147,-0.178082,-0.454442,0.387139,-2.596759,0.025809,3.035608,-2.9e-05,-4.2e-05,-4.3e-05,6e-06,-0.000119,-4.9e-05,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,"[[[114  67  37]
  [111  64  34]
  [111  64  34]
  ...
  [121  90  61]
  [121  90  61]
  [123  92  63]]

 [[112  65  35]
  [108  61  31]
  [107  60  30]
  ...
  [120  89  60]
  [120  89  60]
  [122  91  62]]

 [[110  64  31]
  [108  62  29]
  [107  61  28]
  ...
  [121  92  62]
  [121  92  62]
  [122  93  63]]

 ...

 [[193 155 108]
  [193 155 108]
  [193 155 108]
  ...
  [152 141 123]
  [148 137 119]
  [150 139 121]]

 [[190 152 103]
  [192 154 105]
  [193 155 106]
  ...
  [149 138 120]
  [145 137 118]
  [145 137 118]]

 [[191 153 104]
  [193 155 106]
  [193 155 106]
  ...
  [150 139 121]
  [147 139 120]
  [148 140 121]]]","[[[ 55  70  65]
  [ 53  68  63]
  [ 53  68  61]
  ...
  [141 137 138]
  [141 137 138]
  [140 136 137]]

 [[ 54  69  64]
  [ 53  68  63]
  [ 52  67  60]
  ...
  [141 137 138]
  [141 137 138]
  [140 136 137]]

 [[ 53  68  63]
  [ 52  67  62]
  [ 52  67  62]
  ...
  [142 138 139]
  [142 138 139]
  [141 137 138]]

 ...

 [[ 57  60  53]
  [ 56  59  52]
  [ 57  62  56]
  ...
  [ 53  56  47]
  [ 56  59  50]
  [ 56  59  50]]

 [[ 58  60  55]
  [ 56  58  53]
  [ 55  60  54]
  ...
  [ 51  57  45]
  [ 50  56  44]
  [ 51  57  45]]

 [[ 60  62  57]
  [ 56  58  53]
  [ 53  58  52]
  ...
  [ 52  58  46]
  [ 49  55  43]
  [ 52  58  46]]]"
1726695144.000489,0.921972,-1.592644,1.897641,-2.344964,-1.276726,-0.459536,-0.185798,-0.467287,0.368311,-2.596808,0.025945,3.035643,-2.9e-05,-2.4e-05,2.5e-05,5.9e-05,-0.000252,-8.8e-05,81.999298,0.0,0.0,0.0,0.0,moving to grasp circuit board,"[[[111  66  27]
  [110  65  26]
  [111  63  23]
  ...
  [119  94  63]
  [119  94  63]
  [121  96  65]]

 [[110  65  26]
  [108  63  22]
  [110  62  22]
  ...
  [118  93  62]
  [118  93  62]
  [119  94  63]]

 [[111  63  23]
  [109  61  21]
  [109  60  20]
  ...
  [117  92  61]
  [117  92  61]
  [119  94  63]]

 ...

 [[194 151 108]
  [196 153 110]
  [195 154 110]
  ...
  [148 135 118]
  [149 136 119]
  [150 137 120]]

 [[194 151 108]
  [196 153 110]
  [195 153 111]
  ...
  [149 133 117]
  [152 136 120]
  [152 136 120]]

 [[195 152 109]
  [197 154 111]
  [195 153 111]
  ...
  [149 133 117]
  [152 136 120]
  [152 136 120]]]","[[[ 53  62  61]
  [ 53  62  61]
  [ 54  63  62]
  ...
  [141 137 138]
  [140 136 137]
  [139 135 136]]

 [[ 54  63  62]
  [ 55  64  63]
  [ 55  64  63]
  ...
  [143 139 140]
  [143 139 140]
  [143 139 140]]

 [[ 56  65  64]
  [ 56  65  64]
  [ 56  65  64]
  ...
  [140 136 137]
  [141 137 138]
  [141 137 138]]

 ...

 [[ 49  58  53]
  [ 51  60  55]
  [ 50  59  54]
  ...
  [ 53  53  45]
  [ 51  51  43]
  [ 54  54  46]]

 [[ 52  59  52]
  [ 52  59  52]
  [ 51  57  53]
  ...
  [ 57  54  47]
  [ 55  52  43]
  [ 55  52  43]]

 [[ 53  60  53]
  [ 51  58  51]
  [ 50  56  52]
  ...
  [ 60  57  50]
  [ 59  55  46]
  [ 56  52  43]]]"
