timestamp,q0,q1,q2,q3,q4,q5,x,y,z,rx,ry,rz,dx,dy,dz,drx,dry,drz,aperture,d_aperture,contact_force,applied_force,d_applied_force,task,img,wrist_img
1726693682.969267,0.89681,-1.849572,1.828583,-2.011797,-1.263914,-0.48469,-0.14098,-0.39277,0.477353,-2.596816,0.025742,3.035537,0.0,1e-06,2.7e-05,-1e-05,-6e-06,2e-05,10.633035,0.0,0.0,0.0,0.0,moving to grasp light green chip,"[[[109  61  25]
  [108  62  26]
  [105  59  26]
  ...
  [119  88  57]
  [119  88  59]
  [121  90  61]]

 [[109  61  25]
  [107  61  27]
  [105  59  26]
  ...
  [118  87  56]
  [119  88  59]
  [121  90  61]]

 [[108  59  26]
  [107  61  27]
  [105  59  26]
  ...
  [118  89  59]
  [118  88  60]
  [120  90  62]]

 ...

 [[191 149 107]
  [190 148 106]
  [192 150 108]
  ...
  [144 135 118]
  [144 135 118]
  [146 137 120]]

 [[191 149 109]
  [192 150 110]
  [194 152 110]
  ...
  [144 135 118]
  [144 135 118]
  [146 137 120]]

 [[191 149 109]
  [193 151 111]
  [195 153 111]
  ...
  [145 136 119]
  [145 136 119]
  [146 137 120]]]","[[[ 52  64  64]
  [ 50  62  62]
  [ 51  63  63]
  ...
  [131 131 133]
  [130 130 132]
  [133 133 135]]

 [[ 54  66  66]
  [ 52  64  64]
  [ 52  64  64]
  ...
  [132 132 134]
  [131 131 133]
  [132 132 134]]

 [[ 53  65  65]
  [ 51  63  63]
  [ 51  63  63]
  ...
  [132 132 134]
  [130 130 132]
  [131 131 133]]

 ...

 [[ 49  61  61]
  [ 49  61  61]
  [ 51  63  63]
  ...
  [ 66  69  62]
  [ 66  69  62]
  [ 67  70  63]]

 [[ 46  60  60]
  [ 47  61  61]
  [ 48  62  62]
  ...
  [ 62  65  58]
  [ 61  64  57]
  [ 62  65  58]]

 [[ 45  59  59]
  [ 47  61  61]
  [ 47  61  61]
  ...
  [ 60  63  56]
  [ 58  61  54]
  [ 58  61  54]]]"
1726693683.065267,0.896941,-1.84932,1.82869,-2.012325,-1.263926,-0.48469,-0.140998,-0.392875,0.477262,-2.596679,0.025642,3.03567,-3.8e-05,-4.6e-05,-8.1e-05,-0.000147,9.3e-05,-0.000114,10.633035,0.0,0.0,0.0,0.0,moving to grasp light green chip,"[[[104  62  20]
  [104  62  20]
  [103  61  23]
  ...
  [113  89  53]
  [113  89  51]
  [115  92  51]]

 [[107  65  23]
  [106  64  24]
  [104  62  24]
  ...
  [115  91  55]
  [114  90  52]
  [115  92  51]]

 [[107  63  24]
  [105  61  22]
  [102  60  22]
  ...
  [117  91  56]
  [116  92  54]
  [115  91  53]]

 ...

 [[191 150 106]
  [191 150 106]
  [190 149 105]
  ...
  [144 136 117]
  [144 136 117]
  [145 137 118]]

 [[192 150 108]
  [191 149 107]
  [191 150 106]
  ...
  [144 136 117]
  [144 136 117]
  [144 136 117]]

 [[191 149 107]
  [191 149 107]
  [192 151 107]
  ...
  [144 136 117]
  [144 136 117]
  [143 135 116]]]","[[[ 46  66  67]
  [ 46  66  67]
  [ 47  65  65]
  ...
  [129 129 131]
  [128 128 130]
  [131 131 133]]

 [[ 45  65  66]
  [ 46  66  67]
  [ 47  65  65]
  ...
  [130 130 132]
  [128 128 130]
  [130 130 132]]

 [[ 47  65  65]
  [ 47  65  65]
  [ 49  65  65]
  ...
  [131 131 133]
  [129 129 131]
  [130 130 132]]

 ...

 [[ 56  61  64]
  [ 55  60  63]
  [ 55  60  63]
  ...
  [ 60  70  62]
  [ 63  72  67]
  [ 64  73  68]]

 [[ 54  59  62]
  [ 55  60  63]
  [ 55  60  63]
  ...
  [ 56  66  58]
  [ 58  68  60]
  [ 59  69  61]]

 [[ 51  56  59]
  [ 52  57  60]
  [ 52  57  60]
  ...
  [ 55  65  57]
  [ 55  65  57]
  [ 55  65  57]]]"
1726693683.161267,0.898749,-1.843395,1.83184,-2.022313,-1.264729,-0.483082,-0.14189,-0.395058,0.474481,-2.596318,0.02539,3.035823,0.0,-0.000135,-0.000275,-0.000507,0.000346,-0.000267,10.633035,0.0,0.0,0.0,0.0,moving to grasp light green chip,"[[[114  59  28]
  [112  59  28]
  [112  58  30]
  ...
  [121  90  61]
  [124  90  62]
  [124  90  62]]

 [[115  60  29]
  [112  59  27]
  [109  58  29]
  ...
  [119  88  59]
  [120  86  58]
  [120  86  58]]

 [[114  61  27]
  [111  58  26]
  [109  58  29]
  ...
  [120  89  60]
  [119  88  59]
  [119  88  59]]

 ...

 [[193 151 109]
  [194 152 110]
  [195 153 111]
  ...
  [142 135 116]
  [141 134 115]
  [143 136 117]]

 [[192 150 108]
  [193 151 109]
  [193 151 109]
  ...
  [143 136 117]
  [143 136 117]
  [142 135 116]]

 [[193 151 109]
  [193 151 109]
  [193 151 109]
  ...
  [141 134 115]
  [142 135 116]
  [139 132 113]]]","[[[ 55  65  66]
  [ 54  64  65]
  [ 54  64  66]
  ...
  [130 129 134]
  [132 131 136]
  [131 130 135]]

 [[ 51  61  62]
  [ 51  61  62]
  [ 51  61  63]
  ...
  [128 127 132]
  [130 129 134]
  [131 130 135]]

 [[ 55  65  64]
  [ 54  64  63]
  [ 54  64  65]
  ...
  [127 126 131]
  [129 128 133]
  [132 131 136]]

 ...

 [[ 54  64  65]
  [ 52  62  63]
  [ 50  60  61]
  ...
  [ 64  69  63]
  [ 66  71  65]
  [ 67  72  66]]

 [[ 53  65  65]
  [ 51  63  63]
  [ 50  62  62]
  ...
  [ 59  64  57]
  [ 62  67  60]
  [ 63  68  61]]

 [[ 50  62  62]
  [ 51  63  63]
  [ 52  64  64]
  ...
  [ 56  61  54]
  [ 60  65  58]
  [ 62  67  60]]]"
1726693683.257267,0.903253,-1.82947,1.839144,-2.044427,-1.26686,-0.478584,-0.143784,-0.400117,0.467771,-2.596661,0.025662,3.035669,1.6e-05,-7.4e-05,-0.000112,-0.000164,7.4e-05,-0.000114,10.633035,0.0,0.0,0.0,0.0,moving to grasp light green chip,"[[[113  57  20]
  [116  60  23]
  [114  60  24]
  ...
  [122  88  60]
  [121  87  59]
  [123  89  61]]

 [[114  58  21]
  [114  60  22]
  [113  59  23]
  ...
  [120  89  60]
  [119  88  59]
  [119  88  59]]

 [[114  60  22]
  [113  59  21]
  [112  58  22]
  ...
  [120  91  61]
  [120  91  61]
  [119  90  60]]

 ...

 [[192 148 109]
  [193 149 110]
  [190 148 108]
  ...
  [142 134 115]
  [141 133 114]
  [144 136 117]]

 [[192 148 109]
  [193 149 110]
  [191 149 109]
  ...
  [144 136 117]
  [146 135 117]
  [146 135 117]]

 [[191 147 108]
  [194 150 111]
  [193 151 111]
  ...
  [143 135 116]
  [147 136 118]
  [144 133 115]]]","[[[ 53  63  65]
  [ 53  63  65]
  [ 54  62  65]
  ...
  [131 130 135]
  [130 129 134]
  [131 130 135]]

 [[ 53  63  65]
  [ 53  63  65]
  [ 53  61  64]
  ...
  [130 129 134]
  [129 128 133]
  [130 129 134]]

 [[ 52  60  63]
  [ 53  61  64]
  [ 52  60  63]
  ...
  [127 126 131]
  [127 126 131]
  [127 126 131]]

 ...

 [[ 51  63  59]
  [ 51  63  61]
  [ 53  65  65]
  ...
  [ 63  68  62]
  [ 63  68  62]
  [ 66  71  65]]

 [[ 50  62  58]
  [ 50  62  60]
  [ 50  62  62]
  ...
  [ 57  62  55]
  [ 58  63  56]
  [ 60  65  58]]

 [[ 50  62  58]
  [ 49  61  59]
  [ 49  61  61]
  ...
  [ 55  60  53]
  [ 56  61  54]
  [ 58  63  56]]]"
1726693683.353267,0.909971,-1.80775,1.849358,-2.078364,-1.270057,-0.471963,-0.1466,-0.407802,0.45769,-2.596577,0.025652,3.035525,-7e-05,-0.000113,-0.000149,-0.000248,8.5e-05,3e-05,10.633035,0.0,0.0,0.0,0.0,moving to grasp light green chip,"[[[115  59  36]
  [111  57  33]
  [109  57  33]
  ...
  [115  89  54]
  [118  90  53]
  [119  91  54]]

 [[111  55  32]
  [110  56  32]
  [109  57  33]
  ...
  [115  89  54]
  [118  89  55]
  [120  92  55]]

 [[109  55  31]
  [110  56  32]
  [109  57  33]
  ...
  [113  87  52]
  [117  88  54]
  [120  91  57]]

 ...

 [[192 151 105]
  [192 151 105]
  [192 151 107]
  ...
  [141 133 114]
  [142 134 115]
  [146 138 119]]

 [[192 152 103]
  [192 151 105]
  [192 151 107]
  ...
  [142 133 116]
  [143 134 117]
  [145 136 119]]

 [[191 151 102]
  [191 151 102]
  [191 150 106]
  ...
  [143 134 117]
  [144 135 118]
  [144 135 118]]]","[[[ 52  66  69]
  [ 53  67  70]
  [ 52  66  67]
  ...
  [132 131 136]
  [130 129 134]
  [128 127 132]]

 [[ 52  66  69]
  [ 52  66  69]
  [ 52  66  67]
  ...
  [131 130 135]
  [129 128 133]
  [128 127 132]]

 [[ 52  66  69]
  [ 52  66  69]
  [ 52  66  69]
  ...
  [131 130 135]
  [129 128 133]
  [129 128 133]]

 ...

 [[ 49  61  57]
  [ 49  61  57]
  [ 49  61  57]
  ...
  [ 54  56  51]
  [ 57  59  54]
  [ 61  63  58]]

 [[ 46  61  56]
  [ 46  61  56]
  [ 47  62  59]
  ...
  [ 57  58  53]
  [ 58  59  54]
  [ 61  62  57]]

 [[ 45  60  55]
  [ 45  60  55]
  [ 47  62  59]
  ...
  [ 59  60  55]
  [ 59  60  55]
  [ 59  60  55]]]"
1726693683.449267,0.918379,-1.776999,1.861381,-2.123595,-1.274176,-0.463818,-0.150535,-0.418203,0.444035,-2.596521,0.025522,3.035421,-6.1e-05,-0.000163,-0.000183,-0.000304,0.000215,0.000132,10.633035,0.0,0.0,0.0,0.0,moving to grasp light green chip,"[[[112  63  23]
  [109  60  20]
  [105  57  17]
  ...
  [120  91  61]
  [120  89  60]
  [119  88  59]]

 [[113  63  26]
  [110  61  21]
  [107  59  21]
  ...
  [115  86  56]
  [118  87  58]
  [120  89  60]]

 [[112  62  27]
  [110  60  23]
  [107  59  23]
  ...
  [114  85  55]
  [117  88  58]
  [120  91  61]]

 ...

 [[189 151 102]
  [190 152 103]
  [192 151 105]
  ...
  [146 138 119]
  [148 137 119]
  [149 138 120]]

 [[192 152 103]
  [193 153 104]
  [193 152 106]
  ...
  [145 137 118]
  [148 137 119]
  [148 137 119]]

 [[192 152 103]
  [193 153 104]
  [193 152 106]
  ...
  [142 134 115]
  [146 135 117]
  [146 135 117]]]","[[[ 56  67  69]
  [ 55  66  68]
  [ 55  66  68]
  ...
  [131 130 135]
  [130 129 134]
  [128 127 132]]

 [[ 54  65  67]
  [ 53  64  66]
  [ 53  64  66]
  ...
  [132 131 136]
  [131 130 135]
  [130 129 134]]

 [[ 54  65  67]
  [ 54  65  67]
  [ 53  64  66]
  ...
  [133 132 137]
  [132 131 136]
  [132 131 136]]

 ...

 [[ 52  64  64]
  [ 51  63  63]
  [ 51  63  63]
  ...
  [ 53  58  52]
  [ 50  55  51]
  [ 47  52  48]]

 [[ 52  64  64]
  [ 51  63  63]
  [ 51  63  63]
  ...
  [ 53  55  50]
  [ 50  55  49]
  [ 48  53  47]]

 [[ 51  63  63]
  [ 50  62  62]
  [ 50  62  62]
  ...
  [ 55  57  52]
  [ 53  58  52]
  [ 52  57  51]]]"
1726693683.545267,0.928379,-1.736043,1.873583,-2.1793,-1.278905,-0.454402,-0.155511,-0.431408,0.426749,-2.596629,0.025575,3.0356,-2.7e-05,-0.000114,-0.00013,-0.000195,0.000162,-4.8e-05,10.633035,0.0,0.0,0.0,0.0,moving to grasp light green chip,"[[[112  60  36]
  [110  58  34]
  [107  57  30]
  ...
  [115  89  56]
  [114  88  55]
  [117  91  58]]

 [[111  60  33]
  [109  58  31]
  [106  56  29]
  ...
  [115  89  56]
  [115  89  56]
  [116  90  57]]

 [[111  60  31]
  [109  58  29]
  [107  56  27]
  ...
  [116  90  57]
  [115  89  56]
  [115  89  56]]

 ...

 [[195 149 113]
  [197 151 115]
  [194 150 111]
  ...
  [143 137 115]
  [144 138 116]
  [142 136 114]]

 [[194 148 112]
  [196 150 114]
  [193 149 110]
  ...
  [142 136 112]
  [144 138 114]
  [141 135 111]]

 [[194 148 112]
  [196 150 114]
  [193 149 110]
  ...
  [139 133 109]
  [141 135 111]
  [140 134 110]]]","[[[ 50  66  66]
  [ 51  67  67]
  [ 53  69  69]
  ...
  [135 135 137]
  [134 134 136]
  [132 132 134]]

 [[ 52  68  68]
  [ 52  68  68]
  [ 52  68  68]
  ...
  [135 135 137]
  [135 135 137]
  [133 133 135]]

 [[ 51  67  67]
  [ 51  67  67]
  [ 53  67  68]
  ...
  [135 135 137]
  [135 135 137]
  [134 134 136]]

 ...

 [[ 51  60  57]
  [ 53  62  61]
  [ 53  61  63]
  ...
  [ 58  61  54]
  [ 58  63  56]
  [ 56  61  54]]

 [[ 52  61  60]
  [ 53  62  61]
  [ 53  61  63]
  ...
  [ 53  58  52]
  [ 55  60  53]
  [ 54  59  52]]

 [[ 53  62  61]
  [ 54  63  62]
  [ 53  61  64]
  ...
  [ 48  53  47]
  [ 50  55  48]
  [ 50  55  48]]]"
1726693683.641267,0.938498,-1.68974,1.883319,-2.237999,-1.283875,-0.444626,-0.160824,-0.445621,0.408092,-2.596688,0.025601,3.035488,-4.9e-05,-0.0001,-7.2e-05,-0.000135,0.000136,6.2e-05,10.633035,0.0,0.0,0.0,0.0,moving to grasp light green chip,"[[[106  67  34]
  [102  63  30]
  [ 98  59  28]
  ...
  [118  89  55]
  [120  90  54]
  [120  90  54]]

 [[102  63  30]
  [103  64  31]
  [ 99  60  29]
  ...
  [117  88  54]
  [118  88  52]
  [119  89  53]]

 [[100  59  29]
  [104  63  33]
  [102  61  31]
  ...
  [117  88  54]
  [118  88  54]
  [120  90  56]]

 ...

 [[193 149 110]
  [193 149 110]
  [192 150 110]
  ...
  [141 133 114]
  [141 133 114]
  [146 138 119]]

 [[192 148 111]
  [193 149 112]
  [192 150 112]
  ...
  [142 134 115]
  [143 135 116]
  [147 139 120]]

 [[192 148 111]
  [192 148 111]
  [191 149 111]
  ...
  [142 134 115]
  [142 134 115]
  [144 136 117]]]","[[[ 51  64  57]
  [ 49  62  55]
  [ 49  61  57]
  ...
  [131 131 133]
  [132 132 134]
  [133 133 135]]

 [[ 53  66  59]
  [ 52  65  58]
  [ 51  63  59]
  ...
  [131 131 133]
  [133 133 135]
  [135 135 137]]

 [[ 53  65  61]
  [ 53  65  61]
  [ 53  65  63]
  ...
  [131 131 133]
  [133 133 135]
  [135 135 137]]

 ...

 [[ 51  62  68]
  [ 50  61  67]
  [ 50  61  65]
  ...
  [ 56  59  52]
  [ 58  60  55]
  [ 61  63  58]]

 [[ 50  61  67]
  [ 50  61  67]
  [ 50  61  65]
  ...
  [ 54  56  51]
  [ 56  58  53]
  [ 60  62  57]]

 [[ 53  64  70]
  [ 52  63  69]
  [ 51  62  66]
  ...
  [ 52  54  49]
  [ 51  53  48]
  [ 52  54  49]]]"
1726693683.737267,0.947792,-1.641413,1.889066,-2.294724,-1.288449,-0.435714,-0.166186,-0.45982,0.389586,-2.596501,0.025513,3.035448,-2.1e-05,-0.0001,-0.000165,-0.000322,0.000226,0.000101,10.633035,0.0,0.0,0.0,0.0,moving to grasp light green chip,"[[[105  54  25]
  [107  56  27]
  [105  56  26]
  ...
  [117  92  52]
  [116  88  48]
  [117  89  49]]

 [[111  60  31]
  [111  62  32]
  [108  59  29]
  ...
  [115  90  50]
  [117  89  50]
  [120  92  52]]

 [[110  60  33]
  [110  60  33]
  [108  58  31]
  ...
  [116  88  51]
  [119  89  53]
  [122  92  54]]

 ...

 [[192 151 107]
  [192 151 107]
  [192 151 107]
  ...
  [148 135 118]
  [147 134 117]
  [148 135 118]]

 [[193 152 108]
  [193 152 108]
  [192 151 107]
  ...
  [146 133 116]
  [148 132 116]
  [150 134 118]]

 [[193 152 108]
  [193 152 108]
  [192 151 107]
  ...
  [146 133 116]
  [148 132 116]
  [151 135 119]]]","[[[ 53  65  63]
  [ 52  64  62]
  [ 52  64  64]
  ...
  [132 132 134]
  [132 132 134]
  [133 133 135]]

 [[ 52  64  62]
  [ 52  64  62]
  [ 52  64  64]
  ...
  [131 131 133]
  [132 132 134]
  [133 133 135]]

 [[ 52  64  64]
  [ 52  64  64]
  [ 53  65  65]
  ...
  [131 131 133]
  [132 132 134]
  [133 133 135]]

 ...

 [[ 49  58  57]
  [ 48  57  56]
  [ 52  58  58]
  ...
  [ 56  61  55]
  [ 56  61  55]
  [ 57  62  55]]

 [[ 51  60  59]
  [ 48  57  56]
  [ 50  56  56]
  ...
  [ 52  55  48]
  [ 54  57  50]
  [ 56  59  50]]

 [[ 55  64  63]
  [ 51  60  59]
  [ 51  57  57]
  ...
  [ 51  54  47]
  [ 53  56  47]
  [ 55  58  49]]]"
1726693683.833267,0.964666,-1.539285,1.889689,-2.401701,-1.29677,-0.419785,-0.176864,-0.488252,0.352323,-2.59652,0.025577,3.035557,-1.2e-05,-6.6e-05,-0.0001,-0.000301,0.000163,-1.2e-05,10.633035,0.0,0.0,0.0,0.0,moving to grasp light green chip,"[[[111  64  34]
  [105  58  28]
  [102  55  27]
  ...
  [115  90  59]
  [120  91  61]
  [122  93  63]]

 [[110  63  35]
  [105  58  30]
  [102  55  27]
  ...
  [113  88  57]
  [116  87  57]
  [118  89  59]]

 [[110  63  37]
  [105  58  32]
  [102  56  30]
  ...
  [114  89  59]
  [116  86  58]
  [118  88  60]]

 ...

 [[191 150 106]
  [190 149 105]
  [189 148 104]
  ...
  [144 135 118]
  [143 136 118]
  [144 137 119]]

 [[193 152 106]
  [192 151 105]
  [192 151 107]
  ...
  [143 134 117]
  [143 136 118]
  [145 138 120]]

 [[192 151 105]
  [191 150 104]
  [191 150 106]
  ...
  [141 132 115]
  [141 134 116]
  [143 136 118]]]","[[[ 53  64  60]
  [ 53  64  60]
  [ 53  63  62]
  ...
  [134 128 132]
  [134 128 132]
  [133 127 131]]

 [[ 53  64  60]
  [ 53  64  60]
  [ 54  64  63]
  ...
  [131 125 129]
  [132 126 130]
  [133 127 131]]

 [[ 53  64  60]
  [ 53  64  60]
  [ 55  65  64]
  ...
  [130 125 129]
  [130 125 129]
  [133 128 132]]

 ...

 [[ 52  58  58]
  [ 52  58  58]
  [ 52  58  58]
  ...
  [ 58  60  55]
  [ 57  59  54]
  [ 56  58  53]]

 [[ 53  59  57]
  [ 52  58  56]
  [ 52  58  58]
  ...
  [ 57  58  53]
  [ 57  58  52]
  [ 59  60  54]]

 [[ 52  58  56]
  [ 52  58  56]
  [ 54  60  60]
  ...
  [ 53  54  49]
  [ 53  54  48]
  [ 56  57  51]]]"
