timestamp,q0,q1,q2,q3,q4,q5,x,y,z,rx,ry,rz,dx,dy,dz,drx,dry,drz,aperture,d_aperture,contact_force,applied_force,d_applied_force,task,img,wrist_img
1726695292.948981,0.896822,-1.849584,1.82863,-2.011833,-1.263878,-0.484857,-0.14097,-0.39277,0.477339,-2.596795,0.025682,3.035709,-8e-06,1.8e-05,3.8e-05,2.1e-05,-4e-06,-0.000134,31.721966,0.0,0.0,0.0,0.0,moving to grasp red handle,"[[[ 86  70  70]
  [ 91  77  76]
  [ 89  75  75]
  ...
  [121  95  60]
  [122  96  61]
  [121  95  60]]

 [[ 87  71  71]
  [ 89  75  74]
  [ 85  73  73]
  ...
  [119  93  58]
  [119  93  58]
  [118  92  57]]

 [[ 90  76  75]
  [ 90  76  75]
  [ 85  73  73]
  ...
  [119  93  60]
  [119  93  60]
  [118  92  59]]

 ...

 [[193 152 106]
  [195 154 108]
  [195 154 108]
  ...
  [149 138 120]
  [150 139 121]
  [152 141 123]]

 [[193 152 108]
  [194 153 109]
  [194 153 109]
  ...
  [149 138 120]
  [150 139 121]
  [151 140 122]]

 [[196 155 111]
  [196 155 111]
  [195 154 110]
  ...
  [148 137 119]
  [149 138 120]
  [150 139 121]]]","[[[ 54  63  60]
  [ 55  64  61]
  [ 54  63  60]
  ...
  [137 133 130]
  [137 133 130]
  [139 135 132]]

 [[ 55  64  63]
  [ 56  65  62]
  [ 55  64  63]
  ...
  [138 134 131]
  [139 135 132]
  [139 135 132]]

 [[ 54  64  65]
  [ 54  64  63]
  [ 53  63  64]
  ...
  [138 134 133]
  [140 136 135]
  [139 135 134]]

 ...

 [[ 56  62  58]
  [ 56  62  58]
  [ 54  61  54]
  ...
  [ 72  73  65]
  [ 74  75  67]
  [ 72  73  65]]

 [[ 56  62  58]
  [ 56  62  58]
  [ 54  61  54]
  ...
  [ 65  66  58]
  [ 70  70  62]
  [ 71  71  63]]

 [[ 54  60  56]
  [ 55  61  57]
  [ 54  61  54]
  ...
  [ 60  61  53]
  [ 67  67  59]
  [ 69  69  61]]]"
1726695293.044981,0.896929,-1.849176,1.828786,-2.012721,-1.263998,-0.484678,-0.141048,-0.392921,0.477202,-2.596581,0.025511,3.035621,-4.2e-05,-8.1e-05,-0.000117,-0.000193,0.000168,-4.5e-05,31.721966,0.0,0.0,0.0,0.0,moving to grasp red handle,"[[[ 86  70  70]
  [ 91  77  76]
  [ 89  75  75]
  ...
  [121  95  60]
  [122  96  61]
  [121  95  60]]

 [[ 87  71  71]
  [ 89  75  74]
  [ 85  73  73]
  ...
  [119  93  58]
  [119  93  58]
  [118  92  57]]

 [[ 90  76  75]
  [ 90  76  75]
  [ 85  73  73]
  ...
  [119  93  60]
  [119  93  60]
  [118  92  59]]

 ...

 [[193 152 106]
  [195 154 108]
  [195 154 108]
  ...
  [149 138 120]
  [150 139 121]
  [152 141 123]]

 [[193 152 108]
  [194 153 109]
  [194 153 109]
  ...
  [149 138 120]
  [150 139 121]
  [151 140 122]]

 [[196 155 111]
  [196 155 111]
  [195 154 110]
  ...
  [148 137 119]
  [149 138 120]
  [150 139 121]]]","[[[ 54  63  60]
  [ 55  64  61]
  [ 54  63  60]
  ...
  [137 133 130]
  [137 133 130]
  [139 135 132]]

 [[ 55  64  63]
  [ 56  65  62]
  [ 55  64  63]
  ...
  [138 134 131]
  [139 135 132]
  [139 135 132]]

 [[ 54  64  65]
  [ 54  64  63]
  [ 53  63  64]
  ...
  [138 134 133]
  [140 136 135]
  [139 135 134]]

 ...

 [[ 56  62  58]
  [ 56  62  58]
  [ 54  61  54]
  ...
  [ 72  73  65]
  [ 74  75  67]
  [ 72  73  65]]

 [[ 56  62  58]
  [ 56  62  58]
  [ 54  61  54]
  ...
  [ 65  66  58]
  [ 70  70  62]
  [ 71  71  63]]

 [[ 54  60  56]
  [ 55  61  57]
  [ 54  61  54]
  ...
  [ 60  61  53]
  [ 67  67  59]
  [ 69  69  61]]]"
1726695293.140981,0.898714,-1.84198,1.831397,-2.02337,-1.264753,-0.483118,-0.142269,-0.39551,0.474271,-2.596256,0.02531,3.035817,-1.1e-05,-0.000128,-0.000264,-0.000518,0.000369,-0.000239,31.721966,0.0,0.0,0.0,0.0,moving to grasp red handle,"[[[ 87  75  75]
  [ 86  74  74]
  [ 85  74  72]
  ...
  [119  90  60]
  [122  91  62]
  [127  96  67]]

 [[ 85  73  73]
  [ 86  74  74]
  [ 86  75  73]
  ...
  [121  92  62]
  [123  92  63]
  [125  94  65]]

 [[ 83  73  72]
  [ 85  75  74]
  [ 85  75  73]
  ...
  [120  93  63]
  [123  94  64]
  [122  93  63]]

 ...

 [[193 151 101]
  [193 151 101]
  [192 152 103]
  ...
  [149 138 118]
  [150 139 121]
  [152 141 123]]

 [[194 153 101]
  [194 152 102]
  [194 152 104]
  ...
  [150 139 119]
  [151 138 121]
  [150 137 120]]

 [[195 154 102]
  [195 154 102]
  [196 154 106]
  ...
  [151 140 120]
  [151 138 121]
  [148 135 118]]]","[[[ 54  60  56]
  [ 55  61  57]
  [ 56  62  60]
  ...
  [139 134 138]
  [138 133 139]
  [140 135 141]]

 [[ 56  62  58]
  [ 56  62  58]
  [ 57  63  61]
  ...
  [138 133 137]
  [138 133 139]
  [142 137 143]]

 [[ 56  65  62]
  [ 55  64  61]
  [ 55  64  61]
  ...
  [138 133 137]
  [139 134 138]
  [144 139 143]]

 ...

 [[ 52  64  52]
  [ 50  62  50]
  [ 48  60  50]
  ...
  [ 73  76  67]
  [ 71  74  67]
  [ 67  70  61]]

 [[ 52  66  51]
  [ 49  63  50]
  [ 48  60  50]
  ...
  [ 66  69  58]
  [ 66  69  60]
  [ 66  69  58]]

 [[ 52  66  51]
  [ 49  63  48]
  [ 49  61  51]
  ...
  [ 58  61  50]
  [ 61  64  53]
  [ 64  67  56]]]"
1726695293.236981,0.902738,-1.82628,1.837109,-2.045375,-1.266597,-0.479076,-0.144775,-0.401075,0.467644,-2.5967,0.025719,3.0357,9e-06,-7.6e-05,-7.4e-05,-7.6e-05,-4e-05,-0.000119,31.721966,0.0,0.0,0.0,0.0,moving to grasp red handle,"[[[ 80  76  75]
  [ 84  80  79]
  [ 86  82  79]
  ...
  [118  92  55]
  [119  93  56]
  [121  95  58]]

 [[ 79  75  74]
  [ 80  76  75]
  [ 81  77  74]
  ...
  [119  93  56]
  [119  93  56]
  [120  94  57]]

 [[ 80  74  74]
  [ 80  74  74]
  [ 79  73  73]
  ...
  [119  93  56]
  [119  93  58]
  [119  93  58]]

 ...

 [[193 153 104]
  [194 154 105]
  [194 153 107]
  ...
  [147 139 120]
  [148 140 121]
  [148 140 121]]

 [[194 154 105]
  [194 154 105]
  [193 153 104]
  ...
  [146 138 119]
  [147 139 120]
  [149 141 122]]

 [[196 156 107]
  [195 155 106]
  [194 154 105]
  ...
  [145 137 118]
  [147 139 120]
  [149 141 122]]]","[[[ 53  69  58]
  [ 53  69  58]
  [ 53  66  56]
  ...
  [137 132 136]
  [139 134 138]
  [139 134 138]]

 [[ 52  68  58]
  [ 52  68  58]
  [ 53  66  57]
  ...
  [136 131 135]
  [138 133 137]
  [140 135 139]]

 [[ 53  66  59]
  [ 53  66  59]
  [ 53  66  59]
  ...
  [136 131 135]
  [138 133 137]
  [140 135 139]]

 ...

 [[ 55  63  50]
  [ 56  64  51]
  [ 56  64  53]
  ...
  [ 69  72  63]
  [ 72  75  66]
  [ 73  76  67]]

 [[ 55  63  52]
  [ 56  64  53]
  [ 56  64  53]
  ...
  [ 62  68  58]
  [ 64  70  60]
  [ 66  72  62]]

 [[ 54  62  51]
  [ 56  64  53]
  [ 56  64  53]
  ...
  [ 59  65  55]
  [ 60  66  56]
  [ 61  67  57]]]"
1726695293.332981,0.908678,-1.802185,1.844581,-2.07876,-1.269471,-0.473246,-0.148484,-0.409432,0.457896,-2.596606,0.025641,3.0356,-6.6e-05,-0.000107,-0.000122,-0.00017,3.7e-05,-1.2e-05,31.721966,0.0,0.0,0.0,0.0,moving to grasp red handle,"[[[ 84  73  69]
  [ 86  75  71]
  [ 88  79  74]
  ...
  [115  92  61]
  [116  91  61]
  [119  94  64]]

 [[ 86  75  71]
  [ 87  76  72]
  [ 88  79  74]
  ...
  [116  93  62]
  [117  92  62]
  [119  94  64]]

 [[ 87  76  74]
  [ 87  76  74]
  [ 87  78  73]
  ...
  [116  93  62]
  [118  93  63]
  [121  96  66]]

 ...

 [[189 151 106]
  [190 152 107]
  [192 150 108]
  ...
  [146 138 119]
  [146 138 119]
  [148 140 121]]

 [[191 153 108]
  [191 153 108]
  [192 150 108]
  ...
  [145 139 117]
  [145 139 117]
  [146 140 118]]

 [[193 155 110]
  [191 153 108]
  [192 150 108]
  ...
  [145 139 117]
  [145 139 117]
  [146 140 118]]]","[[[ 55  63  65]
  [ 56  64  66]
  [ 56  64  66]
  ...
  [135 131 130]
  [136 132 131]
  [138 134 133]]

 [[ 55  63  65]
  [ 57  65  67]
  [ 56  64  66]
  ...
  [136 132 131]
  [137 133 132]
  [139 135 134]]

 [[ 55  64  63]
  [ 56  65  64]
  [ 56  65  64]
  ...
  [135 131 130]
  [136 132 131]
  [138 134 133]]

 ...

 [[ 52  61  56]
  [ 53  62  57]
  [ 53  63  55]
  ...
  [ 63  65  51]
  [ 67  69  55]
  [ 66  68  54]]

 [[ 51  60  55]
  [ 52  61  56]
  [ 52  61  56]
  ...
  [ 66  68  55]
  [ 70  72  59]
  [ 69  71  58]]

 [[ 52  61  56]
  [ 53  62  57]
  [ 52  61  56]
  ...
  [ 61  63  50]
  [ 62  64  51]
  [ 60  62  49]]]"
1726695293.42898,0.91596,-1.768604,1.852783,-2.122754,-1.273063,-0.466013,-0.153588,-0.420648,0.444777,-2.596505,0.025568,3.035385,-4.4e-05,-0.000156,-0.000156,-0.000272,0.000111,0.000211,31.721966,0.0,0.0,0.0,0.0,moving to grasp red handle,"[[[ 82  72  71]
  [ 87  77  76]
  [ 87  77  75]
  ...
  [119  93  60]
  [117  88  56]
  [121  92  60]]

 [[ 85  75  74]
  [ 88  78  77]
  [ 87  77  75]
  ...
  [118  92  59]
  [119  90  58]
  [122  93  61]]

 [[ 82  72  71]
  [ 82  72  71]
  [ 83  73  72]
  ...
  [118  91  61]
  [122  93  63]
  [122  93  63]]

 ...

 [[197 152 111]
  [197 152 111]
  [195 152 110]
  ...
  [147 139 120]
  [145 138 119]
  [148 141 122]]

 [[200 152 112]
  [197 152 111]
  [195 152 110]
  ...
  [147 139 120]
  [146 139 120]
  [147 140 121]]

 [[199 151 111]
  [197 152 111]
  [196 151 110]
  ...
  [147 139 120]
  [147 140 121]
  [147 140 121]]]","[[[ 58  63  67]
  [ 57  62  66]
  [ 58  63  67]
  ...
  [137 128 133]
  [137 128 133]
  [138 129 134]]

 [[ 58  63  67]
  [ 57  62  66]
  [ 58  63  67]
  ...
  [138 129 134]
  [137 128 133]
  [138 129 134]]

 [[ 58  63  67]
  [ 57  62  66]
  [ 57  62  66]
  ...
  [139 130 135]
  [138 129 134]
  [139 130 135]]

 ...

 [[ 53  57  56]
  [ 52  56  55]
  [ 53  58  54]
  ...
  [ 53  55  42]
  [ 58  60  47]
  [ 64  66  53]]

 [[ 56  58  57]
  [ 57  59  58]
  [ 55  60  56]
  ...
  [ 53  55  42]
  [ 59  61  48]
  [ 64  66  53]]

 [[ 57  59  58]
  [ 60  62  61]
  [ 58  63  59]
  ...
  [ 57  59  46]
  [ 60  62  49]
  [ 62  64  51]]]"
1726695293.52498,0.924522,-1.724662,1.860052,-2.176107,-1.277181,-0.457928,-0.159978,-0.434758,0.428263,-2.596669,0.025603,3.035534,-4e-06,-0.000125,-8.2e-05,-0.00011,7.6e-05,7.4e-05,31.721966,0.0,0.0,0.0,0.0,moving to grasp red handle,"[[[ 83  74  67]
  [ 84  75  68]
  [ 85  76  71]
  ...
  [120  94  59]
  [120  92  55]
  [120  92  55]]

 [[ 85  76  69]
  [ 86  77  70]
  [ 87  78  73]
  ...
  [116  90  55]
  [119  90  56]
  [121  93  56]]

 [[ 84  75  70]
  [ 85  76  71]
  [ 85  75  73]
  ...
  [116  90  55]
  [121  92  58]
  [123  94  60]]

 ...

 [[192 151 107]
  [194 153 109]
  [192 154 109]
  ...
  [149 138 116]
  [151 139 117]
  [157 142 121]]

 [[191 153 108]
  [192 154 109]
  [192 154 109]
  ...
  [151 141 116]
  [154 142 118]
  [156 144 120]]

 [[192 154 109]
  [192 154 109]
  [191 153 108]
  ...
  [148 138 113]
  [151 139 115]
  [152 140 116]]]","[[[ 54  66  62]
  [ 54  66  62]
  [ 54  66  62]
  ...
  [140 136 135]
  [139 135 134]
  [138 134 133]]

 [[ 54  66  62]
  [ 54  66  62]
  [ 54  66  62]
  ...
  [139 135 134]
  [138 134 133]
  [137 133 132]]

 [[ 54  66  62]
  [ 54  66  62]
  [ 54  66  62]
  ...
  [141 137 136]
  [139 135 134]
  [138 134 133]]

 ...

 [[ 53  63  64]
  [ 53  63  62]
  [ 54  63  62]
  ...
  [ 60  62  49]
  [ 61  63  50]
  [ 59  61  48]]

 [[ 53  63  62]
  [ 53  63  62]
  [ 53  63  62]
  ...
  [ 57  59  46]
  [ 58  60  47]
  [ 57  59  46]]

 [[ 53  63  62]
  [ 53  63  62]
  [ 53  64  60]
  ...
  [ 56  58  45]
  [ 56  58  45]
  [ 55  57  44]]]"
1726695293.62098,0.933097,-1.676165,1.864075,-2.231074,-1.281384,-0.449784,-0.166696,-0.449765,0.410819,-2.596559,0.025473,3.035611,-4.3e-05,-9.7e-05,-0.00013,-0.000222,0.000207,7e-06,31.721966,0.0,0.0,0.0,0.0,moving to grasp red handle,"[[[ 79  74  70]
  [ 80  75  71]
  [ 83  78  75]
  ...
  [120  95  64]
  [120  93  63]
  [118  91  61]]

 [[ 80  75  71]
  [ 81  76  72]
  [ 83  78  75]
  ...
  [118  93  62]
  [119  92  62]
  [119  92  62]]

 [[ 81  76  72]
  [ 82  77  73]
  [ 83  78  75]
  ...
  [117  92  61]
  [120  93  63]
  [121  94  64]]

 ...

 [[196 155 111]
  [195 154 110]
  [195 154 110]
  ...
  [151 140 120]
  [148 140 119]
  [152 144 123]]

 [[196 155 111]
  [196 155 111]
  [196 155 111]
  ...
  [150 139 119]
  [147 139 118]
  [150 142 121]]

 [[194 153 109]
  [194 153 109]
  [192 151 107]
  ...
  [150 139 119]
  [147 139 118]
  [148 140 119]]]","[[[ 52  68  68]
  [ 49  65  65]
  [ 51  67  67]
  ...
  [143 139 140]
  [143 139 140]
  [143 139 140]]

 [[ 51  67  67]
  [ 49  65  65]
  [ 50  66  66]
  ...
  [143 139 140]
  [143 139 140]
  [143 139 140]]

 [[ 50  66  65]
  [ 52  68  67]
  [ 52  66  66]
  ...
  [142 138 139]
  [141 137 138]
  [141 137 138]]

 ...

 [[ 56  62  60]
  [ 57  63  61]
  [ 57  63  59]
  ...
  [ 59  65  55]
  [ 62  65  56]
  [ 64  67  58]]

 [[ 54  60  58]
  [ 55  61  59]
  [ 56  62  60]
  ...
  [ 55  58  49]
  [ 58  59  51]
  [ 60  61  53]]

 [[ 52  58  56]
  [ 54  60  58]
  [ 55  61  59]
  ...
  [ 53  56  47]
  [ 54  55  47]
  [ 53  54  46]]]"
1726695293.71698,0.940953,-1.625884,1.864374,-2.283864,-1.285252,-0.442191,-0.173464,-0.464787,0.393347,-2.596447,0.025454,3.035568,-3.2e-05,-5.4e-05,-0.000149,-0.000336,0.000226,6.2e-05,31.721966,0.0,0.0,0.0,0.0,moving to grasp red handle,"[[[ 86  79  71]
  [ 84  77  69]
  [ 84  79  73]
  ...
  [121  91  63]
  [124  93  65]
  [125  94  66]]

 [[ 84  77  69]
  [ 83  76  68]
  [ 82  77  71]
  ...
  [121  91  63]
  [122  91  63]
  [123  92  64]]

 [[ 81  74  66]
  [ 83  76  68]
  [ 81  76  70]
  ...
  [119  92  62]
  [121  92  62]
  [121  92  62]]

 ...

 [[195 152 109]
  [195 152 109]
  [194 151 108]
  ...
  [146 138 117]
  [147 139 116]
  [149 141 118]]

 [[197 153 108]
  [197 153 108]
  [196 152 107]
  ...
  [147 139 118]
  [148 140 117]
  [148 140 117]]

 [[197 153 106]
  [198 154 107]
  [197 153 106]
  ...
  [147 139 118]
  [149 141 120]
  [149 141 118]]]","[[[ 56  62  60]
  [ 56  62  60]
  [ 56  62  60]
  ...
  [139 135 136]
  [138 134 135]
  [137 133 134]]

 [[ 54  60  58]
  [ 55  61  59]
  [ 57  63  61]
  ...
  [140 136 137]
  [139 135 136]
  [136 132 133]]

 [[ 54  60  58]
  [ 55  61  59]
  [ 57  63  61]
  ...
  [140 136 137]
  [140 136 137]
  [136 132 133]]

 ...

 [[ 54  60  58]
  [ 55  61  57]
  [ 56  62  60]
  ...
  [ 59  63  48]
  [ 61  65  50]
  [ 60  64  49]]

 [[ 53  59  59]
  [ 55  61  59]
  [ 56  62  62]
  ...
  [ 54  58  43]
  [ 58  62  47]
  [ 56  60  45]]

 [[ 52  58  58]
  [ 55  61  61]
  [ 56  62  62]
  ...
  [ 49  53  38]
  [ 51  55  40]
  [ 51  55  40]]]"
1726695293.81298,0.948139,-1.574045,1.861201,-2.334045,-1.288808,-0.435282,-0.180273,-0.479786,0.375687,-2.596749,0.02568,3.035543,1.9e-05,-3.5e-05,2e-05,-3.5e-05,1e-06,9.7e-05,31.721966,0.0,0.0,0.0,0.0,moving to grasp red handle,"[[[ 88  72  72]
  [ 87  73  72]
  [ 87  73  72]
  ...
  [123  92  64]
  [125  91  64]
  [126  92  65]]

 [[ 87  71  71]
  [ 86  72  71]
  [ 85  74  72]
  ...
  [121  90  62]
  [123  89  62]
  [124  90  63]]

 [[ 85  71  71]
  [ 84  72  72]
  [ 85  74  72]
  ...
  [122  92  64]
  [124  93  65]
  [125  94  66]]

 ...

 [[193 154 111]
  [193 154 111]
  [193 154 111]
  ...
  [146 138 117]
  [147 139 118]
  [150 142 121]]

 [[194 155 112]
  [193 154 111]
  [192 153 110]
  ...
  [147 139 118]
  [148 140 119]
  [151 143 122]]

 [[194 155 112]
  [193 154 111]
  [191 152 109]
  ...
  [145 137 116]
  [147 139 118]
  [149 141 120]]]","[[[ 55  60  53]
  [ 55  60  53]
  [ 54  61  54]
  ...
  [137 133 134]
  [138 134 135]
  [139 135 136]]

 [[ 57  62  55]
  [ 56  61  54]
  [ 55  62  55]
  ...
  [137 133 134]
  [138 134 135]
  [139 135 136]]

 [[ 57  64  57]
  [ 57  64  57]
  [ 57  63  59]
  ...
  [140 136 137]
  [141 137 138]
  [141 137 138]]

 ...

 [[ 53  59  55]
  [ 56  62  58]
  [ 55  61  57]
  ...
  [ 60  64  50]
  [ 56  62  50]
  [ 55  61  49]]

 [[ 54  59  52]
  [ 56  61  54]
  [ 54  59  52]
  ...
  [ 56  59  48]
  [ 54  60  50]
  [ 55  61  51]]

 [[ 53  59  49]
  [ 54  60  50]
  [ 51  57  47]
  ...
  [ 49  52  41]
  [ 52  55  46]
  [ 54  60  50]]]"
