robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-15.189,0.0
95.845,0.15,0.0,-16.648,0.0
81.81,0.15,0.0,-10.157,0.866
71.228,1.016,0.118,-15.44,0.101
56.087,1.117,0.08,-9.323,0.075
47.221,1.192,0.053,-14.698,0.282
33.103,1.475,0.109,-2.243,0.0
31.492,1.475,0.0,0.0,0.234
31.493,1.709,0.0,-4.222,0.05
28.039,1.759,0.099,-3.722,0.033
24.815,1.792,0.081,-4.313,0.081
20.905,1.874,0.116,-4.313,0.061
17.465,1.934,0.051,-2.782,0.106
15.408,2.04,0.025,-6.018,0.121
10.407,2.161,0.102,-5.897,0.035
