robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.596,0.15,0.0,0.0,0.0
104.215,0.15,0.0,-7.594,0.027
97.754,0.177,0.0,0.0,0.742
97.322,0.92,0.0,-3.029,0.0
94.487,0.92,0.0,-11.988,0.0
82.549,0.92,0.0,-7.326,0.028
75.58,0.948,0.0,-4.152,0.0
71.429,0.948,0.0,-11.366,0.239
60.413,1.187,0.0,-22.214,0.0
38.376,1.187,0.0,-14.851,0.563
23.895,1.75,0.0,-7.482,0.0
17.465,1.75,0.063,-8.749,0.0
9.503,1.75,0.117,-9.862,0.0
1.464,1.75,0.137,-10.987,0.089
1.464,1.839,0.106,-6.675,0.203
