robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.812,0.15,0.0,-7.474,0.193
98.742,0.343,0.0,-7.044,0.0
91.656,0.343,0.0,-5.323,0.1
86.289,0.443,0.0,-6.553,0.0
80.154,0.443,0.0,-5.603,0.0
74.604,0.443,0.0,-7.457,0.13
67.357,0.573,0.0,-5.826,0.07
61.695,0.643,0.0,-5.981,0.0
56.087,0.643,0.0,-5.32,0.0
50.798,0.643,0.0,-3.831,0.0
47.221,0.643,0.0,-4.461,0.0
43.158,0.643,0.02,-4.296,0.002
39.518,0.646,0.073,-1.699,0.073
38.605,0.719,0.0,-4.452,0.0
34.71,0.719,0.052,-2.57,0.0
