robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-17.319,0.0
90.022,0.15,0.037,-15.717,0.17
73.62,0.32,0.048,-12.079,0.0
62.332,0.32,0.07,-8.942,0.007
53.675,0.328,0.072,-7.788,0.0
47.446,0.328,0.096,-5.147,0.0
42.932,0.328,0.014,-5.124,0.105
38.605,0.433,0.1,-2.49,0.0
36.545,0.433,0.04,-15.941,0.0
21.135,0.433,0.075,-21.762,0.355
9.059,0.788,0.128,-18.385,0.051
8.835,0.839,0.316,-19.507,0.0
8.835,0.839,0.38,-15.239,0.311
8.611,1.15,0.272,-11.93,0.113
8.164,1.263,0.33,-7.906,0.0
