robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-11.85,0.039
94.488,0.189,0.033,-10.654,0.053
85.237,0.242,0.073,-11.686,0.018
74.989,0.259,0.06,-11.045,0.068
64.023,0.327,0.053,-10.042,0.071
54.775,0.398,0.075,-11.343,0.025
44.065,0.423,0.087,-9.704,0.123
36.087,0.546,0.114,-9.402,0.056
35.398,0.602,0.166,-14.363,0.0
35.169,0.602,0.288,-9.737,0.249
34.939,0.851,0.345,-11.384,0.0
35.168,0.851,0.2,-11.817,0.0
34.939,0.851,0.447,-10.697,0.0
35.168,0.851,0.422,-8.928,0.0
34.939,0.851,0.186,-7.328,0.314
