robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-5.751,0.33
99.99,0.48,0.0,-3.176,0.0
96.884,0.48,0.0,-4.515,0.0
92.297,0.48,0.0,-4.971,0.202
87.154,0.682,0.0,-4.119,0.049
82.731,0.731,0.0,-4.107,0.0
78.271,0.731,0.0,-1.395,0.288
77.126,1.019,0.0,-5.704,0.266
71.228,1.285,0.0,-11.515,0.175
61.055,1.46,0.0,-10.283,0.182
58.687,1.642,0.0,-6.768,0.211
58.469,1.853,0.228,-3.578,0.118
58.469,1.971,0.659,-4.113,0.0
58.251,1.971,0.137,-6.461,0.015
58.032,1.986,0.832,0.0,0.0
