robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.257,0.15,0.0,-14.775,0.249
90.844,0.399,0.0,-14.481,0.033
76.741,0.432,0.0,-6.679,0.396
70.622,0.827,0.0,-9.865,0.0
64.233,0.827,0.0,-4.366,0.0
63.601,0.827,0.0,-4.558,0.0
63.601,0.827,0.319,-3.549,0.029
63.391,0.856,0.239,-2.04,0.405
62.968,1.262,0.434,-5.127,0.535
62.332,1.797,0.058,-0.576,0.0
62.757,1.797,0.776,-3.398,0.0
61.907,1.797,0.018,-2.244,0.26
61.907,2.057,0.751,-3.485,0.0
61.907,2.057,0.658,-0.777,0.025
62.332,2.082,0.877,-0.302,0.027
