robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,0.0,0.0
104.572,0.15,0.054,0.0,0.0
104.572,0.15,0.0,0.0,0.0
104.572,0.15,0.0,0.0,0.0
104.572,0.15,0.0,0.0,0.0
104.572,0.15,0.0,0.0,0.0
104.572,0.15,0.0,0.0,0.022
104.572,0.172,0.0,0.0,0.0
104.572,0.172,0.0,-15.817,0.508
88.854,0.68,0.075,0.0,0.804
88.854,1.484,,-10.917,0.636
78.65,2.12,0.096,-14.494,2.687
64.653,4.807,0.048,-3.209,0.144
62.332,4.95,0.056,-5.463,0.062
57.176,5.012,0.08,-10.058,0.0
