robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-2.623,0.027
103.112,0.177,0.0,-2.573,0.0
100.931,0.177,0.0,-2.947,0.0
98.466,0.177,0.0,-3.504,0.207
95.247,0.384,0.0,-2.449,0.0
93.246,0.384,0.0,-3.676,0.044
89.691,0.428,0.0,-1.639,0.246
88.35,0.674,0.0,-8.373,0.161
80.154,0.835,0.0,-7.791,0.0
72.23,0.835,0.0,-9.105,0.0
62.968,0.835,0.0,-7.107,0.0
56.306,0.835,0.083,-3.434,0.093
53.014,0.928,0.079,-2.393,0.0
51.464,0.928,0.0,-8.004,0.151
44.064,1.08,0.078,-11.201,0.0
