robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-6.061,0.441
99.442,0.591,0.0,-7.969,0.0
91.655,0.591,0.0,-12.093,0.0
80.154,0.591,0.0,-7.372,0.036
72.629,0.626,0.0,-6.327,0.0
66.736,0.626,0.0,-11.332,0.0
55.65,0.626,0.0,-4.224,0.402
51.686,1.028,0.0,-7.492,0.222
44.517,1.25,0.0,0.0,0.239
44.517,1.488,0.0,-5.554,0.193
39.29,1.681,0.0,-3.237,0.0
37.232,1.681,0.011,-3.512,0.044
35.628,1.725,0.01,-3.0,0.0
34.251,1.725,0.158,-2.649,0.059
33.792,1.784,0.235,-1.355,0.0
