robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-21.159,0.025
92.773,0.175,0.0,-17.982,0.076
77.681,0.251,0.0,-15.61,0.053
63.592,0.303,0.0,-8.931,0.071
54.555,0.375,0.0,-8.391,0.014
46.772,0.389,0.0,-4.037,0.158
43.611,0.547,0.044,-3.107,0.06
41.568,0.607,0.008,-1.714,0.0
40.658,0.607,0.0,-9.554,0.529
37.69,1.136,0.129,-14.535,0.304
37.461,1.44,0.465,-8.235,0.186
37.461,1.626,0.499,-5.906,0.118
37.461,1.744,0.484,-1.46,0.0
37.919,1.744,0.627,-2.68,0.149
37.69,1.893,0.435,-0.288,0.0
