robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-4.741,0.0
101.196,0.15,0.039,-5.437,0.152
96.296,0.302,0.064,-2.988,0.0
93.713,0.302,0.014,-1.229,0.006
92.931,0.308,0.0,0.0,0.0
92.772,0.308,0.0,0.0,0.0
92.772,0.308,0.0,-1.402,0.0
91.976,0.308,0.0,-1.078,0.0
91.332,0.308,0.0,-6.683,0.094
85.234,0.402,0.094,-5.946,0.0
80.154,0.402,0.064,-5.917,0.0
74.604,0.402,0.042,-5.371,0.077
70.016,0.479,0.024,-4.624,0.054
65.489,0.534,0.148,-4.486,0.06
61.479,0.593,0.012,-3.466,0.129
58.693,0.722,0.057,-4.623,0.064
54.554,0.786,0.116,-16.606,0.135
41.568,0.921,0.088,-16.562,0.0
41.568,0.921,0.302,-16.183,0.184
41.341,1.105,0.481,-9.879,0.0
