robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-17.354,0.088
94.172,0.238,0.0,-11.454,0.51
81.451,0.748,0.0,-8.999,0.0
72.629,0.748,0.0,-2.033,0.0
71.026,0.748,0.0,0.0,0.0
71.026,0.748,0.0,0.0,0.0
71.026,0.748,0.0,-5.036,0.012
66.528,0.76,0.102,0.0,0.0
66.528,0.76,0.0,-4.28,0.0
63.179,0.76,0.026,-2.557,0.0
61.055,0.76,0.074,-2.718,0.131
59.34,0.891,0.0,-2.596,0.114
57.394,1.005,0.009,-1.457,0.077
56.742,1.082,0.06,-0.3,0.0
56.742,1.082,0.011,0.0,0.143
