robot_state/gripper_position,robot_state/applied_force,robot_state/contact_force,gripper_position,gripper_force
105.477,0.15,0.0,-3.63,0.233
101.977,0.383,0.0,-3.319,0.0
99.165,0.383,0.0,-0.752,0.0
98.887,0.383,0.0,-2.997,0.001
95.999,0.385,0.0,-0.512,0.076
95.85,0.461,0.0,-1.032,0.015
95.7,0.476,0.0,-1.215,0.0
94.946,0.476,0.0,-1.966,0.0
93.558,0.476,0.002,-5.345,0.0
88.854,0.476,0.112,-8.666,0.201
80.711,0.678,0.059,-7.579,0.061
73.62,0.738,0.07,-7.38,0.0
67.15,0.738,0.055,-6.639,0.0
63.391,0.738,0.082,-4.878,0.041
62.544,0.779,0.086,-5.239,0.0
