timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
17418.592000,0.972199,-1.335914,1.931925,-2.649024,-1.301884,-0.412156,-0.196780,-0.523898,0.255558,-0.170969,-3.017030,0.845034,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.972160,-1.335900,1.931934,-2.649029,-1.301870,-0.412155,-0.196799,-0.523892,0.255547,-0.171028,-3.017041,0.845023
17418.688000,0.972139,-1.336585,1.932069,-2.648316,-1.301872,-0.412168,-0.196718,-0.523750,0.255774,-0.171087,-3.017161,0.844826,-0.001790,-0.041047,0.003694,0.033268,0.000000,0.000000,0.972078,-1.336841,1.932118,-2.648252,-1.301826,-0.412232,-0.196714,-0.523693,0.255884,-0.171028,-3.017041,0.845023
17418.784000,0.971324,-1.346272,1.933937,-2.640175,-1.301560,-0.412864,-0.195831,-0.521694,0.259218,-0.171270,-3.017192,0.844576,-0.014803,-0.159240,0.027612,0.129837,-0.002325,-0.011769,0.971207,-1.346763,1.934000,-2.639997,-1.301362,-0.413052,-0.195820,-0.521592,0.259438,-0.171027,-3.017041,0.845022
17418.880000,0.969444,-1.366951,1.937541,-2.622920,-1.300578,-0.414387,-0.193978,-0.517294,0.266678,-0.171574,-3.016994,0.844909,-0.025068,-0.270249,0.042542,0.233620,0.021596,-0.020349,0.969359,-1.367426,1.937565,-2.622442,-1.300380,-0.414793,-0.193950,-0.517200,0.266868,-0.171026,-3.017043,0.845021
17418.976000,0.966546,-1.398169,1.942008,-2.595387,-1.299177,-0.417374,-0.191150,-0.510600,0.277984,-0.171252,-3.016914,0.844692,-0.036138,-0.378957,0.046927,0.336469,0.010187,-0.038781,0.966479,-1.398626,1.942022,-2.594984,-1.298853,-0.417513,-0.191105,-0.510516,0.278176,-0.171024,-3.017045,0.845018
17419.072000,0.962474,-1.439350,1.946199,-2.557311,-1.296878,-0.421296,-0.187371,-0.501647,0.293079,-0.171111,-3.017060,0.844750,-0.047336,-0.483051,0.036470,0.455089,0.032381,-0.048129,0.962474,-1.439982,1.946161,-2.556762,-1.296738,-0.421306,-0.187284,-0.501541,0.293361,-0.171021,-3.017048,0.845014
17419.168000,0.957301,-1.490042,1.948367,-2.507238,-1.294137,-0.426130,-0.182564,-0.490439,0.312059,-0.171298,-3.017289,0.844499,-0.058892,-0.553486,0.006532,0.562659,0.032909,-0.059034,0.957236,-1.490631,1.948343,-2.506964,-1.293987,-0.426287,-0.182509,-0.490323,0.312339,-0.171017,-3.017051,0.845010
17419.264000,0.951385,-1.542486,1.947110,-2.452061,-1.291011,-0.431815,-0.177485,-0.478482,0.332264,-0.171209,-3.017278,0.844591,-0.064772,-0.537200,-0.030347,0.583800,0.034586,-0.065458,0.951355,-1.542998,1.947001,-2.451742,-1.290925,-0.431902,-0.177428,-0.478388,0.332531,-0.171014,-3.017055,0.845005
17419.360000,0.945169,-1.593063,1.942032,-2.394790,-1.287790,-0.437813,-0.172394,-0.466540,0.352470,-0.171140,-3.017280,0.844606,-0.066677,-0.514318,-0.073005,0.607600,0.032357,-0.063876,0.945130,-1.593515,1.941884,-2.394482,-1.287714,-0.437869,-0.172347,-0.466452,0.352723,-0.171010,-3.017059,0.845000
17419.456000,0.938486,-1.641520,1.933074,-2.335881,-1.284390,-0.444242,-0.167354,-0.454598,0.372751,-0.171059,-3.017050,0.844908,-0.071253,-0.493175,-0.112377,0.625097,0.036672,-0.062749,0.938530,-1.641905,1.933006,-2.335465,-1.284347,-0.444219,-0.167266,-0.454517,0.372915,-0.171007,-3.017063,0.844995
17419.552000,0.931480,-1.687546,1.920525,-2.275332,-1.280785,-0.451068,-0.162263,-0.442661,0.392923,-0.170962,-3.017166,0.844865,-0.073593,-0.466778,-0.151263,0.644775,0.036360,-0.068598,0.931519,-1.687910,1.920396,-2.274967,-1.280812,-0.450988,-0.162185,-0.442582,0.393108,-0.171003,-3.017067,0.844990
17419.648000,0.924055,-1.730982,1.904071,-2.213433,-1.277134,-0.458169,-0.157173,-0.430733,0.413197,-0.171105,-3.017142,0.844839,-0.082106,-0.432033,-0.188283,0.656424,0.039140,-0.073152,0.924055,-1.731298,1.904097,-2.213245,-1.277095,-0.458213,-0.157104,-0.430646,0.413300,-0.170999,-3.017070,0.844986
17419.744000,0.916343,-1.771098,1.884719,-2.151694,-1.273302,-0.465701,-0.152082,-0.418947,0.433016,-0.171063,-3.017277,0.844717,-0.080483,-0.375391,-0.207100,0.613928,0.039860,-0.078113,0.916241,-1.771170,1.884544,-2.151658,-1.273255,-0.465796,-0.152114,-0.418924,0.433132,-0.170996,-3.017074,0.844981
17419.840000,0.909300,-1.802173,1.865596,-2.099371,-1.269925,-0.472682,-0.147968,-0.409151,0.449605,-0.170908,-3.017363,0.844501,-0.067508,-0.278379,-0.187977,0.481119,0.033915,-0.062486,0.909301,-1.802308,1.865533,-2.099562,-1.269886,-0.472543,-0.147940,-0.409121,0.449717,-0.170993,-3.017077,0.844977
17419.936000,0.903612,-1.824721,1.849347,-2.059193,-1.267279,-0.478068,-0.144795,-0.401599,0.462389,-0.171094,-3.017142,0.844679,-0.051197,-0.192553,-0.148694,0.362355,0.023729,-0.046067,0.903713,-1.824758,1.849346,-2.059341,-1.267200,-0.477984,-0.144743,-0.401610,0.462424,-0.170990,-3.017080,0.844974
17420.032000,0.899540,-1.839725,1.837228,-2.031222,-1.265375,-0.481883,-0.142559,-0.396335,0.471314,-0.171244,-3.016876,0.844994,-0.033428,-0.116749,-0.100514,0.239133,0.019654,-0.035569,0.899682,-1.839621,1.837276,-2.031255,-1.265277,-0.481913,-0.142521,-0.396390,0.471254,-0.170989,-3.017081,0.844972
17420.224000,0.896918,-1.849596,1.828559,-2.011689,-1.264202,-0.484653,-0.140950,-0.392764,0.477356,-0.171027,-3.016999,0.844644,0.000422,0.003426,0.003132,-0.009300,0.001103,-0.001127,0.896810,-1.849572,1.828511,-2.011713,-1.263914,-0.484713,-0.140980,-0.392769,0.477380,-0.170988,-3.017082,0.844970
17420.320000,0.896882,-1.849536,1.828571,-2.011713,-1.264130,-0.484606,-0.140974,-0.392781,0.477330,-0.171143,-3.017080,0.844664,0.000307,0.000345,-0.000000,0.000000,0.000096,-0.000407,0.896810,-1.849572,1.828511,-2.011713,-1.263914,-0.484713,-0.140980,-0.392769,0.477380,-0.170988,-3.017082,0.844970
17420.416000,0.896858,-1.849584,1.828607,-2.011701,-1.263962,-0.484618,-0.140960,-0.392769,0.477333,-0.171106,-3.017169,0.844830,0.000166,0.000179,-0.000000,0.000000,0.001941,-0.000240,0.896810,-1.849572,1.828511,-2.011713,-1.263914,-0.484713,-0.140980,-0.392769,0.477380,-0.170988,-3.017082,0.844970
