timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
11383.048000,0.883408,-2.088118,2.109062,-2.264652,-1.242936,-0.306603,-0.087556,-0.322066,0.447840,-0.376530,-2.866361,1.110488,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.883420,-2.088094,2.109037,-2.264713,-1.242936,-0.306663,-0.087558,-0.322074,0.447853,-0.376401,-2.866305,1.110545
11383.208000,0.884522,-2.083896,2.110319,-2.270353,-1.243595,-0.305932,-0.088194,-0.323308,0.446590,-0.376126,-2.866433,1.110423,0.026474,0.099249,0.028200,-0.137267,-0.012943,0.004051,0.884676,-2.083673,2.110293,-2.270723,-1.243751,-0.305599,-0.088206,-0.323378,0.446577,-0.376402,-2.866306,1.110544
11383.368000,0.892941,-2.052622,2.118223,-2.312015,-1.249151,-0.298651,-0.092698,-0.332387,0.437783,-0.376292,-2.866166,1.110672,0.075766,0.290191,0.067751,-0.371271,-0.047745,0.062869,0.893013,-2.052470,2.118258,-2.312079,-1.249181,-0.298546,-0.092709,-0.332433,0.437725,-0.376407,-2.866308,1.110542
11383.528000,0.907588,-1.989573,2.130069,-2.390699,-1.258802,-0.286369,-0.101407,-0.349995,0.420524,-0.376212,-2.866106,1.110694,0.105461,0.500116,0.071624,-0.595592,-0.070084,0.090073,0.907574,-1.989144,2.129988,-2.390855,-1.258756,-0.286277,-0.101499,-0.350111,0.420440,-0.376416,-2.866312,1.110538
11383.688000,0.925253,-1.893339,2.137998,-2.499166,-1.270560,-0.271364,-0.114150,-0.375521,0.395590,-0.376542,-2.866190,1.110721,0.107954,0.649117,0.014087,-0.696092,-0.074949,0.084896,0.925363,-1.892929,2.137961,-2.499406,-1.270626,-0.271387,-0.114191,-0.375635,0.395486,-0.376430,-2.866318,1.110532
11383.848000,0.940989,-1.787194,2.135003,-2.605808,-1.281240,-0.258530,-0.127515,-0.402495,0.369190,-0.376299,-2.866330,1.110445,0.088485,0.671257,-0.052079,-0.630969,-0.058867,0.077921,0.940958,-1.786845,2.134896,-2.606082,-1.281202,-0.258440,-0.127590,-0.402583,0.369138,-0.376445,-2.866324,1.110525
11384.008000,0.954044,-1.678503,2.120307,-2.702917,-1.290197,-0.247628,-0.140936,-0.429439,0.342891,-0.376479,-2.866216,1.110683,0.078284,0.682187,-0.124674,-0.574044,-0.050861,0.060712,0.954066,-1.678130,2.120220,-2.703069,-1.290213,-0.247655,-0.140991,-0.429531,0.342790,-0.376460,-2.866331,1.110519
11384.168000,0.965205,-1.568866,2.094438,-2.788917,-1.297944,-0.238596,-0.154367,-0.456418,0.316462,-0.376457,-2.866375,1.110462,0.065117,0.689051,-0.191211,-0.497825,-0.048776,0.053210,0.965244,-1.568669,2.094318,-2.789046,-1.297975,-0.238543,-0.154391,-0.456480,0.316442,-0.376475,-2.866337,1.110512
11384.328000,0.974870,-1.460007,2.057754,-2.862904,-1.304709,-0.230788,-0.167796,-0.483418,0.290057,-0.376547,-2.866551,1.110207,0.053958,0.674057,-0.258463,-0.423307,-0.038853,0.046331,0.974890,-1.460000,2.057727,-2.863141,-1.304716,-0.230751,-0.167791,-0.483428,0.290094,-0.376490,-2.866344,1.110506
11384.488000,0.983313,-1.353153,2.011107,-2.924895,-1.310624,-0.223987,-0.181184,-0.510376,0.263690,-0.376594,-2.866499,1.110289,0.049496,0.657030,-0.322852,-0.348405,-0.029721,0.040794,0.983301,-1.353201,2.011061,-2.924977,-1.310610,-0.224016,-0.181191,-0.510377,0.263746,-0.376504,-2.866350,1.110499
11384.648000,0.989923,-1.260083,1.961659,-2.969816,-1.315366,-0.218698,-0.193124,-0.534350,0.240175,-0.376706,-2.866435,1.110194,0.032981,0.472990,-0.274301,-0.207423,-0.025718,0.027516,0.989919,-1.260359,1.961621,-2.969684,-1.315244,-0.218753,-0.193100,-0.534327,0.240330,-0.376518,-2.866356,1.110493
