timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
12245.256000,1.115789,-1.530388,1.950630,-2.781282,-1.768288,0.037896,-0.134360,-0.489793,0.364108,-0.732002,-2.505738,1.012187,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.115777,-1.530340,1.950559,-2.781330,-1.768228,0.037824,-0.134372,-0.489815,0.364124,-0.731900,-2.505744,1.012281
12245.416000,1.115741,-1.530172,1.950882,-2.781881,-1.768240,0.037836,-0.134386,-0.489803,0.363953,-0.731957,-2.505674,1.012343,-0.003094,0.015915,0.021450,-0.047601,0.005033,-0.009683,1.115679,-1.529994,1.950891,-2.782022,-1.768163,0.037755,-0.134432,-0.489839,0.363876,-0.731900,-2.505744,1.012281
12245.576000,1.112412,-1.517883,1.962174,-2.806070,-1.766300,0.035665,-0.136455,-0.490634,0.355370,-0.732296,-2.505330,1.012415,-0.036355,0.134850,0.118589,-0.251837,0.014381,-0.041825,1.112242,-1.517622,1.962291,-2.806285,-1.765881,0.035315,-0.136531,-0.490674,0.355206,-0.731906,-2.505744,1.012275
12245.736000,1.104149,-1.485797,1.987875,-2.864893,-1.760503,0.029418,-0.141534,-0.492666,0.334338,-0.731717,-2.505726,1.012303,-0.066767,0.268753,0.195774,-0.476157,0.046882,-0.046882,1.103993,-1.485439,1.988010,-2.865341,-1.760408,0.029454,-0.141631,-0.492701,0.334149,-0.731921,-2.505743,1.012262
12245.896000,1.091107,-1.428896,2.022736,-2.958913,-1.751857,0.020351,-0.149717,-0.495836,0.301106,-0.732005,-2.505354,1.012964,-0.090428,0.441032,0.228959,-0.684994,0.061024,-0.065386,1.091182,-1.428299,2.022938,-2.959138,-1.751920,0.020334,-0.149721,-0.495916,0.300739,-0.731944,-2.505741,1.012240
12246.056000,1.077239,-1.355934,2.053108,-3.064171,-1.742635,0.010314,-0.158778,-0.499527,0.263427,-0.731825,-2.505310,1.013096,-0.079486,0.428441,0.141113,-0.589624,0.049231,-0.057213,1.077173,-1.355614,2.053269,-3.063954,-1.742647,0.010328,-0.158820,-0.499533,0.263167,-0.731971,-2.505740,1.012216
12246.216000,1.067323,-1.298094,2.069180,-3.138889,-1.736179,0.003274,-0.165371,-0.502109,0.236044,-0.731993,-2.505489,1.012525,-0.047988,0.288938,0.065808,-0.358472,0.032214,-0.034610,1.067284,-1.297900,2.069095,-3.138710,-1.736098,0.003241,-0.165410,-0.502152,0.235955,-0.731990,-2.505738,1.012198
12246.536000,1.060916,-1.257913,2.076449,-3.186973,-1.732024,-0.001139,-0.169765,-0.503908,0.218142,-0.732297,-2.505475,1.012365,0.000499,-0.001253,-0.000243,0.001917,0.001726,-0.000623,1.060917,-1.258011,2.076598,-3.186859,-1.731878,-0.001334,-0.169730,-0.503869,0.218120,-0.732002,-2.505738,1.012187
12246.696000,1.060976,-1.257913,2.076473,-3.186925,-1.731999,-0.001223,-0.169731,-0.503914,0.218127,-0.732113,-2.505592,1.012283,0.000179,-0.000511,-0.000179,0.000312,0.000000,-0.000839,1.060917,-1.258011,2.076598,-3.186859,-1.731878,-0.001334,-0.169730,-0.503869,0.218120,-0.732002,-2.505738,1.012187
12246.856000,1.060904,-1.257985,2.076545,-3.186913,-1.731928,-0.001307,-0.169748,-0.503880,0.218134,-0.732064,-2.505627,1.012260,0.000089,0.000000,0.002058,0.000168,0.000431,-0.000455,1.060917,-1.258011,2.076598,-3.186859,-1.731878,-0.001334,-0.169730,-0.503869,0.218120,-0.732002,-2.505738,1.012187
12247.016000,1.060916,-1.257985,2.076569,-3.186901,-1.731891,-0.001355,-0.169736,-0.503878,0.218123,-0.731977,-2.505696,1.012226,0.000064,0.000000,0.000217,0.000120,0.000312,-0.000192,1.060917,-1.258011,2.076598,-3.186859,-1.731878,-0.001334,-0.169730,-0.503869,0.218120,-0.732002,-2.505738,1.012187
