timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
6378.296000,1.262636,-1.678024,2.169318,-2.880760,-1.763533,0.188440,-0.038110,-0.432569,0.340483,-0.757526,-2.570320,1.146262,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.262612,-1.678012,2.169318,-2.880760,-1.763570,0.188452,-0.038124,-0.432569,0.340479,-0.757583,-2.570276,1.146227
6378.456000,1.262241,-1.677388,2.169294,-2.881456,-1.763270,0.188105,-0.038308,-0.432710,0.340308,-0.757448,-2.570288,1.146274,-0.022741,0.039014,-0.000000,-0.038949,0.025143,-0.014381,1.262118,-1.677155,2.169315,-2.881683,-1.763214,0.188109,-0.038373,-0.432756,0.340227,-0.757583,-2.570276,1.146227
6378.616000,1.250588,-1.656834,2.169066,-2.903350,-1.754946,0.180095,-0.044237,-0.437120,0.334269,-0.757568,-2.570238,1.146266,-0.122488,0.219640,-0.007695,-0.225783,0.082236,-0.082571,1.250436,-1.656395,2.168899,-2.903604,-1.754816,0.180002,-0.044336,-0.437245,0.334189,-0.757580,-2.570278,1.146229
6378.776000,1.224757,-1.607153,2.165557,-2.952394,-1.736203,0.162192,-0.058096,-0.447616,0.320167,-0.757455,-2.570608,1.145839,-0.202946,0.406326,-0.038784,-0.383639,0.145512,-0.136668,1.224494,-1.606682,2.165440,-2.953105,-1.736134,0.162079,-0.058250,-0.447717,0.320101,-0.757573,-2.570284,1.146233
6378.936000,1.187392,-1.526719,2.153161,-3.025155,-1.709221,0.136494,-0.079936,-0.463986,0.298275,-0.757330,-2.570197,1.146702,-0.252634,0.584843,-0.117784,-0.493415,0.178685,-0.164088,1.187279,-1.526005,2.153069,-3.025456,-1.709265,0.136536,-0.080053,-0.464128,0.298024,-0.757562,-2.570292,1.146240
6379.096000,1.149417,-1.432181,2.129003,-3.098657,-1.681760,0.110628,-0.104848,-0.482699,0.273053,-0.757397,-2.570345,1.146350,-0.222325,0.598662,-0.185484,-0.432535,0.156322,-0.147334,1.149449,-1.431557,2.128856,-3.099069,-1.681874,0.110733,-0.104899,-0.482829,0.272866,-0.757549,-2.570302,1.146248
6379.256000,1.118244,-1.343886,2.097504,-3.157596,-1.659341,0.089439,-0.127828,-0.499982,0.249729,-0.757440,-2.570234,1.146121,-0.153986,0.467378,-0.186903,-0.288460,0.113347,-0.107067,1.118341,-1.343582,2.097336,-3.157754,-1.659294,0.089610,-0.127814,-0.500077,0.249664,-0.757538,-2.570311,1.146255
6379.576000,1.090484,-1.256511,2.057790,-3.206924,-1.639186,0.070791,-0.150619,-0.517172,0.226622,-0.757632,-2.570131,1.146263,-0.025093,0.082579,-0.040433,-0.040555,0.017593,-0.026821,1.090636,-1.256682,2.057831,-3.206722,-1.639137,0.070851,-0.150523,-0.517169,0.226670,-0.757526,-2.570319,1.146262
6379.736000,1.089730,-1.253886,2.056472,-3.208073,-1.638683,0.070455,-0.151293,-0.517695,0.225898,-0.757918,-2.570215,1.146042,0.000000,-0.000499,0.000447,0.000815,0.000000,0.000815,1.089794,-1.253908,2.056432,-3.208139,-1.638524,0.070281,-0.151251,-0.517717,0.225933,-0.757526,-2.570320,1.146262
6379.896000,1.089766,-1.253934,2.056484,-3.208062,-1.638539,0.070287,-0.151259,-0.517698,0.225917,-0.757589,-2.570361,1.146117,0.000000,-0.000153,0.000153,0.000264,0.001390,-0.001702,1.089794,-1.253908,2.056432,-3.208139,-1.638524,0.070281,-0.151251,-0.517717,0.225933,-0.757526,-2.570320,1.146262
6380.056000,1.089754,-1.253922,2.056472,-3.208109,-1.638527,0.070263,-0.151267,-0.517700,0.225921,-0.757559,-2.570332,1.146173,0.000000,-0.000089,0.000089,-0.000024,0.000431,-0.000312,1.089794,-1.253908,2.056432,-3.208139,-1.638524,0.070281,-0.151251,-0.517717,0.225933,-0.757526,-2.570320,1.146262
