timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
6947.624000,0.959744,-1.129906,1.803772,-2.833122,-0.873690,-0.665169,-0.210496,-0.586204,0.228421,-0.374050,2.650457,-1.219126,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.959745,-1.129925,1.803761,-2.833031,-0.873617,-0.665138,-0.210490,-0.586205,0.228430,-0.373999,2.650368,-1.219072
6947.784000,0.959301,-1.130960,1.804478,-2.832282,-0.873379,-0.665673,-0.210552,-0.585852,0.228677,-0.374001,2.650382,-1.218937,-0.019712,-0.048870,0.030347,0.046810,0.025958,-0.027420,0.959177,-1.131259,1.804574,-2.832115,-0.873296,-0.665756,-0.210581,-0.585773,0.228800,-0.374000,2.650368,-1.219072
6947.944000,0.949169,-1.154727,1.818524,-2.815755,-0.867775,-0.676769,-0.212139,-0.578202,0.235323,-0.374177,2.650494,-1.219247,-0.104285,-0.243571,0.139899,0.170176,0.060808,-0.116750,0.948960,-1.154999,1.818676,-2.815331,-0.867564,-0.676916,-0.212201,-0.578097,0.235381,-0.374007,2.650368,-1.219076
6948.104000,0.925420,-1.208146,1.847862,-2.774294,-0.854581,-0.703230,-0.215770,-0.560954,0.250046,-0.374187,2.650373,-1.218958,-0.193282,-0.418444,0.223527,0.350658,0.105677,-0.216579,0.925170,-1.208538,1.847994,-2.774007,-0.854449,-0.703329,-0.215845,-0.560826,0.250189,-0.374023,2.650368,-1.219085
6948.264000,0.886486,-1.291189,1.886456,-2.700112,-0.833675,-0.747841,-0.221307,-0.534259,0.272968,-0.374162,2.650137,-1.218711,-0.282738,-0.587566,0.240912,0.558872,0.146663,-0.335343,0.886063,-1.291505,1.886545,-2.700040,-0.833642,-0.748082,-0.221482,-0.534105,0.273097,-0.374048,2.650368,-1.219100
6948.424000,0.838929,-1.383890,1.919507,-2.601923,-0.809740,-0.804507,-0.227661,-0.504224,0.298613,-0.374023,2.650089,-1.218559,-0.311590,-0.571536,0.170451,0.655345,0.151241,-0.367916,0.838592,-1.384167,1.919400,-2.601909,-0.809756,-0.804703,-0.227807,-0.504120,0.298804,-0.374077,2.650368,-1.219116
6948.584000,0.791215,-1.468676,1.939517,-2.496491,-0.787398,-0.864219,-0.233497,-0.476364,0.322616,-0.374698,2.650230,-1.219311,-0.265979,-0.437785,0.074615,0.610452,0.121113,-0.333018,0.790898,-1.468660,1.939339,-2.496100,-0.787427,-0.864189,-0.233674,-0.476312,0.322645,-0.374103,2.650368,-1.219131
6948.744000,0.756818,-1.524189,1.946786,-2.416553,-0.772467,-0.908565,-0.237515,-0.457597,0.338687,-0.374317,2.650197,-1.219002,-0.162231,-0.257709,0.021156,0.383903,0.068550,-0.216195,0.756660,-1.524084,1.946685,-2.416701,-0.772526,-0.908510,-0.237624,-0.457590,0.338696,-0.374120,2.650369,-1.219141
6948.904000,0.739117,-1.550700,1.948343,-2.375571,-0.765331,-0.931571,-0.239610,-0.448387,0.346645,-0.374154,2.650514,-1.219490,-0.052462,-0.080419,0.002237,0.131491,0.021715,-0.075836,0.739321,-1.550502,1.948411,-2.375609,-0.765362,-0.931470,-0.239549,-0.448462,0.346521,-0.374129,2.650369,-1.219146
6949.224000,0.737344,-1.553302,1.948487,-2.371167,-0.764708,-0.933851,-0.239809,-0.447464,0.347375,-0.373862,2.650538,-1.219143,0.000153,0.000000,0.000511,-0.000264,-0.000312,0.000336,0.737440,-1.553302,1.948523,-2.371119,-0.764601,-0.933982,-0.239755,-0.447486,0.347359,-0.374130,2.650369,-1.219147
