timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
6936.544000,0.737392,-1.553302,1.948534,-2.371047,-0.764601,-0.933970,-0.239774,-0.447472,0.347345,-0.373999,2.650368,-1.219072,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.737404,-1.553314,1.948511,-2.371095,-0.764589,-0.934006,-0.239770,-0.447476,0.347368,-0.374118,2.650377,-1.219173
6936.704000,0.738087,-1.552295,1.948487,-2.372703,-0.764936,-0.933059,-0.239698,-0.447828,0.347049,-0.374031,2.650437,-1.219068,0.030884,0.047962,-0.000000,-0.074446,-0.025718,0.044414,0.738236,-1.552077,1.948463,-2.373082,-0.764925,-0.932894,-0.239679,-0.447908,0.346998,-0.374118,2.650377,-1.219172
6936.864000,0.752770,-1.530076,1.947277,-2.407603,-0.770887,-0.913783,-0.238054,-0.455517,0.340419,-0.374300,2.650366,-1.219142,0.144718,0.226735,-0.016030,-0.345529,-0.062390,0.194384,0.752870,-1.529913,1.947158,-2.407823,-0.770940,-0.913477,-0.238059,-0.455584,0.340416,-0.374111,2.650377,-1.219167
6937.024000,0.784663,-1.479095,1.941074,-2.481642,-0.784776,-0.872171,-0.234413,-0.472824,0.325617,-0.373996,2.650480,-1.218878,0.246293,0.411005,-0.063865,-0.559759,-0.111837,0.313220,0.784694,-1.478989,1.941063,-2.481951,-0.784658,-0.872101,-0.234413,-0.472856,0.325609,-0.374096,2.650376,-1.219154
6937.184000,0.830821,-1.398109,1.923590,-2.585614,-0.806100,-0.813971,-0.228848,-0.499490,0.302606,-0.373716,2.650441,-1.218976,0.320845,0.574246,-0.158192,-0.685570,-0.145992,0.385676,0.831036,-1.398094,1.923362,-2.585613,-0.806106,-0.813939,-0.228774,-0.499576,0.302701,-0.374073,2.650374,-1.219135
6937.344000,0.879001,-1.305550,1.892540,-2.686096,-0.829963,-0.756405,-0.222462,-0.529493,0.276829,-0.373935,2.650294,-1.218721,0.289373,0.584754,-0.233165,-0.580228,-0.148389,0.336301,0.879112,-1.305596,1.892244,-2.686218,-0.830051,-0.756205,-0.222446,-0.529560,0.276994,-0.374048,2.650372,-1.219113
6937.504000,0.920175,-1.219114,1.853513,-2.765148,-0.851851,-0.708772,-0.216639,-0.557356,0.253037,-0.373678,2.650454,-1.218834,0.210820,0.462674,-0.229394,-0.381290,-0.116151,0.239301,0.920270,-1.219262,1.853449,-2.765140,-0.851791,-0.708841,-0.216576,-0.557370,0.253152,-0.374024,2.650370,-1.219093
6937.664000,0.946295,-1.160947,1.822284,-2.810912,-0.866123,-0.679791,-0.212624,-0.576125,0.236945,-0.373816,2.650395,-1.218812,0.117043,0.268932,-0.153296,-0.201287,-0.066009,0.133432,0.946259,-1.161194,1.822245,-2.810797,-0.866059,-0.679883,-0.212624,-0.576096,0.237097,-0.374008,2.650369,-1.219079
6937.824000,0.958582,-1.132794,1.805436,-2.831144,-0.872936,-0.666560,-0.210662,-0.585303,0.229265,-0.374285,2.650369,-1.219265,0.035218,0.088255,-0.052232,-0.057452,-0.023681,0.034778,0.958456,-1.132948,1.805600,-2.830951,-0.872890,-0.666540,-0.210697,-0.585227,0.229269,-0.374000,2.650368,-1.219072
6938.144000,0.959744,-1.129917,1.803724,-2.832978,-0.873595,-0.665205,-0.210496,-0.586214,0.228437,-0.374084,2.650353,-1.219074,-0.000153,-0.000205,-0.000000,-0.000096,-0.000983,-0.000240,0.959745,-1.129925,1.803761,-2.833031,-0.873617,-0.665138,-0.210490,-0.586205,0.228430,-0.373999,2.650368,-1.219072
