timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
7148.424000,1.014833,-1.386060,2.060317,-2.729484,-1.357215,-0.518612,-0.157722,-0.496763,0.234663,0.033489,-2.969344,0.790893,0.000000,0.000102,-0.000102,0.000743,0.000000,0.000048,1.014878,-1.385973,2.060344,-2.729387,-1.357164,-0.518534,-0.157697,-0.496774,0.234596,0.033427,-2.969582,0.790716
7148.584000,1.014845,-1.386887,2.060149,-2.728082,-1.357227,-0.518468,-0.157659,-0.496668,0.234982,0.033218,-2.969711,0.790433,0.000000,-0.044600,-0.012655,0.058795,0.000000,0.000000,1.014951,-1.387214,2.060102,-2.727918,-1.357188,-0.518470,-0.157583,-0.496653,0.235148,0.033427,-2.969582,0.790716
7148.744000,1.016210,-1.408671,2.055562,-2.701719,-1.357586,-0.517496,-0.155573,-0.494509,0.244726,0.033541,-2.969915,0.790222,0.013141,-0.219947,-0.054571,0.264660,-0.011289,-0.003643,1.016259,-1.409009,2.055435,-2.701693,-1.357611,-0.517331,-0.155541,-0.494499,0.244948,0.033429,-2.969582,0.790720
7148.904000,1.019156,-1.455920,2.042616,-2.642082,-1.358473,-0.515061,-0.150988,-0.489641,0.266777,0.033745,-2.969907,0.790315,0.023853,-0.358274,-0.116838,0.474887,0.024855,0.033076,1.019261,-1.456198,2.042405,-2.642014,-1.358596,-0.514733,-0.150946,-0.489653,0.266999,0.033433,-2.969583,0.790728
7149.064000,1.024031,-1.523482,2.015814,-2.548592,-1.359921,-0.510671,-0.143827,-0.482141,0.300883,0.033517,-2.970074,0.790548,0.034387,-0.452422,-0.219947,0.665652,0.003092,0.033100,1.024075,-1.523690,2.015491,-2.548458,-1.360214,-0.510608,-0.143838,-0.482156,0.301114,0.033440,-2.969584,0.790740
7149.224000,1.029827,-1.590606,1.976234,-2.442717,-1.361849,-0.505861,-0.135771,-0.473727,0.339168,0.033699,-2.970259,0.790447,0.037825,-0.389644,-0.278379,0.651582,-0.007622,0.030943,1.029737,-1.590693,1.975859,-2.442797,-1.362188,-0.505812,-0.135862,-0.473742,0.339397,0.033448,-2.969586,0.790753
7149.384000,1.035648,-1.647612,1.927124,-2.338125,-1.364064,-0.500799,-0.127899,-0.465358,0.377438,0.033478,-2.969784,0.791000,0.035870,-0.309493,-0.320653,0.626703,-0.012943,0.027708,1.035656,-1.647550,1.927010,-2.338090,-1.364337,-0.500843,-0.127932,-0.465378,0.377457,0.033456,-2.969587,0.790767
7149.544000,1.040485,-1.685339,1.882564,-2.256564,-1.365825,-0.496828,-0.121658,-0.458752,0.407300,0.033589,-2.969868,0.790966,0.026142,-0.173391,-0.232590,0.395599,-0.060712,0.012895,1.040510,-1.685108,1.882425,-2.256750,-1.366163,-0.496794,-0.121718,-0.458824,0.407282,0.033462,-2.969588,0.790778
7149.704000,1.043420,-1.704467,1.853633,-2.209004,-1.367189,-0.494453,-0.118045,-0.454921,0.424890,0.033602,-2.969686,0.790775,0.013640,-0.071228,-0.122118,0.199681,-0.030991,0.031135,1.043464,-1.704347,1.853637,-2.209207,-1.367301,-0.494337,-0.118056,-0.454961,0.424857,0.033465,-2.969589,0.790784
7150.024000,1.044270,-1.709719,1.844569,-2.194842,-1.367645,-0.493638,-0.116998,-0.453788,0.430156,0.033390,-2.969618,0.790694,0.000179,0.000294,-0.000000,-0.000407,0.000479,0.000719,1.044377,-1.709779,1.844509,-2.194795,-1.367657,-0.493578,-0.116941,-0.453785,0.430207,0.033466,-2.969589,0.790786
7150.184000,1.044318,-1.709683,1.844532,-2.194878,-1.367681,-0.493542,-0.116987,-0.453806,0.430162,0.033311,-2.969600,0.790720,0.001304,0.000000,-0.000000,-0.000192,0.000216,0.000431,1.044377,-1.709779,1.844509,-2.194795,-1.367657,-0.493578,-0.116941,-0.453785,0.430207,0.033466,-2.969589,0.790786
