timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
8083.392000,1.068425,-1.736427,2.015754,-2.578491,-1.545862,-0.112854,-0.109442,-0.432964,0.401489,-0.513724,-2.715354,1.013566,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.068449,-1.736403,2.015742,-2.578514,-1.545886,-0.112878,-0.109438,-0.432973,0.401488,-0.513666,-2.715339,1.013564
8083.552000,1.068281,-1.735803,2.015706,-2.579234,-1.545730,-0.112974,-0.109590,-0.433127,0.401337,-0.513660,-2.715261,1.013798,-0.005510,0.040714,-0.000000,-0.037654,0.006807,-0.007646,1.068226,-1.735549,2.015745,-2.579368,-1.545743,-0.113042,-0.109651,-0.433186,0.401225,-0.513666,-2.715339,1.013564
8083.712000,1.062904,-1.715164,2.015634,-2.599417,-1.542688,-0.116691,-0.114763,-0.438205,0.394920,-0.514209,-2.715179,1.013207,-0.053498,0.216930,-0.004794,-0.205961,0.039212,-0.044917,1.062972,-1.714911,2.015510,-2.599699,-1.542384,-0.116910,-0.114755,-0.438304,0.394907,-0.513668,-2.715340,1.013565
8083.872000,1.051372,-1.665984,2.012736,-2.645678,-1.535060,-0.125411,-0.126630,-0.450153,0.380231,-0.513767,-2.715253,1.013566,-0.090390,0.400126,-0.035614,-0.364009,0.057452,-0.069628,1.051396,-1.665684,2.012636,-2.645843,-1.534999,-0.125442,-0.126665,-0.450245,0.380165,-0.513672,-2.715341,1.013565
8084.032000,1.035036,-1.586505,2.001658,-2.714199,-1.524546,-0.137620,-0.145239,-0.468865,0.357262,-0.513419,-2.714960,1.014258,-0.111827,0.573376,-0.106113,-0.471915,0.066632,-0.083554,1.034980,-1.586094,2.001609,-2.713998,-1.524568,-0.137566,-0.145327,-0.468958,0.357064,-0.513679,-2.715343,1.013565
8084.192000,1.018414,-1.493243,1.979647,-2.784578,-1.514201,-0.149721,-0.166566,-0.490167,0.330834,-0.513857,-2.715071,1.013794,-0.092883,0.593433,-0.172228,-0.420790,0.063564,-0.076340,1.018471,-1.492897,1.979456,-2.784497,-1.514120,-0.149798,-0.166594,-0.490281,0.330740,-0.513687,-2.715345,1.013565
8084.352000,1.003995,-1.398696,1.947457,-2.846509,-1.504943,-0.160708,-0.187767,-0.511527,0.304588,-0.513398,-2.715066,1.014036,-0.088102,0.592717,-0.230378,-0.364896,0.053282,-0.057884,1.003923,-1.398302,1.947341,-2.846383,-1.504940,-0.160620,-0.187861,-0.511605,0.304415,-0.513695,-2.715347,1.013565
8084.512000,0.990989,-1.303655,1.905568,-2.899144,-1.496681,-0.170279,-0.209107,-0.532885,0.278295,-0.513556,-2.715031,1.014236,-0.074475,0.590736,-0.289973,-0.301212,0.046163,-0.056997,0.991018,-1.303352,1.905596,-2.898971,-1.496806,-0.170257,-0.209129,-0.532929,0.278090,-0.513703,-2.715349,1.013566
8084.832000,0.970498,-1.128563,1.803832,-2.970954,-1.483952,-0.185595,-0.248627,-0.572443,0.229291,-0.513824,-2.715185,1.013635,-0.042747,0.405342,-0.274762,-0.127584,0.025119,-0.031471,0.970600,-1.128541,1.803822,-2.970857,-1.483914,-0.185583,-0.248570,-0.572475,0.229270,-0.513718,-2.715353,1.013566
8084.992000,0.965324,-1.078480,1.768784,-2.985403,-1.480850,-0.189481,-0.260027,-0.583863,0.215080,-0.513974,-2.715263,1.013203,-0.022920,0.218541,-0.161362,-0.054912,0.000000,-0.013015,0.965418,-1.078652,1.768777,-2.985374,-1.480630,-0.189487,-0.259946,-0.583881,0.215189,-0.513722,-2.715354,1.013566
8085.152000,0.963396,-1.058420,1.753840,-2.990400,-1.479617,-0.190812,-0.264584,-0.588504,0.209426,-0.514144,-2.715269,1.013247,-0.002531,0.035665,-0.022703,-0.003931,0.040842,-0.047050,0.963415,-1.058680,1.753990,-2.990430,-1.479357,-0.190999,-0.264516,-0.588463,0.209532,-0.513723,-2.715354,1.013566
