timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
8432.416000,0.941696,-1.369336,2.200112,-3.103185,-1.447310,-0.085917,-0.181036,-0.454476,0.214511,-0.686049,-2.742721,1.030046,0.000000,0.000000,-0.000000,-0.000024,0.000000,0.000000,0.941745,-1.369306,2.200031,-3.103104,-1.447343,-0.085882,-0.181032,-0.454505,0.214518,-0.686057,-2.742747,1.030001
8432.576000,0.941720,-1.370367,2.200052,-3.101867,-1.447418,-0.085845,-0.180967,-0.454383,0.214858,-0.686227,-2.742813,1.029706,0.004346,-0.055249,-0.002506,0.058747,0.000000,-0.002637,0.941832,-1.370783,2.199890,-3.101494,-1.447387,-0.085813,-0.180911,-0.454400,0.215071,-0.686057,-2.742747,1.030002
8432.736000,0.943289,-1.396526,2.197214,-3.073048,-1.448124,-0.084813,-0.178775,-0.452494,0.224726,-0.685894,-2.742880,1.029777,0.015787,-0.263103,-0.033096,0.285728,-0.041513,0.043838,0.943390,-1.396796,2.196977,-3.072712,-1.448183,-0.084592,-0.178752,-0.452534,0.224905,-0.686051,-2.742751,1.030003
8432.896000,0.946858,-1.453126,2.187692,-3.007328,-1.449681,-0.082187,-0.173945,-0.448363,0.246883,-0.685557,-2.743051,1.030040,0.027612,-0.438540,-0.087028,0.517527,-0.049543,0.033556,0.946972,-1.453486,2.187631,-3.007000,-1.450017,-0.081809,-0.173894,-0.448335,0.247033,-0.686040,-2.742761,1.030008
8433.056000,0.952666,-1.535172,2.165844,-2.904392,-1.452890,-0.077449,-0.166408,-0.441846,0.281197,-0.685889,-2.742549,1.030504,0.044971,-0.554087,-0.188756,0.734154,-0.021116,0.032453,0.952729,-1.535401,2.165722,-2.903679,-1.452990,-0.077397,-0.166378,-0.441839,0.281266,-0.686021,-2.742776,1.030015
8433.216000,0.959528,-1.617478,2.130919,-2.787323,-1.456410,-0.072280,-0.157942,-0.434572,0.319582,-0.685950,-2.742943,1.030083,0.043348,-0.477400,-0.251100,0.721714,-0.033915,0.030560,0.959520,-1.617654,2.130807,-2.787073,-1.456555,-0.072279,-0.157945,-0.434549,0.319680,-0.686001,-2.742793,1.030022
8433.376000,0.966427,-1.686538,2.087216,-2.675426,-1.460278,-0.067159,-0.149792,-0.427488,0.356907,-0.685899,-2.742575,1.030366,0.040996,-0.352023,-0.267769,0.621478,-0.029361,0.027108,0.966441,-1.686422,2.087304,-2.675343,-1.460265,-0.067142,-0.149795,-0.427505,0.356803,-0.685981,-2.742810,1.030030
8433.536000,0.971696,-1.729147,2.050497,-2.596395,-1.462841,-0.063370,-0.143881,-0.422436,0.383528,-0.685683,-2.742923,1.030467,0.023559,-0.188488,-0.189459,0.384406,-0.005872,0.018504,0.971637,-1.728984,2.050544,-2.596407,-1.463104,-0.063325,-0.143948,-0.422451,0.383435,-0.685967,-2.742821,1.030035
8433.696000,0.974462,-1.749739,2.028759,-2.554193,-1.464517,-0.061511,-0.140786,-0.419693,0.397912,-0.685520,-2.742868,1.030238,0.010725,-0.072583,-0.083257,0.155364,-0.046571,-0.023489,0.974518,-1.749538,2.028922,-2.554439,-1.464699,-0.061220,-0.140800,-0.419730,0.397774,-0.685960,-2.742828,1.030038
8434.016000,0.974929,-1.753205,2.024735,-2.546554,-1.464996,-0.060876,-0.140266,-0.419202,0.400450,-0.686073,-2.742806,1.029917,0.000051,0.000205,-0.000000,-0.000312,-0.000383,-0.000336,0.975073,-1.753265,2.024664,-2.546494,-1.465008,-0.060815,-0.140201,-0.419212,0.400504,-0.685958,-2.742829,1.030039
8434.176000,0.975073,-1.753181,2.024712,-2.546554,-1.465020,-0.060839,-0.140214,-0.419229,0.400452,-0.685946,-2.742875,1.029938,0.000575,0.000102,-0.000000,-0.000048,-0.000192,-0.000168,0.975073,-1.753265,2.024664,-2.546494,-1.465008,-0.060815,-0.140201,-0.419212,0.400504,-0.685958,-2.742829,1.030039
