timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
8418.536000,0.975085,-1.753289,2.024735,-2.546554,-1.465103,-0.060756,-0.140194,-0.419198,0.400485,-0.686057,-2.742747,1.030001,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.975073,-1.753265,2.024664,-2.546494,-1.465008,-0.060815,-0.140201,-0.419212,0.400504,-0.685958,-2.742829,1.030039
8418.696000,0.974989,-1.752761,2.025490,-2.547945,-1.464996,-0.060839,-0.140273,-0.419259,0.400056,-0.685987,-2.742705,1.030179,-0.004704,0.027663,0.032086,-0.056997,0.009468,-0.003859,0.974960,-1.752514,2.025530,-2.548102,-1.464945,-0.060897,-0.140322,-0.419317,0.399951,-0.685958,-2.742829,1.030038
8418.856000,0.973073,-1.738933,2.040545,-2.576560,-1.464098,-0.062099,-0.142434,-0.421154,0.390196,-0.686278,-2.742661,1.029933,-0.020312,0.139797,0.149231,-0.286183,0.016179,-0.026389,0.972972,-1.738768,2.040625,-2.576801,-1.463841,-0.062349,-0.142481,-0.421183,0.390117,-0.685964,-2.742824,1.030036
8419.016000,0.968606,-1.705150,2.072209,-2.641842,-1.461823,-0.065432,-0.147355,-0.425355,0.368129,-0.686226,-2.742383,1.029981,-0.032661,0.287097,0.244146,-0.514746,0.009563,-0.024424,0.968599,-1.704995,2.072411,-2.642038,-1.461439,-0.065553,-0.147339,-0.425382,0.367989,-0.685975,-2.742815,1.030032
8419.176000,0.962043,-1.645202,2.115313,-2.744445,-1.457979,-0.070494,-0.154866,-0.431841,0.333877,-0.685828,-2.742573,1.030204,-0.045099,0.456589,0.273470,-0.725525,0.017880,-0.032094,0.962102,-1.645007,2.115405,-2.744523,-1.457929,-0.070355,-0.154855,-0.431878,0.333756,-0.685994,-2.742799,1.030025
8419.336000,0.955229,-1.566923,2.154131,-2.860831,-1.454375,-0.075602,-0.163261,-0.439156,0.295402,-0.685879,-2.742689,1.030009,-0.044358,0.526411,0.213556,-0.723751,0.011769,-0.029505,0.955175,-1.566794,2.154164,-2.860934,-1.454266,-0.075543,-0.163288,-0.439168,0.295342,-0.686014,-2.742782,1.030018
8419.496000,0.948774,-1.480917,2.181511,-2.973626,-1.451105,-0.080376,-0.171477,-0.446208,0.258149,-0.686148,-2.742619,1.029918,-0.035026,0.498787,0.123920,-0.625385,0.034131,-0.032070,0.948823,-1.481077,2.181454,-2.973397,-1.450969,-0.080382,-0.171438,-0.446212,0.258219,-0.686034,-2.742766,1.030010
8419.656000,0.944498,-1.414006,2.194674,-3.053007,-1.448890,-0.083722,-0.177276,-0.451262,0.231453,-0.686188,-2.742871,1.029553,-0.021910,0.332132,0.053127,-0.378702,0.006807,-0.014381,0.944460,-1.414195,2.194560,-3.052994,-1.448730,-0.083757,-0.177285,-0.451266,0.231587,-0.686048,-2.742754,1.030005
8419.816000,0.942175,-1.376386,2.199333,-3.095351,-1.447765,-0.085281,-0.180458,-0.453994,0.217171,-0.686506,-2.742585,1.029891,-0.009217,0.134850,0.011978,-0.156610,-0.048296,0.000000,0.942175,-1.376581,2.199312,-3.095149,-1.447562,-0.085544,-0.180433,-0.453987,0.217248,-0.686055,-2.742748,1.030002
8420.136000,0.941816,-1.369145,2.199897,-3.102993,-1.447429,-0.085893,-0.181041,-0.454562,0.214479,-0.686018,-2.742828,1.029784,-0.000166,0.000000,-0.000000,0.000312,0.000096,-0.000911,0.941745,-1.369306,2.200031,-3.103104,-1.447343,-0.085882,-0.181032,-0.454505,0.214518,-0.686057,-2.742747,1.030001
