timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
8637.568000,0.974019,-1.252244,2.010197,-3.032929,-1.467930,-0.061044,-0.206143,-0.515936,0.221880,-0.686032,-2.742823,1.029880,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.974076,-1.252271,2.010183,-3.032899,-1.467884,-0.060964,-0.206111,-0.515950,0.221897,-0.686056,-2.742882,1.029953
8637.728000,0.974007,-1.253371,2.010556,-3.031887,-1.467954,-0.060983,-0.206012,-0.515727,0.222213,-0.686219,-2.742992,1.029530,0.000000,-0.055658,0.018050,0.042832,0.000000,0.000000,0.974078,-1.253730,2.010629,-3.031887,-1.467877,-0.060961,-0.205933,-0.515689,0.222378,-0.686056,-2.742882,1.029953
8637.888000,0.974031,-1.279286,2.018053,-3.013438,-1.467750,-0.060983,-0.202865,-0.511108,0.230797,-0.686163,-2.743078,1.029535,0.000000,-0.266043,0.076507,0.180890,-0.047601,0.000000,0.974116,-1.279647,2.018206,-3.013552,-1.467761,-0.060925,-0.202772,-0.511049,0.230942,-0.686054,-2.742877,1.029954
8638.048000,0.974175,-1.337604,2.032819,-2.970355,-1.467618,-0.060900,-0.195695,-0.500619,0.250134,-0.686022,-2.742651,1.030008,0.000000,-0.466151,0.106062,0.357585,0.050430,0.000000,0.974203,-1.337807,2.032783,-2.969985,-1.467486,-0.060850,-0.195659,-0.500610,0.250211,-0.686049,-2.742868,1.029955
8638.208000,0.974307,-1.426822,2.048449,-2.897190,-1.467151,-0.060827,-0.184688,-0.484455,0.280081,-0.685889,-2.742339,1.030507,0.001739,-0.621083,0.077364,0.552281,0.042137,0.000887,0.974347,-1.426850,2.048464,-2.896644,-1.467031,-0.060759,-0.184654,-0.484460,0.280021,-0.686042,-2.742853,1.029956
8638.368000,0.974450,-1.524309,2.056005,-2.807245,-1.466469,-0.060731,-0.172318,-0.466295,0.313536,-0.685938,-2.742438,1.030568,0.000000,-0.599083,0.017449,0.592380,-0.007071,0.000072,0.974524,-1.524224,2.055919,-2.806744,-1.466492,-0.060699,-0.172306,-0.466336,0.313472,-0.686034,-2.742836,1.029958
8638.528000,0.974702,-1.617381,2.052700,-2.710734,-1.466049,-0.060743,-0.159947,-0.448166,0.346935,-0.685914,-2.742460,1.030305,0.000000,-0.562319,-0.052411,0.630658,0.036552,0.000455,0.974723,-1.617302,2.052532,-2.710291,-1.465941,-0.060690,-0.159957,-0.448213,0.346924,-0.686026,-2.742819,1.029960
8638.688000,0.974870,-1.692283,2.041179,-2.624407,-1.465511,-0.060707,-0.149403,-0.432685,0.375562,-0.685985,-2.742422,1.030477,0.000000,-0.368807,-0.081173,0.451997,-0.047266,0.000264,0.974912,-1.691982,2.041127,-2.624213,-1.465479,-0.060722,-0.149434,-0.432769,0.375430,-0.686019,-2.742804,1.029962
8638.848000,0.974965,-1.736175,2.030089,-2.568981,-1.465092,-0.060731,-0.142858,-0.423075,0.393283,-0.686121,-2.742836,1.030024,0.000562,-0.189204,-0.056246,0.237384,0.023633,0.000144,0.975042,-1.736024,2.030081,-2.569128,-1.465201,-0.060760,-0.142860,-0.423120,0.393240,-0.686015,-2.742795,1.029963
8639.168000,0.975133,-1.753229,2.024891,-2.546494,-1.465056,-0.060731,-0.140172,-0.419208,0.400374,-0.686089,-2.743019,1.029711,0.000179,-0.000499,0.000332,-0.000575,-0.000647,0.000072,0.975097,-1.753313,2.024735,-2.546494,-1.465092,-0.060779,-0.140184,-0.419193,0.400488,-0.686013,-2.742792,1.029963
8639.328000,0.975097,-1.753253,2.024844,-2.546482,-1.465092,-0.060719,-0.140188,-0.419199,0.400407,-0.686149,-2.742922,1.029754,0.000089,0.000000,0.000128,-0.000431,-0.000240,0.000072,0.975097,-1.753313,2.024735,-2.546494,-1.465092,-0.060779,-0.140184,-0.419193,0.400488,-0.686013,-2.742792,1.029963
