timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
8806.016000,1.001911,-1.344305,1.813746,-2.233138,-1.550077,-0.376448,-0.203736,-0.526838,0.262874,-0.281828,-3.042599,0.275610,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.001966,-1.344201,1.813778,-2.233150,-1.550109,-0.376376,-0.203715,-0.526857,0.262803,-0.281865,-3.042651,0.275428
8806.176000,1.002007,-1.344737,1.813423,-2.231819,-1.550113,-0.376292,-0.203646,-0.526788,0.263117,-0.281970,-3.042899,0.274848,0.004410,-0.024735,-0.016299,0.058843,0.000000,0.024016,1.002120,-1.345016,1.813215,-2.231774,-1.550131,-0.376231,-0.203587,-0.526809,0.263362,-0.281865,-3.042651,0.275428
8806.336000,1.004713,-1.358847,1.803089,-2.207324,-1.550520,-0.374085,-0.201401,-0.525942,0.273011,-0.281453,-3.042956,0.274693,0.026909,-0.143606,-0.109974,0.246468,-0.056590,0.028858,1.004870,-1.359213,1.802868,-2.207268,-1.550526,-0.373637,-0.201309,-0.525957,0.273309,-0.281867,-3.042656,0.275430
8806.496000,1.011001,-1.389093,1.777489,-2.152150,-1.551287,-0.367800,-0.196238,-0.524025,0.295609,-0.281960,-3.042737,0.275615,0.050621,-0.228665,-0.214898,0.436729,-0.009635,0.045109,1.011125,-1.389170,1.777340,-2.151866,-1.551438,-0.367745,-0.196183,-0.524041,0.295690,-0.281872,-3.042667,0.275433
8806.656000,1.020989,-1.430130,1.732012,-2.066011,-1.552724,-0.358624,-0.188207,-0.521031,0.330344,-0.281612,-3.042678,0.275997,0.070806,-0.263423,-0.346207,0.603454,-0.019630,0.069101,1.020988,-1.429950,1.731786,-2.065647,-1.552916,-0.358473,-0.188253,-0.521075,0.330315,-0.281879,-3.042684,0.275438
8806.816000,1.032318,-1.467501,1.672707,-1.969356,-1.554484,-0.347901,-0.179314,-0.517698,0.368946,-0.281767,-3.042746,0.275886,0.066102,-0.193090,-0.374777,0.570090,-0.027779,0.063397,1.032240,-1.467176,1.672502,-1.969247,-1.554662,-0.347916,-0.179424,-0.517774,0.368861,-0.281888,-3.042703,0.275443
8806.976000,1.041120,-1.490174,1.620503,-1.894157,-1.555813,-0.339528,-0.172542,-0.515147,0.398731,-0.281993,-3.043035,0.275420,0.046697,-0.102061,-0.273330,0.376808,-0.055559,0.039979,1.041160,-1.489991,1.620365,-1.894368,-1.556092,-0.339559,-0.172584,-0.515216,0.398726,-0.281894,-3.042718,0.275447
8807.136000,1.046473,-1.500940,1.587374,-1.850436,-1.556759,-0.334647,-0.168547,-0.513705,0.416203,-0.281788,-3.042920,0.275551,0.023304,-0.041239,-0.135745,0.180243,0.031039,0.019199,1.046448,-1.500852,1.587402,-1.850581,-1.556958,-0.334607,-0.168592,-0.513723,0.416158,-0.281898,-3.042726,0.275450
8807.296000,1.047851,-1.503566,1.577520,-1.837863,-1.557238,-0.333327,-0.167523,-0.513290,0.421147,-0.281868,-3.042756,0.275235,0.001023,0.003784,0.010738,-0.014381,0.016802,0.001486,1.047994,-1.503662,1.577484,-1.837862,-1.557214,-0.333159,-0.167434,-0.513290,0.421215,-0.281899,-3.042729,0.275450
8807.616000,1.047863,-1.503578,1.577556,-1.837923,-1.557298,-0.333135,-0.167520,-0.513287,0.421141,-0.282145,-3.042677,0.275255,-0.000128,0.000102,-0.000000,-0.000192,-0.000192,0.001774,1.047994,-1.503662,1.577484,-1.837862,-1.557214,-0.333159,-0.167434,-0.513290,0.421215,-0.281899,-3.042729,0.275450
8807.776000,1.047922,-1.503602,1.577532,-1.837935,-1.557286,-0.333016,-0.167486,-0.513293,0.421167,-0.282233,-3.042662,0.275356,0.001662,-0.000588,-0.000000,-0.000192,0.000024,0.000575,1.047994,-1.503662,1.577484,-1.837862,-1.557214,-0.333159,-0.167434,-0.513290,0.421215,-0.281899,-3.042729,0.275450
