timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
9345.400000,1.056006,-1.156836,1.788146,-2.783535,-1.416571,-0.307383,-0.193187,-0.592586,0.230528,-0.224085,-2.905431,0.887867,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.055966,-1.156886,1.788129,-2.783613,-1.416607,-0.307339,-0.193212,-0.592575,0.230576,-0.224194,-2.905285,0.888014
9345.560000,1.055994,-1.157507,1.788541,-2.783104,-1.416607,-0.307419,-0.193099,-0.592408,0.230711,-0.224094,-2.905514,0.887641,0.000000,-0.038976,0.020351,0.035090,0.000000,0.000000,1.055929,-1.157829,1.788604,-2.783140,-1.416583,-0.307372,-0.193106,-0.592344,0.230884,-0.224194,-2.905285,0.888013
9345.720000,1.055072,-1.180196,1.799581,-2.771537,-1.416152,-0.307971,-0.190576,-0.586848,0.238196,-0.224470,-2.905286,0.887799,-0.011863,-0.237473,0.113054,0.118764,-0.005009,-0.003164,1.055022,-1.180439,1.799709,-2.771513,-1.415984,-0.308156,-0.190559,-0.586785,0.238285,-0.224188,-2.905290,0.888006
9345.880000,1.052809,-1.233017,1.823482,-2.742611,-1.414943,-0.309722,-0.184673,-0.573827,0.255517,-0.224818,-2.904895,0.887959,-0.019047,-0.413165,0.180959,0.248385,0.037367,-0.032381,1.052827,-1.233157,1.823506,-2.742294,-1.414533,-0.310062,-0.184616,-0.573815,0.255553,-0.224173,-2.905303,0.887989
9346.040000,1.049120,-1.315044,1.854831,-2.691024,-1.412320,-0.313188,-0.175366,-0.553537,0.282382,-0.224442,-2.905326,0.887554,-0.026896,-0.587566,0.193013,0.384334,0.032381,-0.016706,1.049143,-1.315453,1.854761,-2.690746,-1.412095,-0.313281,-0.175303,-0.553489,0.282614,-0.224151,-2.905323,0.887962
9346.200000,1.044593,-1.407975,1.881283,-2.624203,-1.409219,-0.317363,-0.164695,-0.530369,0.313339,-0.224055,-2.905167,0.887934,-0.029197,-0.572315,0.133853,0.446868,0.021596,-0.024688,1.044538,-1.408204,1.881207,-2.623794,-1.409057,-0.317341,-0.164690,-0.530328,0.313450,-0.224125,-2.905346,0.887932
9346.360000,1.039443,-1.498806,1.897737,-2.548880,-1.405866,-0.321896,-0.154100,-0.507191,0.344183,-0.224142,-2.905349,0.887650,-0.035806,-0.560862,0.074155,0.498088,0.015532,-0.028403,1.039433,-1.498970,1.897667,-2.548755,-1.405715,-0.321883,-0.154078,-0.507167,0.344287,-0.224099,-2.905369,0.887901
9346.680000,1.030054,-1.636041,1.902981,-2.415377,-1.399951,-0.330269,-0.137292,-0.470437,0.393102,-0.224261,-2.905409,0.887367,-0.018689,-0.252544,-0.015442,0.267680,0.008461,-0.026557,1.030105,-1.635952,1.902926,-2.415650,-1.399715,-0.330262,-0.137270,-0.470485,0.393124,-0.224058,-2.905405,0.887853
9346.840000,1.027935,-1.662662,1.900898,-2.386344,-1.398634,-0.331996,-0.133855,-0.462940,0.403081,-0.224540,-2.905432,0.887358,-0.006277,-0.086261,-0.007517,0.092063,-0.039884,-0.003907,1.027977,-1.662586,1.900839,-2.386607,-1.398369,-0.332185,-0.133833,-0.462984,0.403110,-0.224049,-2.905412,0.887843
9347.000000,1.027791,-1.665924,1.900706,-2.382913,-1.398382,-0.332283,-0.133358,-0.462020,0.404273,-0.224249,-2.905481,0.887512,-0.000281,-0.000281,-0.000396,-0.000959,0.000000,-0.000647,1.027695,-1.665996,1.900491,-2.382805,-1.398191,-0.332440,-0.133388,-0.462013,0.404404,-0.224048,-2.905413,0.887842
