timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
9519.088000,1.027695,-1.665996,1.900455,-2.382877,-1.398167,-0.332391,-0.133389,-0.462018,0.404431,-0.224089,-2.905351,0.887998,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.027695,-1.665996,1.900491,-2.382805,-1.398191,-0.332440,-0.133388,-0.462013,0.404404,-0.224048,-2.905413,0.887842
9519.248000,1.027707,-1.665144,1.900491,-2.383957,-1.398227,-0.332367,-0.133532,-0.462259,0.404150,-0.224084,-2.905168,0.888186,0.000000,0.044600,0.004129,-0.054217,0.000000,0.000000,1.027792,-1.664826,1.900613,-2.384111,-1.398252,-0.332352,-0.133541,-0.462346,0.403960,-0.224048,-2.905413,0.887842
9519.408000,1.029396,-1.644099,1.902275,-2.407004,-1.399113,-0.331168,-0.136254,-0.468219,0.396240,-0.223547,-2.905274,0.888246,0.017002,0.217621,0.016209,-0.226358,-0.021596,0.025239,1.029491,-1.643853,1.902423,-2.407150,-1.399323,-0.330820,-0.136256,-0.468276,0.396065,-0.224050,-2.905410,0.887850
9519.568000,1.033084,-1.595653,1.903927,-2.457352,-1.401328,-0.327773,-0.142343,-0.481588,0.378407,-0.223680,-2.905604,0.888017,0.028264,0.394169,0.001496,-0.390710,-0.028786,0.025311,1.033130,-1.595479,1.904043,-2.457687,-1.401634,-0.327546,-0.142364,-0.481619,0.378303,-0.224054,-2.905404,0.887865
9519.728000,1.038222,-1.517930,1.900035,-2.531634,-1.404825,-0.322916,-0.151819,-0.502207,0.350744,-0.224190,-2.905735,0.887566,0.037378,0.557359,-0.058074,-0.503985,-0.010786,0.031614,1.038304,-1.517856,1.899858,-2.531882,-1.404960,-0.322912,-0.151815,-0.502260,0.350822,-0.224061,-2.905394,0.887890
9519.888000,1.043539,-1.427661,1.885677,-2.608255,-1.408202,-0.318238,-0.162390,-0.525400,0.319896,-0.224110,-2.905810,0.887585,0.032380,0.569426,-0.119983,-0.455880,-0.032933,0.028163,1.043539,-1.427647,1.885539,-2.608520,-1.408367,-0.318259,-0.162420,-0.525424,0.319985,-0.224068,-2.905383,0.887918
9520.048000,1.048210,-1.335339,1.861321,-2.677224,-1.411303,-0.314148,-0.173013,-0.548543,0.289147,-0.224022,-2.905497,0.888008,0.029491,0.584229,-0.181777,-0.407464,-0.010258,0.026198,1.048254,-1.335233,1.861194,-2.677246,-1.411464,-0.314105,-0.173025,-0.548587,0.289147,-0.224075,-2.905372,0.887945
9520.208000,1.052234,-1.248109,1.829912,-2.733524,-1.413925,-0.310729,-0.182863,-0.570109,0.260380,-0.223895,-2.905547,0.887956,0.022677,0.465921,-0.191978,-0.277651,-0.006088,0.008629,1.052238,-1.248179,1.829753,-2.733402,-1.414088,-0.310628,-0.182885,-0.570124,0.260476,-0.224082,-2.905361,0.887971
9520.368000,1.054737,-1.188777,1.803856,-2.767005,-1.415637,-0.308619,-0.189556,-0.584708,0.240922,-0.223862,-2.905587,0.887755,0.012783,0.275874,-0.130580,-0.157161,-0.014381,0.037535,1.054735,-1.189088,1.803819,-2.766894,-1.415733,-0.308464,-0.189544,-0.584670,0.241111,-0.224086,-2.905355,0.887988
9520.688000,1.055910,-1.156752,1.788182,-2.783655,-1.416571,-0.307479,-0.193246,-0.592572,0.230476,-0.224081,-2.905383,0.887838,0.000230,-0.000703,-0.000000,0.000719,-0.001079,0.000935,1.056036,-1.156853,1.788118,-2.783600,-1.416588,-0.307343,-0.193173,-0.592596,0.230559,-0.224089,-2.905351,0.887998
9520.848000,1.055994,-1.156824,1.788169,-2.783679,-1.416619,-0.307443,-0.193196,-0.592580,0.230528,-0.224013,-2.905300,0.887950,0.000882,-0.000205,-0.000000,0.000240,-0.000288,0.000264,1.056036,-1.156853,1.788118,-2.783600,-1.416588,-0.307343,-0.193173,-0.592596,0.230559,-0.224089,-2.905351,0.887998
