timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
10252.856000,0.932606,-1.389309,2.052532,-2.800221,-1.525085,-0.025184,-0.211451,-0.477343,0.246872,-0.842476,-2.760042,0.814978,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.932606,-1.389305,2.052552,-2.800209,-1.525108,-0.025142,-0.211450,-0.477338,0.246860,-0.842552,-2.760037,0.814924
10253.016000,0.932726,-1.389909,2.052496,-2.799346,-1.525205,-0.024885,-0.211342,-0.477281,0.247084,-0.842835,-2.760110,0.814658,0.007926,-0.035550,-0.007989,0.051053,0.001965,0.039500,0.932798,-1.390127,2.052384,-2.799225,-1.525204,-0.024981,-0.211304,-0.477290,0.247229,-0.842552,-2.760037,0.814924
10253.176000,0.937217,-1.409342,2.048269,-2.775756,-1.527217,-0.021502,-0.207868,-0.476101,0.255866,-0.842253,-2.760435,0.814648,0.048934,-0.201130,-0.047950,0.251022,-0.032022,0.047889,0.937439,-1.409636,2.048035,-2.775516,-1.527525,-0.021088,-0.207787,-0.476138,0.256088,-0.842550,-2.760044,0.814921
10253.336000,0.948295,-1.453150,2.035658,-2.719774,-1.533072,-0.011968,-0.199693,-0.473437,0.276596,-0.842650,-2.760062,0.814634,0.089367,-0.341758,-0.110383,0.448546,-0.048081,0.075477,0.948485,-1.453432,2.035555,-2.719556,-1.533059,-0.011839,-0.199583,-0.473448,0.276757,-0.842548,-2.760060,0.814914
10253.496000,0.966223,-1.516564,2.009658,-2.630702,-1.542077,0.003214,-0.186838,-0.469222,0.309006,-0.842965,-2.760087,0.814597,0.133277,-0.429016,-0.208148,0.633726,-0.068550,0.108002,0.966425,-1.516782,2.009565,-2.630612,-1.542085,0.003138,-0.186727,-0.469234,0.309146,-0.842543,-2.760085,0.814902
10253.656000,0.987588,-1.579969,1.970977,-2.529115,-1.552820,0.020771,-0.172226,-0.464450,0.345802,-0.842579,-2.760087,0.814870,0.128139,-0.344622,-0.254935,0.605084,-0.061719,0.105725,0.987706,-1.580003,1.970964,-2.529075,-1.552855,0.020847,-0.172170,-0.464462,0.345820,-0.842539,-2.760113,0.814889
10253.816000,1.005097,-1.622874,1.934296,-2.449602,-1.561693,0.035318,-0.160761,-0.460694,0.374527,-0.842586,-2.760153,0.814870,0.087693,-0.197359,-0.194662,0.391429,-0.042712,0.075333,1.005076,-1.622700,1.934300,-2.449798,-1.561699,0.035266,-0.160799,-0.460735,0.374467,-0.842535,-2.760135,0.814879
10253.976000,1.015588,-1.645130,1.910107,-2.403404,-1.567129,0.044036,-0.154105,-0.458508,0.391413,-0.842577,-2.759939,0.815173,0.045853,-0.085903,-0.098303,0.192826,-0.015771,0.036240,1.015600,-1.644976,1.910176,-2.403384,-1.567079,0.043992,-0.154116,-0.458545,0.391304,-0.842533,-2.760148,0.814873
10254.296000,1.018773,-1.651258,1.902550,-2.389536,-1.568650,0.046507,-0.152121,-0.457886,0.396376,-0.842345,-2.760178,0.814979,-0.000217,0.000256,0.000217,-0.000407,-0.000791,-0.000431,1.018809,-1.651258,1.902563,-2.389476,-1.568722,0.046651,-0.152108,-0.457886,0.396362,-0.842532,-2.760152,0.814871
10254.456000,1.018785,-1.651270,1.902550,-2.389488,-1.568710,0.046651,-0.152117,-0.457882,0.396376,-0.842555,-2.760126,0.814922,-0.000115,0.000115,0.000115,-0.000192,-0.000264,0.000719,1.018809,-1.651258,1.902563,-2.389476,-1.568722,0.046651,-0.152108,-0.457886,0.396362,-0.842532,-2.760152,0.814871
10254.616000,1.018797,-1.651258,1.902575,-2.389500,-1.568698,0.046639,-0.152111,-0.457885,0.396359,-0.842524,-2.760161,0.814897,-0.000077,0.000077,0.000077,-0.000120,-0.000144,0.000240,1.018809,-1.651258,1.902563,-2.389476,-1.568722,0.046651,-0.152108,-0.457886,0.396362,-0.842532,-2.760152,0.814871
