timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
10238.968000,1.018821,-1.651294,1.902575,-2.389524,-1.568806,0.046675,-0.152102,-0.457875,0.396379,-0.842552,-2.760037,0.814924,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.018809,-1.651258,1.902563,-2.389476,-1.568722,0.046651,-0.152108,-0.457886,0.396362,-0.842532,-2.760152,0.814871
10239.128000,1.018606,-1.650922,1.903041,-2.390328,-1.568638,0.046543,-0.152227,-0.457913,0.396069,-0.842617,-2.760100,0.814918,-0.014650,0.024812,0.025336,-0.044270,0.005057,-0.005872,1.018574,-1.650806,1.903124,-2.390490,-1.568602,0.046456,-0.152254,-0.457934,0.395993,-0.842532,-2.760152,0.814871
10239.288000,1.013085,-1.639746,1.916250,-2.414525,-1.566099,0.042153,-0.155732,-0.459069,0.387173,-0.842973,-2.759927,0.814508,-0.059953,0.115918,0.132638,-0.251741,0.026533,-0.051292,1.012973,-1.639656,1.916324,-2.414860,-1.565734,0.041814,-0.155770,-0.459087,0.387135,-0.842533,-2.760145,0.814874
10239.448000,1.000223,-1.611518,1.944942,-2.471554,-1.559166,0.031277,-0.163931,-0.461770,0.366567,-0.842592,-2.760208,0.814845,-0.102879,0.234495,0.220650,-0.457438,0.049471,-0.084297,1.000157,-1.611379,1.945102,-2.471910,-1.559190,0.031185,-0.163975,-0.461776,0.366466,-0.842536,-2.760129,0.814881
10239.608000,0.980834,-1.561156,1.984257,-2.561197,-1.549394,0.015123,-0.176764,-0.465931,0.334254,-0.842519,-2.760051,0.814944,-0.133533,0.386231,0.253465,-0.642450,0.068574,-0.109752,0.980777,-1.560785,1.984360,-2.561618,-1.549341,0.015086,-0.176831,-0.465990,0.334077,-0.842540,-2.760104,0.814893
10239.768000,0.959756,-1.494789,2.019969,-2.662764,-1.538797,-0.002386,-0.191389,-0.470694,0.297431,-0.842640,-2.760075,0.814715,-0.119280,0.422752,0.183937,-0.598612,0.062582,-0.102897,0.959830,-1.494595,2.019883,-2.662988,-1.538761,-0.002362,-0.191388,-0.470762,0.297403,-0.842545,-2.760076,0.814906
10239.928000,0.944211,-1.436736,2.040820,-2.741580,-1.530893,-0.015554,-0.202740,-0.474497,0.268748,-0.842301,-2.759987,0.815140,-0.074973,0.297183,0.086107,-0.386707,0.040746,-0.060400,0.944172,-1.436774,2.040771,-2.741313,-1.530896,-0.015448,-0.202759,-0.474489,0.268755,-0.842549,-2.760054,0.814917
10240.248000,0.932642,-1.389249,2.052377,-2.800209,-1.525348,-0.024968,-0.211481,-0.477378,0.246907,-0.842770,-2.759745,0.814951,0.000614,-0.006277,0.000920,0.012535,-0.032381,0.002900,0.932606,-1.389305,2.052552,-2.800209,-1.525108,-0.025142,-0.211450,-0.477338,0.246860,-0.842552,-2.760037,0.814924
10240.408000,0.932702,-1.389321,2.052401,-2.800125,-1.525169,-0.025005,-0.211429,-0.477384,0.246923,-0.842616,-2.759966,0.815029,0.000217,-0.000217,0.000217,0.000383,0.002637,-0.000120,0.932606,-1.389305,2.052552,-2.800209,-1.525108,-0.025142,-0.211450,-0.477338,0.246860,-0.842552,-2.760037,0.814924
10240.568000,0.932666,-1.389273,2.052437,-2.800101,-1.525181,-0.025184,-0.211446,-0.477374,0.246880,-0.842430,-2.760038,0.814846,0.000089,-0.000153,-0.000141,0.000192,0.000383,-0.000671,0.932606,-1.389305,2.052552,-2.800209,-1.525108,-0.025142,-0.211450,-0.477338,0.246860,-0.842552,-2.760037,0.814924
