timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
10508.376000,0.917457,-1.193404,1.775345,-2.702030,-1.172568,-0.628644,-0.253751,-0.566515,0.252995,0.141459,-2.952989,1.019210,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.917449,-1.193481,1.775307,-2.701971,-1.172468,-0.628681,-0.253746,-0.566513,0.253054,0.141563,-2.952963,1.019364
10508.536000,0.917097,-1.194447,1.776016,-2.701263,-1.172269,-0.629015,-0.253729,-0.566165,0.253240,0.141490,-2.953284,1.019070,-0.014534,-0.048205,0.027688,0.041274,0.016490,-0.011769,0.916996,-1.194809,1.776039,-2.701214,-1.172226,-0.629102,-0.253744,-0.566089,0.253444,0.141563,-2.952963,1.019364
10508.696000,0.908918,-1.218274,1.788600,-2.687739,-1.168114,-0.636560,-0.253721,-0.558604,0.260378,0.141488,-2.952580,1.019461,-0.085110,-0.237614,0.124406,0.149755,0.051532,-0.079575,0.908839,-1.218416,1.788728,-2.687377,-1.167880,-0.636682,-0.253713,-0.558545,0.260368,0.141557,-2.952961,1.019365
10508.856000,0.890043,-1.271398,1.814896,-2.653988,-1.157877,-0.654325,-0.253530,-0.541665,0.275972,0.141747,-2.952654,1.019709,-0.156210,-0.416322,0.194560,0.281414,0.083818,-0.147574,0.889781,-1.271494,1.814960,-2.653548,-1.157804,-0.654511,-0.253643,-0.541571,0.275947,0.141543,-2.952957,1.019367
10509.016000,0.858486,-1.352949,1.849083,-2.594056,-1.141509,-0.684121,-0.253463,-0.515428,0.299887,0.141416,-2.953158,1.019197,-0.229177,-0.575025,0.212878,0.455688,0.118212,-0.218856,0.858233,-1.353292,1.849090,-2.593819,-1.141374,-0.684393,-0.253534,-0.515310,0.300050,0.141522,-2.952951,1.019370
10509.176000,0.819958,-1.443499,1.877786,-2.516450,-1.121765,-0.721583,-0.253293,-0.486042,0.326846,0.141877,-2.953256,1.019187,-0.236795,-0.533020,0.134850,0.495763,0.117949,-0.232470,0.819718,-1.443600,1.877648,-2.516484,-1.121778,-0.721515,-0.253413,-0.485982,0.326968,0.141498,-2.952944,1.019373
10509.336000,0.786724,-1.513422,1.892803,-2.447443,-1.105397,-0.754090,-0.253265,-0.462876,0.348172,0.141694,-2.953141,1.019190,-0.172598,-0.343318,0.060861,0.359934,0.086454,-0.170823,0.786626,-1.513400,1.892800,-2.447680,-1.105383,-0.753990,-0.253317,-0.462859,0.348191,0.141479,-2.952939,1.019376
10509.496000,0.765705,-1.554045,1.898694,-2.403620,-1.095304,-0.774842,-0.253259,-0.449107,0.360786,0.141501,-2.952895,1.019305,-0.089559,-0.162896,0.019098,0.190429,0.044509,-0.089810,0.765787,-1.553890,1.898622,-2.403733,-1.095282,-0.774723,-0.253260,-0.449167,0.360759,0.141468,-2.952936,1.019378
10509.656000,0.759070,-1.566491,1.899820,-2.389524,-1.092214,-0.781440,-0.253247,-0.444875,0.364799,0.141469,-2.952641,1.019379,-0.001662,0.011543,0.000614,-0.029577,-0.012344,0.021404,0.759082,-1.566372,1.899952,-2.389535,-1.092071,-0.781440,-0.253243,-0.444893,0.364682,0.141465,-2.952935,1.019378
10509.976000,0.759082,-1.566419,1.899916,-2.389715,-1.092095,-0.781356,-0.253241,-0.444889,0.364743,0.141421,-2.952688,1.019554,0.000000,0.000128,0.000716,-0.000240,0.000072,0.000192,0.759082,-1.566372,1.899952,-2.389535,-1.092071,-0.781440,-0.253243,-0.444893,0.364682,0.141465,-2.952935,1.019378
10510.136000,0.759106,-1.566336,1.899940,-2.389667,-1.092071,-0.781403,-0.253242,-0.444909,0.364686,0.141484,-2.952843,1.019466,0.000000,0.000077,0.000205,-0.000168,0.000407,0.000000,0.759082,-1.566372,1.899952,-2.389535,-1.092071,-0.781440,-0.253243,-0.444893,0.364682,0.141465,-2.952935,1.019378
