timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
10497.296000,0.759106,-1.566359,1.899952,-2.389512,-1.092059,-0.781487,-0.253233,-0.444901,0.364673,0.141563,-2.952963,1.019364,0.000000,0.000000,-0.000000,0.000000,0.000024,0.000000,0.759082,-1.566372,1.899952,-2.389535,-1.092071,-0.781440,-0.253243,-0.444893,0.364682,0.141465,-2.952935,1.019378
10497.456000,0.759669,-1.565317,1.899916,-2.390615,-1.092370,-0.781020,-0.253230,-0.445249,0.364300,0.141635,-2.953078,1.019182,0.024493,0.047374,-0.002544,-0.056661,-0.032381,0.009635,0.759752,-1.565136,1.899830,-2.390955,-1.092391,-0.780767,-0.253244,-0.445317,0.364292,0.141465,-2.952935,1.019378
10497.616000,0.771262,-1.543145,1.897473,-2.415653,-1.097878,-0.769229,-0.253331,-0.452763,0.357315,0.141407,-2.953105,1.019326,0.117720,0.227144,-0.029708,-0.246132,-0.059466,0.113323,0.771505,-1.543038,1.897285,-2.415823,-1.098036,-0.769012,-0.253276,-0.452861,0.357368,0.141471,-2.952937,1.019377
10497.776000,0.796568,-1.492775,1.889030,-2.469071,-1.110330,-0.743930,-0.253426,-0.469698,0.341867,0.141168,-2.952800,1.019493,0.198408,0.406415,-0.081531,-0.404420,-0.096233,0.193977,0.796879,-1.492511,1.888926,-2.469157,-1.110417,-0.743870,-0.253346,-0.469835,0.341788,0.141485,-2.952941,1.019375
10497.936000,0.833192,-1.412710,1.869140,-2.544383,-1.128697,-0.708256,-0.253531,-0.496000,0.317639,0.141164,-2.953016,1.019219,0.247367,0.564505,-0.170873,-0.494829,-0.126218,0.234244,0.833416,-1.412634,1.868962,-2.544416,-1.128687,-0.708230,-0.253454,-0.496096,0.317686,0.141506,-2.952947,1.019372
10498.096000,0.870582,-1.321733,1.836989,-2.618087,-1.147783,-0.672642,-0.253636,-0.525402,0.290674,0.141531,-2.952934,1.019365,0.215064,0.543042,-0.218835,-0.411179,-0.113251,0.204906,0.870694,-1.321858,1.836886,-2.617889,-1.147825,-0.672535,-0.253576,-0.525424,0.290767,0.141530,-2.952953,1.019369
10498.256000,0.897732,-1.249667,1.804718,-2.667945,-1.162103,-0.646996,-0.253663,-0.548520,0.269466,0.141380,-2.953061,1.019137,0.130746,0.362237,-0.175769,-0.232542,-0.066465,0.124348,0.897735,-1.249691,1.804571,-2.667904,-1.161996,-0.647051,-0.253671,-0.548547,0.269545,0.141549,-2.952959,1.019366
10498.416000,0.912893,-1.206768,1.782566,-2.694489,-1.170053,-0.632938,-0.253725,-0.562267,0.256965,0.141640,-2.952778,1.019503,0.060362,0.178287,-0.096590,-0.098822,-0.032309,0.054336,0.912857,-1.206855,1.782593,-2.694245,-1.170019,-0.632944,-0.253728,-0.562239,0.256977,0.141560,-2.952962,1.019364
10498.576000,0.917468,-1.193308,1.775310,-2.701923,-1.172329,-0.628775,-0.253741,-0.566544,0.252946,0.141731,-2.953214,1.019293,-0.000805,-0.011684,0.007772,0.000887,0.043191,-0.005848,0.917449,-1.193481,1.775307,-2.701971,-1.172468,-0.628681,-0.253746,-0.566513,0.253054,0.141563,-2.952963,1.019364
10498.896000,0.917480,-1.193415,1.775381,-2.702019,-1.172472,-0.628764,-0.253725,-0.566516,0.252987,0.141703,-2.953028,1.019267,0.000000,0.000000,-0.000000,-0.000863,-0.000455,0.000599,0.917449,-1.193481,1.775307,-2.701971,-1.172468,-0.628681,-0.253746,-0.566513,0.253054,0.141563,-2.952963,1.019364
