timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
10827.656000,1.143609,-1.042828,2.031383,-3.697517,-1.860391,0.107630,-0.144260,-0.528362,0.181725,-0.813638,-2.187506,1.417144,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.143585,-1.042814,2.031344,-3.697542,-1.860359,0.107701,-0.144275,-0.528370,0.181733,-0.813729,-2.187469,1.417241
10827.816000,1.143873,-1.043871,2.032329,-3.697242,-1.860774,0.107810,-0.144004,-0.528069,0.181953,-0.813792,-2.187493,1.416922,0.014164,-0.049330,0.041545,0.027276,-0.022219,0.026965,1.143953,-1.044139,2.032383,-3.697207,-1.860691,0.107864,-0.143941,-0.528050,0.182076,-0.813729,-2.187470,1.417241
10827.976000,1.150435,-1.067503,2.050425,-3.690949,-1.866499,0.110460,-0.138101,-0.522412,0.188072,-0.813373,-2.187596,1.417020,0.069886,-0.242037,0.182071,0.062654,-0.066560,0.029769,1.150606,-1.067808,2.050569,-3.690850,-1.866680,0.110820,-0.137997,-0.522368,0.188178,-0.813724,-2.187477,1.417237
10828.136000,1.166267,-1.121456,2.089276,-3.673662,-1.880824,0.117799,-0.124714,-0.509675,0.201809,-0.813716,-2.187523,1.417054,0.131743,-0.432237,0.300226,0.149635,-0.116151,0.057021,1.166361,-1.121821,2.089542,-3.673656,-1.880843,0.117867,-0.124624,-0.509582,0.201908,-0.813713,-2.187492,1.417227
10828.296000,1.193117,-1.207176,2.144106,-3.638893,-1.904744,0.129935,-0.103950,-0.489893,0.223058,-0.813573,-2.187638,1.417187,0.199763,-0.609514,0.359872,0.279856,-0.179332,0.087725,1.193089,-1.207519,2.144302,-3.638793,-1.904815,0.129985,-0.103934,-0.489800,0.223150,-0.813695,-2.187515,1.417211
10828.456000,1.226948,-1.306329,2.197154,-3.587288,-1.934892,0.145560,-0.080738,-0.467657,0.246857,-0.813485,-2.187768,1.417182,0.224345,-0.626631,0.300660,0.364225,-0.199585,0.104383,1.226989,-1.306684,2.197181,-3.587022,-1.935120,0.145660,-0.080717,-0.467603,0.246987,-0.813676,-2.187542,1.417194
10828.616000,1.265642,-1.408203,2.240202,-3.521544,-1.969689,0.164075,-0.057559,-0.445424,0.270744,-0.813842,-2.187434,1.417136,0.260317,-0.639031,0.232104,0.451422,-0.228491,0.123533,1.265746,-1.408446,2.240198,-3.521284,-1.969634,0.164029,-0.057500,-0.445405,0.270824,-0.813657,-2.187568,1.417176
10828.776000,1.310215,-1.511156,2.272471,-3.441634,-2.009254,0.185718,-0.034320,-0.423264,0.294534,-0.813662,-2.187566,1.416815,0.293361,-0.638404,0.166053,0.529343,-0.256870,0.142756,1.310199,-1.511438,2.272462,-3.441538,-2.009049,0.185746,-0.034301,-0.423224,0.294642,-0.813637,-2.187595,1.417159
10828.936000,1.351712,-1.595354,2.290451,-3.366283,-2.045621,0.206427,-0.015239,-0.405023,0.314135,-0.813244,-2.187631,1.417171,0.217851,-0.416143,0.069975,0.404707,-0.191987,0.116607,1.351532,-1.595259,2.290335,-3.366189,-2.045527,0.206638,-0.015316,-0.405073,0.314133,-0.813622,-2.187616,1.417145
10829.256000,1.389676,-1.663274,2.298944,-3.297433,-2.078947,0.226500,0.000437,-0.390048,0.330351,-0.813502,-2.187558,1.417439,0.008718,-0.013486,0.001534,0.006999,-0.008629,0.003955,1.389491,-1.663046,2.299048,-3.297557,-2.078874,0.226497,0.000364,-0.390081,0.330232,-0.813609,-2.187634,1.417133
10829.416000,1.389580,-1.663106,2.298932,-3.297529,-2.078803,0.226416,0.000402,-0.390092,0.330300,-0.813420,-2.187673,1.417348,0.000000,-0.000460,0.000217,-0.000455,0.000000,-0.000431,1.389520,-1.663094,2.299052,-3.297505,-2.078900,0.226512,0.000376,-0.390070,0.330244,-0.813609,-2.187634,1.417133
