timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
10855.224000,1.143609,-1.042816,2.031394,-3.697649,-1.860331,0.107678,-0.144253,-0.528357,0.181729,-0.813662,-2.187465,1.417327,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.143611,-1.042754,2.031407,-3.697569,-1.860373,0.107671,-0.144257,-0.528361,0.181683,-0.813679,-2.187555,1.417123
10855.384000,1.143705,-1.043176,2.031826,-3.697398,-1.860571,0.107786,-0.144160,-0.528232,0.181757,-0.813830,-2.187577,1.416911,0.006813,-0.031613,0.029504,0.007622,-0.016179,0.009252,1.143774,-1.043343,2.031868,-3.697421,-1.860520,0.107744,-0.144108,-0.528219,0.181836,-0.813679,-2.187555,1.417123
10855.544000,1.149345,-1.063632,2.047514,-3.691978,-1.865506,0.109980,-0.139064,-0.523338,0.187065,-0.813376,-2.187666,1.416943,0.063353,-0.222555,0.169211,0.064835,-0.057788,0.024544,1.149578,-1.064038,2.047822,-3.691922,-1.865745,0.110323,-0.138909,-0.523247,0.187177,-0.813676,-2.187558,1.417123
10855.704000,1.164231,-1.114578,2.084425,-3.676102,-1.879076,0.116888,-0.126409,-0.511303,0.200107,-0.813758,-2.187353,1.417156,0.120967,-0.412794,0.292530,0.147574,-0.108385,0.057093,1.164352,-1.114955,2.084875,-3.676057,-1.879030,0.116930,-0.126281,-0.511173,0.200148,-0.813670,-2.187565,1.417124
10855.864000,1.189871,-1.197215,2.138465,-3.643475,-1.901953,0.128556,-0.106311,-0.492080,0.220531,-0.813757,-2.187705,1.416902,0.196043,-0.609233,0.366327,0.281414,-0.176647,0.087365,1.189955,-1.197720,2.138550,-3.643250,-1.902000,0.128526,-0.106245,-0.492015,0.220728,-0.813660,-2.187576,1.417125
10856.024000,1.223487,-1.296188,2.192327,-3.593067,-1.931754,0.143761,-0.083004,-0.469890,0.244416,-0.813241,-2.187922,1.416983,0.221021,-0.621083,0.307103,0.356147,-0.202557,0.102849,1.223408,-1.296588,2.192358,-3.592848,-1.931916,0.143967,-0.083032,-0.469820,0.244571,-0.813649,-2.187589,1.417127
10856.184000,1.261618,-1.397905,2.236441,-3.528760,-1.965867,0.162072,-0.059825,-0.447646,0.268315,-0.813636,-2.187717,1.417136,0.252634,-0.638404,0.241372,0.444040,-0.225279,0.123150,1.261634,-1.398140,2.236390,-3.528522,-1.965973,0.162043,-0.059819,-0.447625,0.268414,-0.813638,-2.187601,1.417129
10856.504000,1.348167,-1.588435,2.289253,-3.373010,-2.042471,0.204628,-0.016787,-0.406529,0.312534,-0.813282,-2.187544,1.417389,0.226620,-0.441889,0.075549,0.410028,-0.203252,0.117853,1.347937,-1.588382,2.289170,-3.372748,-2.042358,0.204789,-0.016883,-0.406572,0.312517,-0.813617,-2.187625,1.417132
10856.664000,1.377281,-1.641976,2.296944,-3.319726,-2.068226,0.220121,-0.004526,-0.394772,0.325173,-0.813750,-2.187545,1.417184,0.134850,-0.227745,0.026525,0.235322,-0.117853,0.066249,1.377114,-1.641854,2.296902,-3.319817,-2.068017,0.219945,-0.004584,-0.394813,0.325149,-0.813611,-2.187631,1.417133
10856.824000,1.389424,-1.662986,2.298896,-3.297685,-2.078780,0.226416,0.000338,-0.390120,0.330285,-0.813576,-2.187538,1.417372,0.021054,-0.032955,0.002493,0.026293,-0.019199,0.007191,1.389292,-1.662711,2.299018,-3.297915,-2.078700,0.226390,0.000286,-0.390156,0.330151,-0.813609,-2.187634,1.417133
10856.984000,1.389592,-1.663106,2.298944,-3.297589,-2.078839,0.226392,0.000405,-0.390085,0.330302,-0.813404,-2.187619,1.417384,0.000000,0.000000,0.000396,-0.000527,0.000000,-0.000575,1.389520,-1.663094,2.299052,-3.297505,-2.078900,0.226512,0.000376,-0.390070,0.330244,-0.813609,-2.187634,1.417133
