timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
10844.240000,1.389556,-1.663082,2.299076,-3.297541,-2.079007,0.226560,0.000383,-0.390062,0.330235,-0.813679,-2.187555,1.417123,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.389520,-1.663094,2.299052,-3.297505,-2.078900,0.226512,0.000376,-0.390070,0.330244,-0.813609,-2.187634,1.417133
10844.400000,1.388777,-1.661990,2.298980,-3.298834,-2.078253,0.226212,0.000090,-0.390309,0.329981,-0.813744,-2.187552,1.417299,-0.034655,0.056681,-0.001739,-0.058411,0.044414,-0.010786,1.388672,-1.661670,2.298925,-3.299026,-2.078156,0.226061,0.000041,-0.390390,0.329900,-0.813609,-2.187634,1.417133
10844.560000,1.373999,-1.636376,2.296405,-3.325388,-2.065291,0.218358,-0.005850,-0.396004,0.323777,-0.813641,-2.187753,1.416908,-0.149128,0.258898,-0.030859,-0.263078,0.124324,-0.078760,1.373884,-1.636180,2.296237,-3.325649,-2.065181,0.218248,-0.005901,-0.396072,0.323796,-0.813612,-2.187631,1.417132
10844.720000,1.342634,-1.578146,2.287325,-3.382263,-2.037835,0.202086,-0.019230,-0.408799,0.310111,-0.813681,-2.187573,1.416913,-0.237652,0.466547,-0.086299,-0.439462,0.207303,-0.119123,1.342519,-1.577888,2.287274,-3.382623,-2.037585,0.202017,-0.019272,-0.408856,0.310062,-0.813618,-2.187623,1.417131
10844.880000,1.298911,-1.486313,2.265907,-3.462088,-1.999060,0.179951,-0.039894,-0.428578,0.288713,-0.813349,-2.187908,1.416568,-0.288976,0.644745,-0.186877,-0.521961,0.253826,-0.142852,1.298780,-1.486265,2.265644,-3.462288,-1.998937,0.180089,-0.039958,-0.428635,0.288815,-0.813628,-2.187612,1.417130
10845.040000,1.255977,-1.383339,2.230895,-3.538525,-1.960657,0.159206,-0.063064,-0.450805,0.264865,-0.813325,-2.188129,1.416798,-0.249566,0.639235,-0.252340,-0.429491,0.223146,-0.119962,1.255788,-1.383349,2.230670,-3.538683,-1.960774,0.159247,-0.063171,-0.450830,0.264972,-0.813640,-2.187599,1.417128
10845.200000,1.218314,-1.282139,2.185344,-3.600761,-1.927298,0.141615,-0.086362,-0.472997,0.241049,-0.813632,-2.187926,1.416741,-0.220177,0.628676,-0.314070,-0.342006,0.190238,-0.100092,1.218301,-1.282127,2.185172,-3.600975,-1.927356,0.141588,-0.086384,-0.473025,0.241128,-0.813651,-2.187587,1.417127
10845.360000,1.185380,-1.183755,2.130512,-3.649374,-1.897940,0.126481,-0.109590,-0.495087,0.217140,-0.813734,-2.187915,1.416554,-0.192655,0.602369,-0.370162,-0.263485,0.166557,-0.087677,1.185497,-1.183776,2.130067,-3.649380,-1.898005,0.126493,-0.109579,-0.495204,0.217303,-0.813662,-2.187574,1.417125
10845.520000,1.161549,-1.105504,2.078485,-3.679357,-1.876572,0.115641,-0.128584,-0.513325,0.197687,-0.813669,-2.187632,1.416904,-0.117375,0.385106,-0.278111,-0.130173,0.106779,-0.044222,1.161608,-1.105683,2.078359,-3.679192,-1.876564,0.115698,-0.128563,-0.513355,0.197804,-0.813671,-2.187564,1.417124
10845.840000,1.143645,-1.042672,2.031359,-3.697601,-1.860439,0.107846,-0.144251,-0.528380,0.181659,-0.813889,-2.187507,1.417182,-0.002889,0.009242,-0.011965,0.000000,0.010834,-0.001798,1.143623,-1.042800,2.031442,-3.697558,-1.860384,0.107677,-0.144245,-0.528350,0.181695,-0.813679,-2.187555,1.417123
10846.000000,1.143693,-1.042780,2.031443,-3.697481,-1.860534,0.107870,-0.144221,-0.528357,0.181677,-0.813922,-2.187534,1.417049,0.000000,0.000281,0.000268,0.000455,0.000503,-0.000312,1.143611,-1.042754,2.031407,-3.697569,-1.860373,0.107671,-0.144257,-0.528361,0.181683,-0.813679,-2.187555,1.417123
