timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
9777.336000,1.185153,-1.764921,1.988653,-2.520084,-1.635438,0.203286,-0.062701,-0.433927,0.420232,-0.843678,-2.690794,1.058632,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.185201,-1.764958,1.988581,-2.520072,-1.635402,0.203226,-0.062675,-0.433926,0.420283,-0.843510,-2.690814,1.058779
9777.496000,1.184961,-1.763974,1.988593,-2.521211,-1.635294,0.203022,-0.062891,-0.434214,0.420000,-0.843464,-2.690699,1.058935,-0.012425,0.047055,-0.000000,-0.041753,0.005657,-0.021596,1.184888,-1.763718,1.988503,-2.521252,-1.635202,0.202995,-0.062951,-0.434298,0.419941,-0.843510,-2.690814,1.058778
9777.656000,1.179656,-1.741668,1.986917,-2.541696,-1.632120,0.199221,-0.067766,-0.440859,0.413819,-0.843739,-2.690732,1.058280,-0.055057,0.225252,-0.023099,-0.207663,0.038685,-0.040842,1.179442,-1.741506,1.986771,-2.542012,-1.631727,0.198978,-0.067856,-0.440919,0.413860,-0.843516,-2.690814,1.058773
9777.816000,1.168159,-1.690759,1.980557,-2.586741,-1.624492,0.190539,-0.078779,-0.455757,0.400146,-0.843391,-2.691082,1.058291,-0.088639,0.409688,-0.065744,-0.346200,0.059226,-0.066273,1.167964,-1.690563,1.980412,-2.587141,-1.624416,0.190515,-0.078892,-0.455815,0.400180,-0.843530,-2.690812,1.058761
9777.976000,1.152052,-1.609671,1.964019,-2.651913,-1.614372,0.178740,-0.095975,-0.478844,0.378928,-0.843570,-2.690985,1.058192,-0.103672,0.572648,-0.143760,-0.439078,0.061982,-0.079863,1.152074,-1.609673,1.963912,-2.652179,-1.614326,0.178795,-0.095966,-0.478860,0.379015,-0.843552,-2.690809,1.058742
9778.136000,1.136651,-1.516935,1.936092,-2.717256,-1.604624,0.167324,-0.115060,-0.504712,0.355155,-0.843526,-2.690983,1.058196,-0.090824,0.583808,-0.205323,-0.381506,0.059034,-0.065170,1.136516,-1.516952,1.935928,-2.717432,-1.604477,0.167310,-0.115126,-0.504721,0.355264,-0.843576,-2.690807,1.058721
9778.296000,1.122891,-1.423249,1.898430,-2.773587,-1.595894,0.157275,-0.134295,-0.530542,0.331382,-0.843739,-2.691025,1.058151,-0.077811,0.584485,-0.261633,-0.322591,0.044989,-0.053785,1.122939,-1.423258,1.898208,-2.773757,-1.595899,0.157268,-0.134286,-0.530581,0.331514,-0.843600,-2.690804,1.058700
9778.456000,1.111083,-1.329393,1.851358,-2.820417,-1.588397,0.148330,-0.153380,-0.556411,0.307573,-0.843510,-2.691208,1.057863,-0.069400,0.584843,-0.326712,-0.271251,0.041873,-0.050502,1.110996,-1.329431,1.851068,-2.820677,-1.588356,0.148417,-0.153446,-0.556442,0.307763,-0.843624,-2.690801,1.058679
9778.616000,1.100628,-1.237368,1.796024,-2.857139,-1.581787,0.140715,-0.172258,-0.581871,0.284162,-0.843778,-2.691256,1.057721,-0.057972,0.524864,-0.340403,-0.183814,0.033268,-0.044653,1.100577,-1.237498,1.795773,-2.857462,-1.581764,0.140678,-0.172298,-0.581887,0.284395,-0.843647,-2.690798,1.058659
9778.936000,1.089694,-1.130025,1.719715,-2.888754,-1.575093,0.132729,-0.194516,-0.611808,0.256810,-0.844005,-2.690694,1.058250,-0.013422,0.151877,-0.117413,-0.035306,0.043311,-0.004794,1.089737,-1.130168,1.719694,-2.888806,-1.574881,0.132608,-0.194465,-0.611807,0.256916,-0.843675,-2.690795,1.058635
9779.096000,1.088940,-1.120378,1.712255,-2.890911,-1.574495,0.132021,-0.196420,-0.614541,0.254327,-0.843772,-2.690847,1.058237,-0.000665,0.002506,0.001329,0.002684,0.003907,-0.001846,1.088825,-1.120524,1.712245,-2.891005,-1.574300,0.131928,-0.196465,-0.614507,0.254436,-0.843678,-2.690794,1.058632
