timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
9935.128000,1.088760,-1.120581,1.712255,-2.891007,-1.574302,0.131841,-0.196500,-0.614483,0.254469,-0.843627,-2.690726,1.058665,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.088831,-1.120551,1.712254,-2.891001,-1.574307,0.131912,-0.196459,-0.614502,0.254449,-0.843647,-2.690786,1.058644
9935.288000,1.088856,-1.121636,1.713105,-2.890611,-1.574351,0.131925,-0.196279,-0.614182,0.254706,-0.843679,-2.690859,1.058419,0.005548,-0.052846,0.038439,0.020589,-0.004938,0.007622,1.088956,-1.121881,1.713288,-2.890703,-1.574387,0.132006,-0.196183,-0.614129,0.254791,-0.843647,-2.690786,1.058644
9935.448000,1.091131,-1.145306,1.731018,-2.885195,-1.575524,0.133389,-0.191358,-0.607603,0.260885,-0.843192,-2.690915,1.058997,0.022588,-0.235287,0.178159,0.060616,-0.016179,0.014381,1.091215,-1.145542,1.731349,-2.885089,-1.575825,0.133690,-0.191278,-0.607509,0.260871,-0.843642,-2.690787,1.058649
9935.608000,1.096580,-1.198558,1.769646,-2.870298,-1.579057,0.137561,-0.180256,-0.592728,0.274438,-0.843406,-2.690989,1.058690,0.044319,-0.426498,0.293783,0.137579,-0.024328,0.036144,1.096533,-1.198930,1.769862,-2.870171,-1.579204,0.137652,-0.180242,-0.592613,0.274551,-0.843631,-2.690789,1.058660
9935.768000,1.105371,-1.281983,1.823433,-2.841152,-1.584889,0.144217,-0.163243,-0.569578,0.295868,-0.843518,-2.690352,1.059390,0.068224,-0.586760,0.353992,0.228395,-0.040579,0.052203,1.105475,-1.281950,1.823631,-2.840815,-1.584868,0.144303,-0.163168,-0.569567,0.295715,-0.843613,-2.690793,1.058677
9935.928000,1.116664,-1.375655,1.875367,-2.798758,-1.592002,0.152623,-0.144031,-0.543705,0.319516,-0.843615,-2.690673,1.058801,0.075191,-0.589010,0.295317,0.295291,-0.045636,0.053354,1.116695,-1.375623,1.875438,-2.798760,-1.591958,0.152631,-0.144008,-0.543706,0.319465,-0.843593,-2.690797,1.058697
9936.088000,1.129489,-1.469551,1.917902,-2.747406,-1.599978,0.162108,-0.124800,-0.517848,0.343325,-0.843490,-2.690611,1.059292,0.084944,-0.583130,0.232909,0.352384,-0.054001,0.061815,1.129405,-1.469470,1.917979,-2.747166,-1.599985,0.162043,-0.124848,-0.517844,0.343215,-0.843574,-2.690801,1.058716
9936.248000,1.143825,-1.562786,1.950858,-2.686505,-1.609079,0.172732,-0.105732,-0.491994,0.367013,-0.843562,-2.690697,1.059026,0.099338,-0.581532,0.174631,0.405019,-0.064859,0.074039,1.143909,-1.562810,1.950944,-2.686364,-1.609155,0.172763,-0.105688,-0.491983,0.366965,-0.843554,-2.690805,1.058735
9936.408000,1.160411,-1.653272,1.973791,-2.618255,-1.619545,0.184880,-0.086776,-0.466518,0.390353,-0.843407,-2.690817,1.058938,0.100118,-0.510943,0.102700,0.419783,-0.064883,0.074254,1.160308,-1.653189,1.973733,-2.618166,-1.619551,0.184865,-0.086837,-0.466539,0.390332,-0.843535,-2.690809,1.058754
9936.728000,1.182997,-1.756071,1.987982,-2.528600,-1.633977,0.201499,-0.064639,-0.436588,0.417854,-0.843345,-2.690774,1.058934,0.034553,-0.139043,0.010495,0.143164,-0.019510,0.026965,1.182950,-1.755950,1.987972,-2.528590,-1.633965,0.201565,-0.064674,-0.436624,0.417805,-0.843512,-2.690814,1.058777
9936.888000,1.185117,-1.764898,1.988473,-2.520024,-1.635306,0.202998,-0.062715,-0.433951,0.420305,-0.843263,-2.690878,1.058755,-0.000307,0.002889,0.001125,-0.003308,-0.002469,-0.003595,1.185201,-1.764958,1.988581,-2.520072,-1.635402,0.203226,-0.062675,-0.433926,0.420283,-0.843510,-2.690814,1.058779
