timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
9822.528000,1.185165,-1.764946,1.988653,-2.520072,-1.635450,0.203274,-0.062694,-0.433920,0.420241,-0.843647,-2.690786,1.058644,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.185201,-1.764958,1.988581,-2.520072,-1.635402,0.203226,-0.062675,-0.433926,0.420283,-0.843510,-2.690814,1.058779
9822.688000,1.184973,-1.764023,1.988605,-2.521248,-1.635330,0.203034,-0.062882,-0.434198,0.420019,-0.843466,-2.690629,1.059024,-0.013205,0.046940,-0.003004,-0.042760,0.005393,-0.019990,1.184888,-1.763718,1.988503,-2.521252,-1.635202,0.202995,-0.062951,-0.434298,0.419941,-0.843510,-2.690814,1.058778
9822.848000,1.179608,-1.741692,1.986856,-2.541865,-1.632084,0.199221,-0.067784,-0.440855,0.413881,-0.843756,-2.690584,1.058635,-0.055313,0.226237,-0.023074,-0.205386,0.037702,-0.041106,1.179442,-1.741505,1.986771,-2.542013,-1.631727,0.198978,-0.067856,-0.440919,0.413861,-0.843515,-2.690813,1.058774
9823.008000,1.168064,-1.690747,1.980569,-2.587077,-1.624456,0.190515,-0.078821,-0.455753,0.400176,-0.843422,-2.690866,1.058712,-0.087066,0.409509,-0.066166,-0.349604,0.059538,-0.065338,1.167965,-1.690562,1.980411,-2.587142,-1.624417,0.190512,-0.078892,-0.455815,0.400181,-0.843527,-2.690811,1.058762
9823.168000,1.152052,-1.609635,1.963983,-2.652333,-1.614360,0.178740,-0.095980,-0.478858,0.378981,-0.843501,-2.690743,1.058772,-0.103889,0.572891,-0.144412,-0.438167,0.063109,-0.080150,1.152075,-1.609671,1.963908,-2.652181,-1.614327,0.178791,-0.095966,-0.478861,0.379016,-0.843544,-2.690807,1.058745
9823.328000,1.136567,-1.516947,1.936080,-2.717580,-1.604600,0.167324,-0.115100,-0.504701,0.355207,-0.843566,-2.690732,1.058665,-0.091157,0.583808,-0.204940,-0.380691,0.058651,-0.064355,1.136518,-1.516949,1.935923,-2.717433,-1.604480,0.167303,-0.115126,-0.504722,0.355266,-0.843564,-2.690803,1.058726
9823.488000,1.122855,-1.423249,1.898287,-2.773766,-1.595906,0.157263,-0.134326,-0.530559,0.331473,-0.843713,-2.690789,1.058571,-0.077977,0.584229,-0.263653,-0.323550,0.046762,-0.053737,1.122941,-1.423255,1.898200,-2.773759,-1.595902,0.157259,-0.134286,-0.530584,0.331516,-0.843583,-2.690799,1.058706
9823.648000,1.111047,-1.329417,1.851226,-2.820621,-1.588385,0.148354,-0.153408,-0.556424,0.307674,-0.843520,-2.690963,1.058352,-0.068352,0.584038,-0.323350,-0.270748,0.041489,-0.050166,1.110998,-1.329428,1.851058,-2.820679,-1.588360,0.148405,-0.153446,-0.556445,0.307766,-0.843603,-2.690795,1.058687
9823.808000,1.100628,-1.237380,1.796024,-2.857283,-1.581811,0.140679,-0.172259,-0.581868,0.284187,-0.843703,-2.691140,1.057910,-0.057550,0.524455,-0.338908,-0.182568,0.035713,-0.043671,1.100580,-1.237497,1.795763,-2.857463,-1.581769,0.140664,-0.172297,-0.581889,0.284399,-0.843622,-2.690791,1.058668
9824.128000,1.089682,-1.129966,1.719739,-2.888778,-1.575105,0.132681,-0.194526,-0.611809,0.256765,-0.843966,-2.690719,1.058152,-0.012668,0.148694,-0.117413,-0.034706,0.001486,-0.021596,1.089742,-1.130186,1.719697,-2.888802,-1.574887,0.132592,-0.194461,-0.611804,0.256926,-0.843645,-2.690786,1.058646
9824.288000,1.088951,-1.120426,1.712219,-2.890911,-1.574470,0.132105,-0.196410,-0.614545,0.254374,-0.843854,-2.690811,1.058382,0.000000,-0.002595,-0.000729,0.005225,0.007454,-0.000695,1.088831,-1.120551,1.712254,-2.891001,-1.574307,0.131912,-0.196459,-0.614502,0.254449,-0.843647,-2.690786,1.058644
