timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
10929.784000,1.001444,-1.215099,1.745099,-2.610977,-1.270117,-0.604725,-0.213298,-0.584120,0.266507,0.179749,-2.968013,0.891238,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.001490,-1.215069,1.745075,-2.610996,-1.270044,-0.604698,-0.213272,-0.584141,0.266504,0.179812,-2.968058,0.891333
10929.944000,1.001121,-1.215997,1.745446,-2.610089,-1.269925,-0.604965,-0.213336,-0.583841,0.266789,0.179632,-2.968276,0.891010,-0.015225,-0.046275,0.015199,0.039596,-0.015675,-0.016179,1.001096,-1.216300,1.745484,-2.610068,-1.269845,-0.605059,-0.213311,-0.583786,0.266955,0.179811,-2.968058,0.891332
10930.104000,0.994103,-1.237788,1.752295,-2.593684,-1.266645,-0.611311,-0.214036,-0.577545,0.274875,0.179441,-2.967789,0.891210,-0.071151,-0.220267,0.066102,0.178325,0.040003,-0.068933,0.994029,-1.238122,1.752418,-2.593273,-1.266286,-0.611558,-0.213999,-0.577459,0.274977,0.179805,-2.968059,0.891326
10930.264000,0.977755,-1.286263,1.765610,-2.553749,-1.258215,-0.626544,-0.215543,-0.563329,0.292842,0.179682,-2.968114,0.891151,-0.134147,-0.385975,0.090952,0.330501,0.069437,-0.124924,0.977629,-1.286673,1.765653,-2.553430,-1.258073,-0.626702,-0.215549,-0.563224,0.293027,0.179792,-2.968063,0.891313
10930.424000,0.950977,-1.359698,1.779584,-2.486476,-1.244865,-0.651482,-0.217904,-0.541288,0.320821,0.179693,-2.968268,0.891108,-0.195672,-0.505920,0.068773,0.494901,0.093693,-0.178924,0.950817,-1.359964,1.779605,-2.486381,-1.244796,-0.651659,-0.217946,-0.541201,0.320952,0.179770,-2.968069,0.891291
10930.584000,0.918654,-1.438607,1.785775,-2.403969,-1.229179,-0.681831,-0.220583,-0.516565,0.352147,0.179551,-2.968264,0.891056,-0.208353,-0.485275,0.006328,0.543628,0.097048,-0.198674,0.918471,-1.438835,1.785704,-2.403797,-1.229049,-0.682097,-0.220636,-0.516487,0.352288,0.179746,-2.968075,0.891268
10930.744000,0.887564,-1.505328,1.782601,-2.324182,-1.214260,-0.711423,-0.222965,-0.494480,0.380181,0.179564,-2.968248,0.891195,-0.166181,-0.329998,-0.038631,0.419448,0.078449,-0.161380,0.887522,-1.505151,1.782545,-2.324406,-1.214282,-0.711565,-0.223028,-0.494521,0.380142,0.179725,-2.968081,0.891247
10930.904000,0.866306,-1.545832,1.776196,-2.270244,-1.204418,-0.731983,-0.224568,-0.480294,0.398161,0.179704,-2.968081,0.891110,-0.097689,-0.176753,-0.037033,0.249775,0.044653,-0.093884,0.866370,-1.545671,1.776192,-2.270461,-1.204370,-0.731900,-0.224570,-0.480352,0.398107,0.179711,-2.968085,0.891233
10931.064000,0.856665,-1.563122,1.772376,-2.245812,-1.199940,-0.741303,-0.225232,-0.474030,0.406074,0.179695,-2.968107,0.891100,-0.023879,-0.042798,-0.010060,0.060544,0.006160,-0.019678,0.856711,-1.562949,1.772304,-2.245985,-1.199894,-0.741239,-0.225251,-0.474092,0.406045,0.179705,-2.968086,0.891227
10931.384000,0.856175,-1.563854,1.772184,-2.244756,-1.199688,-0.741700,-0.225292,-0.473748,0.406421,0.179598,-2.968110,0.891170,0.000128,-0.000179,0.000128,0.000000,0.001342,-0.000863,0.856187,-1.563866,1.772077,-2.244660,-1.199652,-0.741747,-0.225288,-0.473756,0.406471,0.179705,-2.968086,0.891227
10931.544000,0.856175,-1.563830,1.772100,-2.244756,-1.199664,-0.741747,-0.225302,-0.473762,0.406452,0.179692,-2.968044,0.891244,0.000077,-0.000102,-0.000741,0.000000,0.000312,-0.000383,0.856187,-1.563866,1.772077,-2.244660,-1.199652,-0.741747,-0.225288,-0.473756,0.406471,0.179705,-2.968086,0.891227
