timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
10915.984000,0.856175,-1.563830,1.772053,-2.244707,-1.199580,-0.741807,-0.225299,-0.473768,0.406472,0.179812,-2.968058,0.891333,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.856187,-1.563866,1.772077,-2.244660,-1.199652,-0.741747,-0.225288,-0.473756,0.406471,0.179705,-2.968086,0.891227
10916.144000,0.856593,-1.563050,1.772220,-2.245859,-1.199928,-0.741447,-0.225292,-0.474045,0.406122,0.179834,-2.967919,0.891205,0.021028,0.036637,0.009217,-0.052299,-0.018504,0.007119,0.856742,-1.562895,1.772317,-2.246063,-1.199908,-0.741210,-0.225249,-0.474112,0.406020,0.179705,-2.968086,0.891227
10916.304000,0.866282,-1.545604,1.776040,-2.270509,-1.204226,-0.731971,-0.224628,-0.480369,0.398159,0.179771,-2.967975,0.891498,0.098303,0.180550,0.036739,-0.247858,-0.050621,0.097815,0.866503,-1.545429,1.776241,-2.270797,-1.204431,-0.731772,-0.224560,-0.480439,0.397998,0.179712,-2.968085,0.891233
10916.464000,0.887636,-1.504801,1.782589,-2.324566,-1.214308,-0.711351,-0.223036,-0.494623,0.379955,0.179522,-2.968394,0.891039,0.165120,0.332759,0.039398,-0.421773,-0.077202,0.157856,0.887746,-1.504702,1.782595,-2.324979,-1.214387,-0.711351,-0.223011,-0.494674,0.379948,0.179725,-2.968081,0.891247
10916.624000,0.918690,-1.438163,1.785738,-2.404340,-1.229083,-0.681843,-0.220637,-0.516681,0.351970,0.179657,-2.968346,0.891129,0.211357,0.478653,-0.010508,-0.533562,-0.105725,0.201167,0.918756,-1.438184,1.785696,-2.404529,-1.229186,-0.681827,-0.220614,-0.516697,0.352022,0.179747,-2.968075,0.891268
10916.784000,0.950953,-1.359578,1.779608,-2.486836,-1.244912,-0.651374,-0.217938,-0.541307,0.320784,0.179525,-2.968077,0.891282,0.192502,0.504871,-0.069898,-0.494373,-0.094580,0.178517,0.951081,-1.359278,1.779510,-2.487050,-1.244926,-0.651412,-0.217923,-0.541410,0.320686,0.179770,-2.968069,0.891292
10916.944000,0.977839,-1.286275,1.765551,-2.553798,-1.258227,-0.626328,-0.215503,-0.563356,0.292882,0.179509,-2.968089,0.891294,0.132549,0.385310,-0.091847,-0.333138,-0.068813,0.127153,0.977810,-1.286154,1.765528,-2.553875,-1.258163,-0.626535,-0.215532,-0.563377,0.292832,0.179792,-2.968063,0.891313
10917.104000,0.994187,-1.237836,1.752259,-2.593601,-1.266381,-0.611466,-0.213967,-0.577569,0.274916,0.179906,-2.967887,0.891467,0.070857,0.219551,-0.065590,-0.175066,-0.037870,0.066608,0.994126,-1.237824,1.752328,-2.593507,-1.266335,-0.611468,-0.213990,-0.577545,0.274867,0.179805,-2.968059,0.891326
10917.264000,1.001204,-1.216117,1.745446,-2.610173,-1.269782,-0.605073,-0.213266,-0.583847,0.266875,0.180014,-2.968143,0.891364,0.017014,0.050161,-0.018114,-0.037870,-0.027444,0.007191,1.001118,-1.216232,1.745462,-2.610120,-1.269856,-0.605039,-0.213309,-0.583805,0.266930,0.179811,-2.968058,0.891332
10917.584000,1.001468,-1.215158,1.745111,-2.610928,-1.270165,-0.604750,-0.213280,-0.584112,0.266531,0.179800,-2.967983,0.891189,0.000000,-0.000141,0.000141,0.000407,-0.001822,0.001654,1.001490,-1.215069,1.745075,-2.610996,-1.270044,-0.604698,-0.213272,-0.584141,0.266504,0.179812,-2.968058,0.891333
10917.744000,1.001504,-1.215099,1.745123,-2.610977,-1.270201,-0.604713,-0.213266,-0.584126,0.266494,0.179781,-2.968005,0.891137,0.000000,-0.000077,0.000089,-0.000216,-0.000336,0.000312,1.001490,-1.215069,1.745075,-2.610996,-1.270044,-0.604698,-0.213272,-0.584141,0.266504,0.179812,-2.968058,0.891333
