timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
17182.344000,0.994726,-1.258585,1.798983,-2.480814,-1.413350,-0.565381,-0.214520,-0.557185,0.249858,0.037957,-3.011349,0.599476,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.994718,-1.258613,1.798974,-2.480840,-1.413322,-0.565411,-0.214522,-0.557184,0.249882,0.038006,-3.011311,0.599572
17182.504000,0.994881,-1.259196,1.798359,-2.479459,-1.413206,-0.565728,-0.214423,-0.557222,0.250340,0.038735,-3.011489,0.599448,0.003758,-0.029056,-0.027075,0.054600,0.006759,-0.009947,0.994875,-1.259381,1.798277,-2.479134,-1.413198,-0.565893,-0.214414,-0.557201,0.250447,0.038967,-3.011504,0.599373
17182.664000,0.997672,-1.272598,1.785655,-2.449075,-1.411495,-0.574377,-0.212521,-0.557490,0.260408,0.055797,-3.014537,0.595467,0.028379,-0.133022,-0.129583,0.298527,0.013734,-0.088372,0.997666,-1.272703,1.785522,-2.448765,-1.411022,-0.574475,-0.212491,-0.557508,0.260500,0.056064,-3.014881,0.595822
17182.824000,1.003947,-1.300239,1.754499,-2.380562,-1.406309,-0.593701,-0.208197,-0.558203,0.283013,0.094428,-3.022044,0.587793,0.049522,-0.207420,-0.259332,0.536917,0.038685,-0.153470,1.003987,-1.300386,1.754365,-2.380191,-1.406256,-0.593797,-0.208163,-0.558200,0.283120,0.094637,-3.022131,0.587736
17182.984000,1.013683,-1.336813,1.699707,-2.274360,-1.399185,-0.623426,-0.201571,-0.559236,0.318088,0.153925,-3.032073,0.575614,0.068364,-0.222235,-0.402913,0.740074,0.048824,-0.210515,1.013849,-1.336768,1.699636,-2.273856,-1.399253,-0.623652,-0.201484,-0.559267,0.318037,0.154452,-3.032367,0.574992
17183.144000,1.022881,-1.363055,1.643300,-2.177115,-1.393365,-0.650787,-0.195418,-0.560182,0.349631,0.208954,-3.040659,0.562951,0.046186,-0.114985,-0.303434,0.493654,0.027396,-0.138873,1.022883,-1.362931,1.643200,-2.177283,-1.393296,-0.650688,-0.195440,-0.560233,0.349629,0.208842,-3.040616,0.563192
17183.304000,1.028390,-1.375655,1.606004,-2.118757,-1.390036,-0.667160,-0.191785,-0.560782,0.368689,0.241961,-3.045049,0.555681,0.024518,-0.048129,-0.163024,0.256127,0.005752,-0.066992,1.028373,-1.375560,1.606015,-2.118966,-1.389883,-0.666978,-0.191801,-0.560814,0.368655,0.241715,-3.045116,0.555961
17183.464000,1.030174,-1.379323,1.592701,-2.099047,-1.388983,-0.672438,-0.190627,-0.560998,0.375176,0.252613,-3.046391,0.553326,0.000997,-0.001790,-0.004295,0.006232,-0.025910,0.001127,1.030246,-1.379310,1.592836,-2.099136,-1.388755,-0.672510,-0.190565,-0.561012,0.375115,0.252895,-3.046563,0.553485
17183.624000,1.030150,-1.379227,1.592869,-2.099335,-1.388875,-0.672354,-0.190642,-0.561014,0.375071,0.252485,-3.046463,0.553466,0.000230,0.000307,-0.000000,0.000000,0.001750,0.000000,1.030246,-1.379311,1.592834,-2.099132,-1.388754,-0.672511,-0.190565,-0.561012,0.375116,0.252897,-3.046563,0.553485
17183.944000,1.030186,-1.379215,1.592881,-2.099252,-1.388791,-0.672522,-0.190615,-0.561022,0.375050,0.252811,-3.046554,0.553417,0.000077,-0.000026,-0.000000,0.000000,0.000312,-0.000312,1.030246,-1.379311,1.592834,-2.099132,-1.388754,-0.672511,-0.190565,-0.561012,0.375116,0.252897,-3.046563,0.553485
17184.104000,1.030150,-1.379311,1.592881,-2.099131,-1.388767,-0.672510,-0.190616,-0.560988,0.375092,0.252742,-3.046590,0.553412,0.000051,-0.000243,-0.000000,0.000863,0.000216,-0.000168,1.030246,-1.379311,1.592834,-2.099132,-1.388754,-0.672511,-0.190565,-0.561012,0.375116,0.252897,-3.046563,0.553485
