timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
17167.160000,0.945792,-1.311615,1.364169,-1.985264,-1.393425,-0.613662,-0.260158,-0.574063,0.436595,0.038006,-3.011311,0.599572,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.945816,-1.311688,1.364157,-1.985216,-1.393389,-0.613553,-0.260127,-0.574049,0.436641,0.037894,-3.011329,0.599660
17167.320000,0.945864,-1.311843,1.365570,-1.986345,-1.393449,-0.613553,-0.260046,-0.573981,0.436149,0.037942,-3.011407,0.599465,0.002787,-0.014445,0.065654,-0.056925,0.000000,0.004794,0.945953,-1.311865,1.365812,-1.986717,-1.393443,-0.613417,-0.259991,-0.573999,0.436083,0.037894,-3.011329,0.599660
17167.480000,0.948330,-1.314624,1.394662,-2.013202,-1.394299,-0.611166,-0.257608,-0.573108,0.426210,0.038120,-3.011362,0.599717,0.024493,-0.023789,0.287097,-0.269909,-0.045085,0.034299,0.948391,-1.314661,1.394805,-2.013326,-1.394406,-0.610978,-0.257571,-0.573104,0.426173,0.037900,-3.011328,0.599655
17167.640000,0.953936,-1.318496,1.457123,-2.072530,-1.396299,-0.605480,-0.252121,-0.571124,0.403854,0.038024,-3.011682,0.599719,0.044217,-0.016158,0.482130,-0.460218,-0.037918,0.044773,0.953939,-1.318577,1.457219,-2.072753,-1.396610,-0.605445,-0.252126,-0.571091,0.403877,0.037914,-3.011326,0.599645
17167.800000,0.962582,-1.318352,1.546773,-2.163864,-1.400131,-0.596748,-0.243754,-0.567929,0.369373,0.037736,-3.011385,0.599502,0.062919,0.025132,0.599083,-0.647148,-0.031974,0.062318,0.962695,-1.318307,1.546724,-2.163962,-1.400127,-0.596758,-0.243703,-0.567975,0.369382,0.037934,-3.011323,0.599629
17167.960000,0.972738,-1.309254,1.637661,-2.265972,-1.404226,-0.586816,-0.234254,-0.564445,0.330926,0.037945,-3.010981,0.600079,0.062523,0.092295,0.541009,-0.636027,-0.027132,0.064307,0.972775,-1.308988,1.637867,-2.266028,-1.404228,-0.586819,-0.234250,-0.564480,0.330673,0.037958,-3.011319,0.599610
17168.120000,0.982750,-1.290889,1.717009,-2.364869,-1.408333,-0.577112,-0.225158,-0.561133,0.293346,0.038082,-3.011258,0.599656,0.054865,0.120763,0.416143,-0.546337,-0.031447,0.055846,0.982754,-1.290968,1.717049,-2.364773,-1.408337,-0.577045,-0.225139,-0.561110,0.293362,0.037980,-3.011315,0.599593
17168.280000,0.990043,-1.272742,1.768628,-2.435951,-1.411243,-0.569879,-0.218607,-0.558684,0.266795,0.037963,-3.011190,0.600022,0.035678,0.100489,0.235019,-0.345505,-0.035162,0.035833,0.990037,-1.272618,1.768532,-2.435702,-1.411364,-0.569952,-0.218637,-0.558706,0.266735,0.037996,-3.011312,0.599580
17168.440000,0.994019,-1.260898,1.794480,-2.474001,-1.412727,-0.566136,-0.215112,-0.557421,0.252460,0.038169,-3.011466,0.599902,0.013358,0.044626,0.091515,-0.143739,0.013974,0.020421,0.993989,-1.260907,1.794363,-2.473827,-1.413016,-0.566117,-0.215160,-0.557420,0.252495,0.038005,-3.011311,0.599573
17168.760000,0.994594,-1.258573,1.798958,-2.480658,-1.413350,-0.565501,-0.214595,-0.557158,0.249844,0.037922,-3.011415,0.599288,0.000000,0.000332,-0.000179,0.000312,-0.000360,0.001222,0.994718,-1.258613,1.798974,-2.480840,-1.413322,-0.565411,-0.214522,-0.557184,0.249882,0.038006,-3.011311,0.599572
17168.920000,0.994618,-1.258585,1.798958,-2.480670,-1.413326,-0.565440,-0.214579,-0.557163,0.249852,0.037877,-3.011428,0.599345,0.000000,0.000128,-0.000102,0.000168,-0.000168,0.000407,0.994718,-1.258613,1.798974,-2.480840,-1.413322,-0.565411,-0.214522,-0.557184,0.249882,0.038006,-3.011311,0.599572
