timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
17763.664000,1.075311,-1.056526,1.569870,-2.556172,-1.885567,0.646262,-0.243650,-0.630425,0.239761,-1.583167,-2.286603,0.703016,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.075327,-1.056551,1.569928,-2.556171,-1.885522,0.646292,-0.243629,-0.630416,0.239751,-1.583199,-2.286655,0.702986
17763.824000,1.075706,-1.057185,1.569953,-2.555489,-1.885723,0.646501,-0.243347,-0.630394,0.240087,-1.583011,-2.286702,0.703000,0.016426,-0.033441,0.001087,0.046187,-0.006783,-0.002948,1.075775,-1.057458,1.570047,-2.555252,-1.885720,0.646709,-0.243272,-0.630350,0.240198,-1.583198,-2.286655,0.702986
17763.984000,1.083646,-1.073232,1.571773,-2.539141,-1.889005,0.654005,-0.237010,-0.629215,0.248089,-1.583201,-2.286794,0.703365,0.082720,-0.162052,0.017564,0.166605,-0.040603,0.076340,1.083778,-1.073423,1.571833,-2.538709,-1.889254,0.654179,-0.236918,-0.629186,0.248143,-1.583197,-2.286658,0.702985
17764.144000,1.101981,-1.108213,1.573509,-2.500713,-1.897281,0.671062,-0.222725,-0.626573,0.266076,-1.583017,-2.286527,0.703791,0.146265,-0.263653,0.002429,0.317678,-0.068574,0.138705,1.102116,-1.108289,1.573562,-2.500041,-1.897289,0.671356,-0.222622,-0.626565,0.266021,-1.583195,-2.286662,0.702983
17764.304000,1.131334,-1.159137,1.570109,-2.437234,-1.910038,0.698690,-0.200547,-0.622482,0.293736,-1.582956,-2.286481,0.703819,0.209682,-0.342078,-0.052219,0.465252,-0.086670,0.199585,1.131398,-1.159097,1.569981,-2.436487,-1.909932,0.698958,-0.200506,-0.622510,0.293679,-1.583191,-2.286670,0.702980
17764.464000,1.165500,-1.211155,1.557034,-2.360358,-1.924291,0.731303,-0.175711,-0.617910,0.324720,-1.583111,-2.286781,0.703048,0.217442,-0.311245,-0.112402,0.487710,-0.091176,0.206584,1.165577,-1.211055,1.556884,-2.360217,-1.924391,0.731461,-0.175687,-0.617959,0.324716,-1.583187,-2.286679,0.702976
17764.624000,1.200961,-1.257087,1.534310,-2.279592,-1.939036,0.765366,-0.150969,-0.613358,0.355744,-1.583103,-2.286665,0.703204,0.224818,-0.262758,-0.172816,0.522872,-0.096329,0.215668,1.201147,-1.257033,1.534141,-2.279232,-1.939086,0.765626,-0.150868,-0.613409,0.355753,-1.583183,-2.286687,0.702973
17764.784000,1.232181,-1.290865,1.507443,-2.207360,-1.951685,0.795832,-0.129939,-0.609508,0.381982,-1.583255,-2.286576,0.702793,0.162116,-0.162691,-0.156453,0.378030,-0.063109,0.152799,1.232310,-1.290802,1.507310,-2.207392,-1.951651,0.795855,-0.129870,-0.609559,0.382013,-1.583180,-2.286694,0.702970
17764.944000,1.252241,-1.309362,1.487054,-2.161284,-1.959531,0.815271,-0.116763,-0.607146,0.398415,-1.583120,-2.286710,0.703144,0.085673,-0.076533,-0.093777,0.203372,-0.036887,0.085927,1.252172,-1.309265,1.487082,-2.161297,-1.959502,0.815271,-0.116812,-0.607165,0.398342,-1.583178,-2.286699,0.702968
17765.264000,1.260157,-1.315943,1.478338,-2.142691,-1.962513,0.822977,-0.111628,-0.606240,0.404742,-1.583016,-2.286927,0.702710,0.000281,0.000383,0.000294,-0.000527,-0.000240,-0.000551,1.260181,-1.316051,1.478266,-2.142656,-1.962633,0.823133,-0.111613,-0.606212,0.404843,-1.583177,-2.286701,0.702967
17765.424000,1.260145,-1.315979,1.478338,-2.142703,-1.962681,0.823097,-0.111643,-0.606223,0.404770,-1.583133,-2.286662,0.702822,0.000128,0.000141,0.000128,-0.000216,-0.000599,0.002037,1.260181,-1.316051,1.478266,-2.142656,-1.962633,0.823133,-0.111613,-0.606212,0.404843,-1.583177,-2.286701,0.702967
