timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
17953.272000,0.825875,-1.649807,1.779967,-2.143388,-1.133307,-0.750012,-0.213662,-0.445902,0.434450,-0.162804,2.978333,-0.935173,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.825875,-1.649782,1.779919,-2.143400,-1.133343,-0.750036,-0.213673,-0.445910,0.434463,-0.162843,2.978385,-0.935194
17953.432000,0.826509,-1.648919,1.780386,-2.145404,-1.133631,-0.749232,-0.213620,-0.446267,0.434045,-0.162743,2.978484,-0.935677,0.030245,0.040433,0.018318,-0.068598,-0.050094,0.022291,0.826774,-1.648617,1.780509,-2.145534,-1.133738,-0.749129,-0.213575,-0.446391,0.433852,-0.162843,2.978385,-0.935194
17953.592000,0.838857,-1.632479,1.788241,-2.174715,-1.139018,-0.736829,-0.212249,-0.452934,0.425533,-0.162726,2.978379,-0.935562,0.119497,0.168431,0.071573,-0.283451,-0.058843,0.120849,0.839118,-1.632133,1.788273,-2.174923,-1.139186,-0.736721,-0.212221,-0.453071,0.425371,-0.162841,2.978383,-0.935193
17953.752000,0.864714,-1.594886,1.802383,-2.237351,-1.150836,-0.710799,-0.209347,-0.467406,0.407210,-0.162441,2.978641,-0.935921,0.203163,0.312728,0.097638,-0.482868,-0.095346,0.198794,0.865097,-1.594352,1.802470,-2.237439,-1.150854,-0.710812,-0.209274,-0.467610,0.406913,-0.162837,2.978377,-0.935191
17953.912000,0.902259,-1.532558,1.817171,-2.328634,-1.168126,-0.674010,-0.204798,-0.489614,0.378902,-0.162562,2.978521,-0.935480,0.250959,0.454403,0.071126,-0.611507,-0.119938,0.242920,0.902532,-1.532035,1.817018,-2.328807,-1.168130,-0.673964,-0.204774,-0.489808,0.378730,-0.162831,2.978369,-0.935187
17954.072000,0.940858,-1.458018,1.823230,-2.423655,-1.186445,-0.636741,-0.199783,-0.514201,0.347810,-0.162859,2.978557,-0.935925,0.231848,0.484546,0.005024,-0.567357,-0.108673,0.224273,0.941017,-1.457449,1.823116,-2.423564,-1.186428,-0.636672,-0.199796,-0.514366,0.347552,-0.162824,2.978360,-0.935184
17954.232000,0.976570,-1.378568,1.818895,-2.510945,-1.203735,-0.602817,-0.194793,-0.538789,0.316626,-0.163087,2.978393,-0.935851,0.213850,0.506751,-0.059851,-0.524070,-0.106755,0.203732,0.976683,-1.378033,1.818799,-2.510952,-1.203837,-0.602636,-0.194818,-0.538924,0.316373,-0.162817,2.978351,-0.935180
17954.392000,1.008390,-1.298801,1.805029,-2.587137,-1.219804,-0.572782,-0.190047,-0.562383,0.286700,-0.162857,2.978554,-0.935655,0.166705,0.438885,-0.102201,-0.399171,-0.084513,0.157784,1.008428,-1.298476,1.805029,-2.587071,-1.219667,-0.572758,-0.190049,-0.562447,0.286508,-0.162811,2.978343,-0.935177
17954.552000,1.029575,-1.241037,1.789702,-2.635990,-1.230328,-0.553181,-0.186629,-0.579025,0.265591,-0.163062,2.978340,-0.935539,0.097830,0.274301,-0.085507,-0.227437,-0.051652,0.093022,1.029512,-1.240800,1.789732,-2.635999,-1.230341,-0.553125,-0.186685,-0.579043,0.265437,-0.162806,2.978337,-0.935175
17954.712000,1.040234,-1.210064,1.779823,-2.660235,-1.235801,-0.543166,-0.184897,-0.587790,0.254389,-0.162800,2.978328,-0.935419,0.038541,0.108810,-0.036879,-0.080870,-0.018887,0.032070,1.040201,-1.210036,1.779849,-2.660106,-1.235798,-0.543233,-0.184914,-0.587780,0.254344,-0.162804,2.978334,-0.935173
17955.032000,1.041958,-1.204802,1.778111,-2.663940,-1.236675,-0.541738,-0.184618,-0.589242,0.252423,-0.162951,2.978317,-0.934935,-0.000179,0.000000,0.000166,0.000288,-0.004027,-0.000288,1.041974,-1.204833,1.778062,-2.664050,-1.236706,-0.541597,-0.184615,-0.589251,0.252477,-0.162804,2.978333,-0.935173
