timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
18397.568000,1.038701,-1.149968,1.768616,-2.705231,-1.108282,-0.725841,-0.182826,-0.601670,0.231836,-0.469344,2.865910,-1.016102,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.038715,-1.149940,1.768601,-2.705155,-1.108250,-0.725900,-0.182818,-0.601678,0.231816,-0.469422,2.865861,-1.016007
18397.728000,1.038689,-1.150544,1.768891,-2.704572,-1.108247,-0.725913,-0.182749,-0.601529,0.231989,-0.469300,2.865844,-1.015662,-0.004001,-0.037071,0.015417,0.025239,0.000000,-0.005872,1.038591,-1.150832,1.768888,-2.704496,-1.108184,-0.726022,-0.182783,-0.601476,0.232160,-0.469422,2.865861,-1.016007
18397.888000,1.035803,-1.171877,1.775429,-2.688866,-1.106954,-0.728636,-0.181863,-0.596720,0.240276,-0.469212,2.866142,-1.015965,-0.031753,-0.222798,0.064018,0.166413,0.043191,-0.033005,1.035591,-1.172194,1.775487,-2.688429,-1.106591,-0.728966,-0.181928,-0.596630,0.240402,-0.469420,2.865862,-1.016007
18398.048000,1.028402,-1.221463,1.788565,-2.649587,-1.102930,-0.736001,-0.179966,-0.585366,0.259661,-0.469509,2.866079,-1.016571,-0.059327,-0.391919,0.092346,0.329830,0.028906,-0.057908,1.028391,-1.221590,1.788660,-2.649052,-1.102782,-0.736061,-0.179934,-0.585321,0.259635,-0.469415,2.865866,-1.016007
18398.208000,1.016641,-1.297338,1.802970,-2.582604,-1.096644,-0.747781,-0.176758,-0.567643,0.289771,-0.469572,2.865945,-1.016288,-0.089533,-0.530527,0.074692,0.501756,0.046043,-0.090792,1.016514,-1.297419,1.802983,-2.582252,-1.096545,-0.747852,-0.176810,-0.567601,0.289773,-0.469408,2.865872,-1.016007
18398.368000,1.002115,-1.380785,1.809891,-2.499622,-1.089029,-0.762379,-0.173185,-0.547411,0.324146,-0.469701,2.865897,-1.016550,-0.096142,-0.507211,0.010009,0.547487,0.049399,-0.089906,1.002014,-1.380753,1.809788,-2.499111,-1.089022,-0.762392,-0.173249,-0.547407,0.324117,-0.469400,2.865878,-1.016007
18398.528000,0.986438,-1.460007,1.806478,-2.409871,-1.081020,-0.778189,-0.169619,-0.527178,0.358573,-0.469668,2.865933,-1.016811,-0.100143,-0.476927,-0.052513,0.576034,0.050741,-0.104359,0.986369,-1.459820,1.806363,-2.409302,-1.081036,-0.778251,-0.169688,-0.527213,0.358461,-0.469392,2.865885,-1.016008
18398.848000,0.955025,-1.588135,1.774399,-2.234279,-1.065466,-0.810492,-0.163201,-0.490883,0.420333,-0.469534,2.865970,-1.016599,-0.074564,-0.264228,-0.106279,0.406577,0.036288,-0.076891,0.954937,-1.587854,1.774435,-2.234081,-1.065441,-0.810616,-0.163292,-0.490939,0.420153,-0.469377,2.865896,-1.016008
18399.008000,0.945732,-1.618545,1.760318,-2.185013,-1.060976,-0.820257,-0.161558,-0.481229,0.436712,-0.469594,2.865953,-1.016453,-0.039922,-0.120405,-0.061717,0.218257,0.014381,-0.044581,0.945733,-1.618388,1.760348,-2.184855,-1.060995,-0.820211,-0.161587,-0.481268,0.436602,-0.469373,2.865899,-1.016008
18399.168000,0.942654,-1.628282,1.755145,-2.168222,-1.059695,-0.823507,-0.160979,-0.478024,0.442111,-0.469452,2.866097,-1.015926,-0.001470,-0.002429,0.000716,0.004458,0.038445,-0.002013,0.942594,-1.628150,1.755157,-2.168317,-1.059491,-0.823495,-0.161021,-0.478059,0.442060,-0.469372,2.865900,-1.016008
