timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
18578.736000,1.111634,-1.626939,1.756175,-2.168497,-1.492275,0.161341,-0.110965,-0.487874,0.432032,0.897935,2.917313,-0.737714,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.111646,-1.626903,1.756151,-2.168485,-1.492275,0.161317,-0.110965,-0.487887,0.432025,0.897886,2.917337,-0.737676
18578.896000,1.111622,-1.626339,1.756666,-2.169566,-1.492287,0.161317,-0.111058,-0.488049,0.431619,0.897920,2.917339,-0.737680,0.000000,0.031050,0.023853,-0.052994,0.000000,0.000000,1.111668,-1.626095,1.756700,-2.169844,-1.492291,0.161343,-0.111076,-0.488135,0.431517,0.897886,2.917336,-0.737676
18579.056000,1.111945,-1.611530,1.766078,-2.193846,-1.492514,0.161700,-0.113077,-0.492502,0.422529,0.897865,2.917308,-0.737727,0.005446,0.147364,0.090991,-0.243088,0.010330,0.052012,1.112056,-1.611459,1.766129,-2.193943,-1.492591,0.161802,-0.113037,-0.492532,0.422479,0.897889,2.917335,-0.737678
18579.216000,1.112855,-1.577008,1.785128,-2.247455,-1.493208,0.162647,-0.117426,-0.502330,0.402220,0.897722,2.917381,-0.737675,0.008756,0.283518,0.139132,-0.424146,-0.049279,0.043191,1.112900,-1.576733,1.785053,-2.247667,-1.493261,0.162798,-0.117451,-0.502424,0.402145,0.897894,2.917333,-0.737682
18579.376000,1.114173,-1.518662,1.808022,-2.328718,-1.494190,0.163967,-0.124208,-0.517649,0.370793,0.897415,2.917460,-0.737554,0.009856,0.430473,0.137381,-0.564217,0.004722,-0.016275,1.114130,-1.518357,1.808016,-2.329112,-1.494284,0.164239,-0.124280,-0.517729,0.370685,0.897903,2.917328,-0.737689
18579.536000,1.115454,-1.447024,1.824595,-2.417129,-1.495316,0.165633,-0.131876,-0.534832,0.335484,0.897677,2.917316,-0.737694,0.010342,0.465077,0.071675,-0.536797,-0.014237,0.016179,1.115414,-1.446730,1.824536,-2.417365,-1.495406,0.165718,-0.131944,-0.534904,0.335383,0.897913,2.917324,-0.737697
18579.696000,1.116556,-1.370439,1.831217,-2.500329,-1.496214,0.166844,-0.139509,-0.551868,0.300458,0.897539,2.917240,-0.737552,0.005382,0.465921,0.013857,-0.476157,0.025910,-0.028714,1.116592,-1.370368,1.831146,-2.500433,-1.496483,0.167046,-0.139524,-0.551893,0.300462,0.897922,2.917319,-0.737704
18579.856000,1.117358,-1.308858,1.829709,-2.560538,-1.497256,0.167756,-0.145360,-0.564864,0.273722,0.897736,2.917429,-0.737675,0.002403,0.313661,-0.020543,-0.292008,-0.058603,-0.025910,1.117439,-1.308846,1.829636,-2.560511,-1.497280,0.167976,-0.145323,-0.564891,0.273745,0.897929,2.917316,-0.737710
18580.016000,1.117825,-1.272273,1.826236,-2.593781,-1.497735,0.168511,-0.148717,-0.572378,0.258294,0.898098,2.917268,-0.737812,0.003503,0.147837,-0.018139,-0.133672,0.048800,0.015292,1.117908,-1.272311,1.826175,-2.593619,-1.497727,0.168480,-0.148671,-0.572394,0.258324,0.897934,2.917314,-0.737713
18580.336000,1.118029,-1.262204,1.825027,-2.602463,-1.497890,0.168523,-0.149578,-0.574416,0.254049,0.897856,2.917433,-0.737527,0.000166,-0.000268,0.000205,0.000360,0.000407,0.000479,1.118033,-1.262181,1.824895,-2.602480,-1.497848,0.168615,-0.149588,-0.574450,0.254098,0.897935,2.917313,-0.737714
18580.496000,1.118029,-1.262169,1.824943,-2.602414,-1.497903,0.168547,-0.149590,-0.574437,0.254061,0.897898,2.917427,-0.737526,0.000000,-0.000115,-0.003132,0.000192,0.000192,0.000216,1.118033,-1.262181,1.824895,-2.602480,-1.497848,0.168615,-0.149588,-0.574450,0.254098,0.897935,2.917313,-0.737714
