timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
19099.536000,0.787227,-1.387055,1.499709,-1.943205,-1.174711,-0.767885,-0.307447,-0.509901,0.413199,-0.060197,2.965565,-0.686943,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.787262,-1.387067,1.499661,-1.943205,-1.174651,-0.767777,-0.307426,-0.509916,0.413231,-0.060119,2.965508,-0.687047
19099.696000,0.787526,-1.386444,1.499828,-1.944274,-1.174867,-0.767537,-0.307472,-0.510156,0.412899,-0.060208,2.965725,-0.687131,0.012604,0.032955,0.007849,-0.046738,-0.014309,0.025910,0.787600,-1.386188,1.499837,-1.944397,-1.174743,-0.767417,-0.307488,-0.510247,0.412765,-0.060119,2.965508,-0.687047
19099.856000,0.793371,-1.370787,1.502594,-1.965346,-1.176172,-0.761299,-0.308588,-0.516006,0.404717,-0.060340,2.965575,-0.687714,0.062241,0.166514,0.023189,-0.209388,-0.029865,0.066704,0.793547,-1.370376,1.502610,-1.965385,-1.176367,-0.761082,-0.308600,-0.516144,0.404467,-0.060123,2.965511,-0.687042
19100.016000,0.806401,-1.333948,1.506473,-2.011125,-1.179776,-0.747337,-0.311067,-0.529290,0.386007,-0.060132,2.965479,-0.687514,0.101230,0.302284,0.017040,-0.356195,-0.022698,0.106516,0.806526,-1.333554,1.506433,-2.011227,-1.179970,-0.747287,-0.311100,-0.529411,0.385797,-0.060131,2.965517,-0.687031
19100.176000,0.825372,-1.273629,1.505875,-2.077872,-1.185379,-0.727377,-0.315028,-0.549817,0.356940,-0.060143,2.965504,-0.686798,0.128893,0.438667,-0.029414,-0.449145,-0.043407,0.136836,0.825575,-1.273450,1.505778,-2.078190,-1.185399,-0.727128,-0.314969,-0.549936,0.356912,-0.060144,2.965526,-0.687014
19100.336000,0.845516,-1.201997,1.495734,-2.147133,-1.191294,-0.706205,-0.319326,-0.572924,0.324429,-0.060189,2.965514,-0.686749,0.122092,0.453803,-0.098021,-0.414846,-0.030440,0.126721,0.845578,-1.201978,1.495582,-2.147205,-1.191274,-0.706079,-0.319310,-0.572969,0.324499,-0.060158,2.965537,-0.686994
19100.496000,0.864115,-1.126910,1.475524,-2.209196,-1.196910,-0.686449,-0.323713,-0.595926,0.292069,-0.059797,2.965526,-0.686856,0.114026,0.477720,-0.154625,-0.367916,-0.034011,0.116798,0.864260,-1.126840,1.475405,-2.209249,-1.196912,-0.686537,-0.323652,-0.596002,0.292086,-0.060173,2.965547,-0.686975
19100.656000,0.879684,-1.058551,1.449592,-2.257488,-1.201711,-0.670651,-0.327404,-0.616164,0.263739,-0.060415,2.965634,-0.686975,0.075766,0.363221,-0.151545,-0.237695,-0.024040,0.081804,0.879629,-1.058451,1.449525,-2.257478,-1.201653,-0.670551,-0.327453,-0.616172,0.263702,-0.060185,2.965556,-0.686958
19100.816000,0.888893,-1.013637,1.428939,-2.285185,-1.204478,-0.660851,-0.329944,-0.629030,0.245583,-0.060077,2.965497,-0.687089,0.041763,0.202601,-0.098162,-0.121089,-0.015292,0.043095,0.888974,-1.013756,1.429013,-2.285091,-1.204577,-0.660872,-0.329876,-0.629023,0.245618,-0.060193,2.965562,-0.686947
19101.136000,0.892917,-0.993637,1.418966,-2.296584,-1.205711,-0.656952,-0.330998,-0.634692,0.237553,-0.060447,2.965479,-0.687022,0.000332,-0.000332,-0.000000,-0.000479,0.000767,-0.000647,0.893013,-0.993675,1.418907,-2.296536,-1.205849,-0.656700,-0.330950,-0.634722,0.237598,-0.060197,2.965565,-0.686943
19101.296000,0.892917,-0.993649,1.418966,-2.296584,-1.205830,-0.656749,-0.331005,-0.634686,0.237558,-0.060122,2.965564,-0.686926,0.000128,-0.000128,-0.000000,-0.000216,-0.000503,0.001079,0.893013,-0.993675,1.418907,-2.296536,-1.205849,-0.656700,-0.330950,-0.634722,0.237598,-0.060197,2.965565,-0.686943
