timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
19367.704000,1.012210,-1.016357,1.348546,-2.120210,-1.533144,-0.549535,-0.276919,-0.657683,0.262252,0.000638,-3.039436,0.309229,0.000000,0.000000,-0.000115,0.000072,0.000000,0.000288,1.012277,-1.016366,1.348551,-2.120179,-1.533264,-0.549576,-0.276882,-0.657693,0.262252,0.000781,-3.039364,0.309092
19367.864000,1.012282,-1.016932,1.348689,-2.119201,-1.533204,-0.549547,-0.276778,-0.657541,0.262477,0.000732,-3.039770,0.308462,0.000000,-0.030833,0.004180,0.032549,-0.002061,0.000168,1.012308,-1.017299,1.348624,-2.119319,-1.533266,-0.549550,-0.276742,-0.657508,0.262779,0.000781,-3.039364,0.309092
19368.024000,1.012821,-1.033373,1.349587,-2.104017,-1.533204,-0.549151,-0.274324,-0.654285,0.271917,0.000834,-3.039563,0.308913,0.009498,-0.164519,0.007811,0.155915,-0.001103,0.003931,1.012860,-1.033741,1.349584,-2.103855,-1.533301,-0.549086,-0.274266,-0.654226,0.272158,0.000780,-3.039362,0.309093
19368.184000,1.014102,-1.069336,1.349431,-2.067980,-1.533336,-0.548216,-0.268741,-0.646896,0.293044,0.001037,-3.039483,0.308920,0.008603,-0.277791,-0.012323,0.289371,-0.000551,0.029865,1.014124,-1.069649,1.349390,-2.067790,-1.533383,-0.548026,-0.268694,-0.646841,0.293259,0.000777,-3.039358,0.309097
19368.344000,1.016210,-1.121840,1.342739,-2.008711,-1.533540,-0.546632,-0.260058,-0.635466,0.325719,0.001288,-3.039518,0.308710,0.015455,-0.352764,-0.073912,0.420622,-0.043191,0.018504,1.016151,-1.122059,1.342664,-2.008714,-1.533531,-0.546347,-0.260074,-0.635417,0.325905,0.000773,-3.039352,0.309104
19368.504000,1.018522,-1.175821,1.325894,-1.938439,-1.533695,-0.544761,-0.250423,-0.622627,0.362458,0.001320,-3.039218,0.309350,0.012643,-0.319324,-0.134505,0.454514,0.044917,0.043191,1.018531,-1.175919,1.325773,-1.938032,-1.533732,-0.544398,-0.250401,-0.622596,0.362538,0.000769,-3.039346,0.309111
19368.664000,1.020881,-1.221139,1.300908,-1.868172,-1.533946,-0.542746,-0.241342,-0.610607,0.396845,0.001162,-3.039226,0.309314,0.012655,-0.223859,-0.154804,0.388121,-0.051125,0.016179,1.020864,-1.221074,1.300945,-1.868114,-1.533962,-0.542506,-0.241360,-0.610613,0.396778,0.000765,-3.039339,0.309117
19368.824000,1.022486,-1.248744,1.278903,-1.818625,-1.534043,-0.541522,-0.235217,-0.602454,0.420140,0.001267,-3.039263,0.309405,0.006609,-0.127026,-0.111955,0.240284,0.019630,-0.021596,1.022515,-1.248684,1.278981,-1.818584,-1.534145,-0.541175,-0.235213,-0.602466,0.420058,0.000762,-3.039335,0.309121
19368.984000,1.023228,-1.261510,1.266524,-1.793322,-1.534342,-0.540574,-0.232222,-0.598353,0.431665,0.000664,-3.039240,0.309024,0.002863,-0.041328,-0.042108,0.080870,0.003955,0.051029,1.023354,-1.261409,1.266518,-1.793419,-1.534245,-0.540500,-0.232161,-0.598421,0.431615,0.000761,-3.039333,0.309124
19369.304000,1.023432,-1.262804,1.265064,-1.790428,-1.534354,-0.540527,-0.231830,-0.597949,0.432897,0.000869,-3.039340,0.308852,0.001764,0.000000,-0.000000,-0.000264,0.000288,0.000072,1.023456,-1.262888,1.264956,-1.790380,-1.534258,-0.540419,-0.231796,-0.597937,0.432999,0.000760,-3.039333,0.309124
