timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
19349.000000,1.023408,-1.262912,1.265004,-1.790368,-1.534234,-0.540479,-0.231816,-0.597917,0.432989,0.000781,-3.039364,0.309092,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,1.023468,-1.262936,1.264944,-1.790404,-1.534234,-0.540431,-0.231779,-0.597929,0.433038,0.000803,-3.039297,0.309249
19349.160000,1.023396,-1.262564,1.265543,-1.791389,-1.534246,-0.540479,-0.231900,-0.598040,0.432611,0.000773,-3.039269,0.309250,0.000000,0.019635,0.024211,-0.049423,0.000000,0.000000,1.023429,-1.262373,1.265542,-1.791563,-1.534229,-0.540462,-0.231919,-0.598113,0.432510,0.000803,-3.039297,0.309249
19349.320000,1.022905,-1.252280,1.275778,-1.811888,-1.534186,-0.540935,-0.234274,-0.601385,0.423215,0.000922,-3.039282,0.309247,-0.005075,0.105078,0.101256,-0.200376,0.000000,-0.021787,1.022745,-1.252139,1.275798,-1.812030,-1.534148,-0.541010,-0.234395,-0.601395,0.423132,0.000801,-3.039301,0.309240
19349.480000,1.021240,-1.227696,1.296442,-1.856872,-1.534078,-0.542146,-0.239936,-0.608712,0.402070,0.000664,-3.039367,0.308898,-0.012566,0.199852,0.150100,-0.352648,0.000791,0.003931,1.021239,-1.227534,1.296377,-1.857164,-1.533981,-0.542220,-0.239968,-0.608779,0.402031,0.000799,-3.039309,0.309221
19349.640000,1.019025,-1.185565,1.321560,-1.924126,-1.533887,-0.543849,-0.248540,-0.620140,0.369470,0.000533,-3.039316,0.308957,-0.018536,0.315054,0.150381,-0.462855,0.045540,-0.025910,1.018994,-1.185366,1.321530,-1.924407,-1.533759,-0.544034,-0.248589,-0.620203,0.369385,0.000795,-3.039322,0.309191
19349.800000,1.016593,-1.132757,1.340344,-1.995865,-1.533516,-0.545637,-0.258225,-0.632969,0.332861,0.000260,-3.039321,0.309370,-0.013461,0.352138,0.087731,-0.436729,0.043191,-0.013183,1.016590,-1.132538,1.340271,-1.995890,-1.533555,-0.545995,-0.258264,-0.633023,0.332751,0.000790,-3.039336,0.309157
19349.960000,1.014378,-1.078408,1.348928,-2.058833,-1.533384,-0.547508,-0.267342,-0.644977,0.298540,0.000305,-3.039227,0.309447,-0.012796,0.295905,0.019558,-0.323550,0.034299,0.003571,1.014446,-1.078334,1.348842,-2.058585,-1.533400,-0.547763,-0.267308,-0.645007,0.298504,0.000786,-3.039350,0.309125
19350.120000,1.013085,-1.038969,1.349802,-2.098879,-1.533216,-0.548672,-0.273430,-0.653184,0.275162,0.000466,-3.039445,0.309238,-0.005586,0.191121,-0.001329,-0.192922,0.015867,0.022746,1.013041,-1.039031,1.349760,-2.098752,-1.533310,-0.548935,-0.273459,-0.653158,0.275211,0.000783,-3.039359,0.309104
19350.280000,1.012486,-1.018574,1.348905,-2.118037,-1.533192,-0.549427,-0.276436,-0.657262,0.263401,0.000858,-3.039632,0.308817,-0.001444,0.062228,-0.003861,-0.062749,0.025910,0.031878,1.012359,-1.018823,1.348740,-2.117913,-1.533269,-0.549508,-0.276515,-0.657207,0.263642,0.000781,-3.039363,0.309093
19350.600000,1.012270,-1.016381,1.348557,-2.120198,-1.533252,-0.549571,-0.276884,-0.657689,0.262261,0.000765,-3.039355,0.309136,-0.000460,-0.000153,-0.000396,0.000288,0.000264,-0.000312,1.012277,-1.016366,1.348551,-2.120179,-1.533264,-0.549576,-0.276882,-0.657693,0.262252,0.000781,-3.039364,0.309092
19350.760000,1.012246,-1.016381,1.348593,-2.120161,-1.533288,-0.549583,-0.276897,-0.657674,0.262240,0.000739,-3.039372,0.309013,-0.000153,-0.000089,-0.000205,0.000168,-0.000216,-0.000168,1.012277,-1.016366,1.348551,-2.120179,-1.533264,-0.549576,-0.276882,-0.657693,0.262252,0.000781,-3.039364,0.309092
