timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
669.672000,0.743129,-1.662350,1.840605,-2.225962,-0.936011,-0.967293,-0.232004,-0.429449,0.426717,-0.436574,2.856178,-1.168464,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.743177,-1.662314,1.840617,-2.225986,-0.935999,-0.967293,-0.231991,-0.429468,0.426698,-0.436630,2.856131,-1.168440
669.832000,0.743836,-1.661439,1.840653,-2.227403,-0.936299,-0.966501,-0.231957,-0.429824,0.426425,-0.436586,2.856139,-1.168520,0.031562,0.043054,0.001636,-0.058651,-0.016179,0.043143,0.743968,-1.661209,1.840704,-2.227695,-0.936369,-0.966413,-0.231961,-0.429905,0.426324,-0.436630,2.856131,-1.168441
669.992000,0.757717,-1.641557,1.841838,-2.257476,-0.942848,-0.951315,-0.231426,-0.437605,0.419754,-0.436857,2.856154,-1.168590,0.139567,0.204122,0.008373,-0.300037,-0.063732,0.156178,0.757841,-1.641354,1.841829,-2.257645,-0.942928,-0.951065,-0.231427,-0.437679,0.419680,-0.436628,2.856133,-1.168441
670.152000,0.787765,-1.595785,1.841623,-2.321578,-0.957359,-0.918593,-0.230123,-0.455075,0.404812,-0.436728,2.855991,-1.168299,0.228333,0.375148,-0.012349,-0.491617,-0.120370,0.249967,0.787768,-1.595404,1.841516,-2.322066,-0.957460,-0.918458,-0.230226,-0.455171,0.404732,-0.436624,2.856136,-1.168443
670.312000,0.830653,-1.521815,1.833755,-2.413338,-0.979115,-0.872675,-0.228315,-0.482084,0.381646,-0.436213,2.856050,-1.168291,0.292262,0.530936,-0.087552,-0.615462,-0.144314,0.300397,0.830784,-1.521398,1.833474,-2.413670,-0.979217,-0.872776,-0.228367,-0.482232,0.381606,-0.436617,2.856142,-1.168446
670.472000,0.874714,-1.435310,1.814058,-2.504623,-1.002570,-0.827585,-0.226277,-0.512546,0.355605,-0.436511,2.856272,-1.168032,0.263551,0.547733,-0.155622,-0.539913,-0.142588,0.266050,0.874751,-1.435206,1.813910,-2.504869,-1.002437,-0.827496,-0.226282,-0.512599,0.355655,-0.436610,2.856148,-1.168449
670.632000,0.914726,-1.346919,1.783883,-2.583815,-1.024254,-0.787713,-0.224122,-0.542927,0.329646,-0.436785,2.856049,-1.168220,0.236297,0.556809,-0.219474,-0.459643,-0.131299,0.231775,0.914669,-1.346814,1.783656,-2.583912,-1.024306,-0.787584,-0.224196,-0.542965,0.329703,-0.436603,2.856154,-1.168452
670.792000,0.950762,-1.257147,1.743268,-2.651002,-1.044741,-0.752243,-0.222228,-0.573258,0.303707,-0.436296,2.856220,-1.168429,0.213326,0.564505,-0.285883,-0.385317,-0.122599,0.209772,0.951002,-1.257130,1.743138,-2.650969,-1.044802,-0.752211,-0.222111,-0.573332,0.303751,-0.436596,2.856160,-1.168455
670.952000,0.984139,-1.166676,1.693014,-2.706371,-1.064017,-0.720755,-0.220018,-0.603657,0.277599,-0.436492,2.856228,-1.168005,0.199852,0.562447,-0.347856,-0.312117,-0.111070,0.186211,0.984160,-1.166779,1.692699,-2.706288,-1.063952,-0.720691,-0.220025,-0.603699,0.277800,-0.436588,2.856166,-1.168458
671.272000,1.031443,-1.022121,1.592223,-2.771057,-1.091843,-0.677069,-0.216626,-0.652139,0.236459,-0.436826,2.856123,-1.168637,0.083487,0.281588,-0.218464,-0.096042,-0.051460,0.077969,1.031329,-1.022098,1.592237,-2.770952,-1.091841,-0.677045,-0.216700,-0.652114,0.236425,-0.436577,2.856176,-1.168463
671.432000,1.040378,-0.991923,1.568229,-2.780898,-1.097207,-0.668828,-0.215993,-0.662192,0.227836,-0.436619,2.856113,-1.168557,0.029810,0.094097,-0.081314,-0.030200,-0.016011,0.023633,1.040325,-0.992023,1.568332,-2.780829,-1.097237,-0.668873,-0.216011,-0.662149,0.227849,-0.436575,2.856178,-1.168464
