timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
3033.104000,0.696240,-1.705318,1.795713,-1.959463,-1.084708,-1.104248,-0.246358,-0.399650,0.432479,-0.460106,2.967634,-0.861404,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.696228,-1.705354,1.795737,-1.959499,-1.084671,-1.104212,-0.246352,-0.399641,0.432488,-0.460060,2.967630,-0.861489
3033.264000,0.696923,-1.704767,1.796276,-1.960880,-1.084911,-1.103529,-0.246253,-0.399940,0.432102,-0.460126,2.967612,-0.861368,0.033032,0.026896,0.026154,-0.062486,-0.021404,0.039860,0.697070,-1.704674,1.796357,-1.961223,-1.084925,-1.103294,-0.246225,-0.400001,0.432057,-0.460060,2.967630,-0.861488
3033.424000,0.711702,-1.692462,1.806921,-1.991279,-1.089365,-1.087396,-0.243995,-0.406314,0.424495,-0.460080,2.967598,-0.861481,0.149998,0.129378,0.104758,-0.304591,-0.046834,0.158431,0.711912,-1.692247,1.807016,-1.991720,-1.089450,-1.087150,-0.243976,-0.406414,0.424398,-0.460062,2.967630,-0.861485
3033.584000,0.744387,-1.662218,1.828355,-2.059145,-1.099614,-1.052360,-0.238907,-0.420793,0.407271,-0.460572,2.967616,-0.861821,0.254935,0.251816,0.156504,-0.524933,-0.084489,0.272114,0.744478,-1.662042,1.828419,-2.059239,-1.099760,-1.051994,-0.238916,-0.420844,0.407163,-0.460066,2.967630,-0.861478
3033.744000,0.792604,-1.609563,1.854459,-2.160323,-1.115802,-1.000962,-0.231081,-0.443168,0.380513,-0.460424,2.967503,-0.861564,0.327888,0.389682,0.155904,-0.698273,-0.116415,0.348238,0.792615,-1.609548,1.854481,-2.160402,-1.115929,-1.000719,-0.231088,-0.443168,0.380500,-0.460072,2.967631,-0.861467
3033.904000,0.843384,-1.543157,1.873607,-2.268516,-1.134169,-0.947885,-0.222324,-0.468192,0.350532,-0.460572,2.967671,-0.861410,0.306323,0.438335,0.086836,-0.653116,-0.113251,0.322304,0.843448,-1.543158,1.873499,-2.268467,-1.134149,-0.947483,-0.222303,-0.468219,0.350579,-0.460079,2.967631,-0.861454
3034.064000,0.890953,-1.470067,1.881846,-2.369968,-1.152213,-0.898729,-0.213539,-0.493231,0.320623,-0.460316,2.967689,-0.861483,0.287749,0.476237,0.018970,-0.611795,-0.113035,0.296394,0.891031,-1.470039,1.881709,-2.369842,-1.152205,-0.898508,-0.213518,-0.493270,0.320659,-0.460086,2.967632,-0.861442
3034.224000,0.935456,-1.391719,1.879343,-2.463793,-1.169886,-0.853795,-0.204724,-0.518255,0.290806,-0.460608,2.967741,-0.861837,0.269060,0.499681,-0.047720,-0.565128,-0.110662,0.269405,0.935518,-1.391511,1.879187,-2.463556,-1.169902,-0.853470,-0.204733,-0.518321,0.290738,-0.460092,2.967633,-0.861429
3034.384000,0.975253,-1.313306,1.867069,-2.544467,-1.186254,-0.814031,-0.196256,-0.542107,0.262370,-0.460332,2.967530,-0.861304,0.206742,0.433196,-0.090428,-0.415349,-0.085543,0.203181,0.975035,-1.313173,1.867011,-2.544602,-1.186235,-0.814068,-0.196395,-0.542099,0.262338,-0.460099,2.967633,-0.861417
3034.704000,1.014031,-1.227743,1.844101,-2.621073,-1.202849,-0.775730,-0.187594,-0.567169,0.232395,-0.460121,2.967618,-0.861482,0.044664,0.096539,-0.031472,-0.082260,-0.025095,0.038062,1.013962,-1.227872,1.844123,-2.620897,-1.202845,-0.775799,-0.187617,-0.567132,0.232440,-0.460106,2.967634,-0.861405
3034.864000,1.015875,-1.223489,1.842796,-2.624467,-1.203520,-0.774194,-0.187141,-0.568383,0.230877,-0.460483,2.967448,-0.861334,0.000435,0.000000,0.000499,0.001031,-0.001750,-0.001174,1.015857,-1.223510,1.842699,-2.624490,-1.203665,-0.773951,-0.187174,-0.568395,0.230931,-0.460106,2.967634,-0.861404
