timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
3285.624000,0.991240,-1.182808,1.450909,-2.011941,-1.496873,-0.693406,-0.256396,-0.604487,0.313648,0.192552,-3.075119,0.278782,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.991235,-1.182779,1.450883,-2.011912,-1.496876,-0.693439,-0.256404,-0.604494,0.313638,0.192594,-3.075133,0.278738
3285.784000,0.991228,-1.183432,1.450849,-2.011137,-1.496873,-0.693454,-0.256304,-0.604332,0.313993,0.192599,-3.075193,0.278633,0.000000,-0.033032,-0.003963,0.050310,0.000000,0.000000,0.991176,-1.183650,1.450729,-2.010883,-1.496861,-0.693503,-0.256311,-0.604281,0.314165,0.192594,-3.075133,0.278738
3285.944000,0.990151,-1.198737,1.447856,-1.992611,-1.496621,-0.694282,-0.254647,-0.600533,0.323316,0.192079,-3.075345,0.278454,-0.009971,-0.156504,-0.035985,0.182855,0.048944,0.000000,0.990109,-1.198962,1.447662,-1.992422,-1.496590,-0.694653,-0.254652,-0.600495,0.323534,0.192589,-3.075136,0.278736
3286.104000,0.987720,-1.232011,1.438590,-1.949989,-1.496011,-0.697112,-0.250896,-0.592009,0.344473,0.192380,-3.075240,0.278564,-0.019405,-0.253056,-0.087616,0.344690,0.025910,-0.030080,0.987657,-1.232138,1.438431,-1.949827,-1.495976,-0.697302,-0.250920,-0.591978,0.344614,0.192579,-3.075143,0.278732
3286.264000,0.983720,-1.279742,1.417901,-1.881632,-1.495244,-0.701587,-0.245168,-0.578809,0.377187,0.192559,-3.074817,0.278790,-0.028647,-0.322468,-0.171039,0.489340,-0.039476,-0.034874,0.983713,-1.279769,1.417766,-1.881225,-1.495017,-0.701573,-0.245146,-0.578802,0.377228,0.192563,-3.075153,0.278725
3286.424000,0.979037,-1.327343,1.385552,-1.800852,-1.494226,-0.706613,-0.238709,-0.564011,0.413633,0.192434,-3.075116,0.278168,-0.030628,-0.272026,-0.231682,0.515753,-0.019055,-0.037175,0.979058,-1.327440,1.385249,-1.800671,-1.493930,-0.706629,-0.238667,-0.564016,0.413825,0.192545,-3.075164,0.278718
3286.584000,0.974115,-1.368401,1.342870,-1.717050,-1.493041,-0.711975,-0.232239,-0.549250,0.450315,0.192450,-3.074952,0.278634,-0.030974,-0.235658,-0.298193,0.538020,-0.003332,-0.034970,0.974139,-1.368480,1.342666,-1.716654,-1.492834,-0.711981,-0.232188,-0.549230,0.450422,0.192527,-3.075175,0.278710
3286.744000,0.968929,-1.402256,1.290684,-1.631020,-1.491975,-0.717636,-0.225796,-0.534534,0.486632,0.192467,-3.074630,0.279093,-0.029325,-0.173468,-0.328655,0.503290,0.010426,-0.032981,0.969018,-1.401872,1.290579,-1.630762,-1.491752,-0.717555,-0.225812,-0.534678,0.486439,0.192509,-3.075186,0.278702
3286.904000,0.964918,-1.422110,1.244495,-1.564333,-1.491005,-0.722015,-0.221051,-0.523725,0.513532,0.192494,-3.074976,0.278880,-0.021770,-0.089406,-0.239966,0.340520,0.010570,-0.020565,0.964973,-1.422062,1.244474,-1.564138,-1.490937,-0.721955,-0.221022,-0.523747,0.513495,0.192496,-3.075195,0.278697
3287.224000,0.962103,-1.433583,1.207933,-1.515855,-1.490442,-0.725025,-0.217603,-0.516055,0.532644,0.192382,-3.075155,0.278648,0.000000,0.000396,-0.000000,-0.003404,-0.001965,0.005537,0.961995,-1.433679,1.207933,-1.515735,-1.490358,-0.725193,-0.217624,-0.515994,0.532684,0.192486,-3.075200,0.278693
3287.384000,0.962043,-1.433583,1.207921,-1.515831,-1.490382,-0.725230,-0.217629,-0.516043,0.532647,0.192613,-3.075168,0.278684,-0.000332,0.000243,-0.000000,-0.000431,-0.000383,-0.001366,0.961995,-1.433679,1.207933,-1.515735,-1.490358,-0.725193,-0.217624,-0.515994,0.532684,0.192486,-3.075200,0.278693
