timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
3516.448000,0.834713,-1.316734,1.649981,-2.490938,-1.439862,-0.096243,-0.313633,-0.527121,0.356308,-0.845855,-2.763359,0.873189,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.834744,-1.316656,1.649988,-2.490816,-1.439846,-0.096197,-0.313628,-0.527145,0.356243,-0.845944,-2.763532,0.872966
3516.608000,0.834713,-1.317538,1.650245,-2.490062,-1.439862,-0.096207,-0.313455,-0.526923,0.356552,-0.846021,-2.763590,0.872788,0.000000,-0.039768,0.011313,0.036744,0.000000,0.000000,0.834790,-1.317781,1.650207,-2.489915,-1.439865,-0.096162,-0.313373,-0.526901,0.356699,-0.845944,-2.763532,0.872966
3516.768000,0.835539,-1.337412,1.653861,-2.473917,-1.440209,-0.095559,-0.308932,-0.522588,0.364637,-0.846014,-2.763563,0.872825,0.012464,-0.201041,0.032290,0.161619,0.032214,0.034539,0.835619,-1.337665,1.653782,-2.473688,-1.440210,-0.095517,-0.308849,-0.522566,0.364798,-0.845939,-2.763531,0.872967
3516.928000,0.837503,-1.381193,1.659560,-2.436155,-1.440855,-0.094336,-0.298760,-0.512886,0.382845,-0.845486,-2.763666,0.873073,0.017040,-0.344366,0.033032,0.314394,-0.029146,0.032381,0.837554,-1.381562,1.659526,-2.435725,-1.441020,-0.094018,-0.298671,-0.512811,0.383021,-0.845929,-2.763529,0.872970
3517.088000,0.840761,-1.446723,1.662062,-2.373855,-1.442088,-0.091745,-0.282950,-0.497790,0.411225,-0.845420,-2.763477,0.873718,0.024109,-0.449405,-0.008424,0.458756,-0.008509,0.024999,0.840754,-1.446899,1.662138,-2.373306,-1.442383,-0.091558,-0.282924,-0.497719,0.411214,-0.845914,-2.763526,0.872975
3517.248000,0.844737,-1.515736,1.656136,-2.298720,-1.443729,-0.088579,-0.265236,-0.480855,0.442716,-0.845753,-2.763937,0.873136,0.025298,-0.416821,-0.066102,0.485673,-0.003332,0.021212,0.844681,-1.515901,1.655991,-2.298524,-1.444097,-0.088562,-0.265253,-0.480783,0.442851,-0.845896,-2.763523,0.872980
3517.408000,0.849025,-1.579406,1.640511,-2.219973,-1.445957,-0.085389,-0.247623,-0.463913,0.474317,-0.845661,-2.763594,0.873086,0.028149,-0.380517,-0.126400,0.509497,-0.022291,0.041322,0.849014,-1.579614,1.640265,-2.219481,-1.446047,-0.085273,-0.247583,-0.463847,0.474488,-0.845879,-2.763519,0.872985
3517.568000,0.853528,-1.634697,1.616552,-2.141467,-1.447944,-0.082019,-0.230775,-0.447731,0.504602,-0.845466,-2.763427,0.873578,0.025694,-0.281076,-0.147940,0.433589,-0.008629,0.008653,0.853559,-1.634498,1.616537,-2.141273,-1.448156,-0.081833,-0.230827,-0.447788,0.504487,-0.845862,-2.763516,0.872990
3517.728000,0.856965,-1.669162,1.595060,-2.085506,-1.449597,-0.079524,-0.219192,-0.436636,0.525320,-0.845401,-2.763649,0.873178,0.016439,-0.158064,-0.112121,0.271491,-0.025047,-0.003332,0.856998,-1.669123,1.595045,-2.085456,-1.449792,-0.079231,-0.219201,-0.436645,0.525302,-0.845851,-2.763514,0.872994
3518.048000,0.858977,-1.688013,1.580549,-2.052122,-1.450758,-0.077821,-0.212452,-0.430087,0.537478,-0.845774,-2.763591,0.872825,0.000562,0.001010,0.000601,-0.001127,-0.001342,0.000000,0.859145,-1.688109,1.580465,-2.052074,-1.450830,-0.077605,-0.212355,-0.430084,0.537559,-0.845844,-2.763512,0.872996
3518.208000,0.859025,-1.688013,1.580549,-2.052110,-1.450770,-0.077593,-0.212432,-0.430096,0.537476,-0.846050,-2.763580,0.872848,0.000038,0.000000,0.000166,-0.000288,0.000000,0.000695,0.859145,-1.688109,1.580465,-2.052074,-1.450830,-0.077605,-0.212355,-0.430084,0.537559,-0.845844,-2.763512,0.872996
