timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5
3640.136000,0.996043,-1.211455,1.721151,-2.584271,-1.522619,-0.013347,-0.237495,-0.577813,0.269044,-0.788945,-2.837991,0.745617,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.996057,-1.211436,1.721082,-2.584201,-1.522621,-0.013308,-0.237496,-0.577830,0.269056,-0.788989,-2.838003,0.745596
3640.296000,0.996067,-1.212306,1.721427,-2.583383,-1.522619,-0.013347,-0.237354,-0.577620,0.269330,-0.788980,-2.838188,0.745199,0.000000,-0.044294,0.012515,0.032381,0.000000,0.000000,0.996102,-1.212644,1.721416,-2.583328,-1.522636,-0.013271,-0.237303,-0.577577,0.269535,-0.788989,-2.838002,0.745596
3640.456000,0.996786,-1.233617,1.726851,-2.567901,-1.522882,-0.012796,-0.233989,-0.573147,0.277924,-0.788847,-2.837939,0.745682,0.007964,-0.215192,0.055811,0.154117,0.041897,0.050190,0.996905,-1.234035,1.727015,-2.567565,-1.522907,-0.012604,-0.233857,-0.573071,0.278060,-0.788991,-2.838001,0.745597
3640.616000,0.998701,-1.281012,1.737221,-2.531022,-1.523493,-0.011489,-0.226212,-0.563033,0.297052,-0.788416,-2.837982,0.745781,0.013831,-0.376311,0.068300,0.310871,-0.056254,0.025383,0.998770,-1.281517,1.737303,-2.530438,-1.523541,-0.011063,-0.226104,-0.562931,0.297242,-0.788995,-2.837997,0.745598
3640.776000,1.001875,-1.352410,1.746943,-2.469443,-1.524474,-0.008718,-0.214142,-0.547366,0.326695,-0.788651,-2.838065,0.745864,0.022396,-0.490976,0.037992,0.451877,-0.054049,0.011217,1.001829,-1.352900,1.746891,-2.468749,-1.524592,-0.008559,-0.214109,-0.547245,0.326917,-0.789000,-2.837991,0.745601
3640.936000,1.005564,-1.428896,1.748512,-2.394383,-1.525780,-0.005660,-0.200691,-0.529754,0.359997,-0.788818,-2.838191,0.745512,0.023559,-0.464694,-0.016618,0.488357,-0.048872,0.036552,1.005538,-1.429332,1.748461,-2.394009,-1.525895,-0.005555,-0.200649,-0.529642,0.360218,-0.789007,-2.837985,0.745604
3641.096000,1.009564,-1.500916,1.740489,-2.314967,-1.527205,-0.002446,-0.187201,-0.512071,0.393450,-0.788728,-2.837903,0.746205,0.027407,-0.429348,-0.082055,0.506981,-0.053665,0.039500,1.009575,-1.501034,1.740311,-2.314282,-1.527358,-0.002313,-0.187189,-0.512039,0.393519,-0.789013,-2.837978,0.745606
3641.256000,1.013959,-1.566983,1.722589,-2.230943,-1.528737,0.001091,-0.173754,-0.494493,0.426739,-0.788803,-2.838102,0.746031,0.030168,-0.396240,-0.143466,0.532675,-0.032381,0.018839,1.013988,-1.567148,1.722481,-2.230468,-1.529013,0.001208,-0.173729,-0.494436,0.426819,-0.789019,-2.837972,0.745609
3641.416000,1.018833,-1.626843,1.695313,-2.144036,-1.530570,0.004977,-0.160254,-0.476866,0.460037,-0.788793,-2.838101,0.746206,0.033262,-0.348290,-0.200683,0.551969,-0.021596,0.026245,1.018822,-1.626842,1.695085,-2.143510,-1.530897,0.005051,-0.160282,-0.476850,0.460089,-0.789026,-2.837965,0.745612
3641.736000,1.025923,-1.694382,1.644797,-2.025747,-1.533540,0.010554,-0.142630,-0.453803,0.503694,-0.788816,-2.838266,0.745589,0.013192,-0.097791,-0.094544,0.206344,0.015148,0.012943,1.025917,-1.694401,1.644788,-2.025832,-1.533783,0.010687,-0.142647,-0.453788,0.503717,-0.789034,-2.837957,0.745616
3641.896000,1.026785,-1.702620,1.636787,-2.009672,-1.534234,0.011357,-0.140322,-0.450617,0.509630,-0.789032,-2.837845,0.745611,0.001189,-0.007529,-0.006852,0.015004,0.004434,0.047577,1.026939,-1.702448,1.636839,-2.009860,-1.534209,0.011499,-0.140291,-0.450706,0.509547,-0.789035,-2.837956,0.745616
