timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5
3403.144000,0.930978,-1.541551,1.986737,-2.189477,-1.490023,-0.580339,-0.188908,-0.449663,0.280185,-0.072818,-3.089876,0.288428,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
3403.240000,0.931014,-1.541587,1.986712,-2.189453,-1.490011,-0.580339,-0.188890,-0.449668,0.280211,-0.072758,-3.089864,0.288485,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
3403.336000,0.930990,-1.542270,1.985754,-2.187749,-1.489867,-0.580458,-0.188882,-0.449657,0.280794,-0.072611,-3.089998,0.288533,0.000000,-0.019712,-0.027330,0.047889,0.006615,-0.018839
3403.528000,0.930055,-1.557186,1.966641,-2.153662,-1.489532,-0.581322,-0.188825,-0.448838,0.293062,-0.072941,-3.089999,0.288578,-0.010930,-0.129378,-0.181713,0.316312,0.013830,-0.022171
3403.624000,0.929001,-1.571947,1.945170,-2.117329,-1.489316,-0.582438,-0.188807,-0.447961,0.306216,-0.073108,-3.089910,0.288441,-0.012349,-0.176152,-0.268664,0.441091,-0.032381,-0.014381
3403.720000,0.927708,-1.590006,1.915148,-2.069373,-1.488790,-0.583937,-0.188673,-0.446772,0.323858,-0.073098,-3.089811,0.288815,-0.013384,-0.176906,-0.323453,0.497705,0.043191,-0.013326
3403.816000,0.926438,-1.603532,1.887654,-2.027896,-1.488562,-0.585509,-0.188697,-0.445785,0.338996,-0.072974,-3.089921,0.288235,-0.007747,-0.117503,-0.250870,0.369594,-0.044605,-0.009252
3403.912000,0.925696,-1.612117,1.867644,-1.999299,-1.488131,-0.586456,-0.188633,-0.445143,0.349666,-0.072842,-3.090009,0.288492,-0.007734,-0.069374,-0.168380,0.244430,0.043191,-0.016179
3404.008000,0.925277,-1.616674,1.855992,-1.982935,-1.488191,-0.586912,-0.188607,-0.444753,0.355724,-0.072941,-3.089950,0.288164,-0.006277,-0.027075,-0.077159,0.104550,-0.022818,-0.003140
3404.104000,0.925193,-1.617537,1.853118,-1.979093,-1.488095,-0.587152,-0.188625,-0.444719,0.357120,-0.072728,-3.090058,0.288107,-0.000537,0.002429,0.003822,-0.012943,-0.006495,-0.001630
3404.200000,0.925181,-1.617513,1.853130,-1.979117,-1.488024,-0.587308,-0.188629,-0.444725,0.357106,-0.072498,-3.090109,0.288156,0.000000,0.000422,0.000358,-0.000671,-0.000791,-0.003308
3404.296000,0.925133,-1.617549,1.853106,-1.979129,-1.487999,-0.587332,-0.188645,-0.444713,0.357136,-0.072527,-3.090070,0.288262,-0.000396,-0.001112,0.000179,-0.000336,-0.000360,-0.000719
3404.392000,0.925109,-1.617585,1.853118,-1.979117,-1.487999,-0.587380,-0.188649,-0.444699,0.357146,-0.072488,-3.090055,0.288275,-0.000345,-0.001291,0.000128,-0.000216,-0.000216,-0.000503
3404.488000,0.925109,-1.617657,1.853095,-1.979153,-1.487999,-0.587380,-0.188641,-0.444689,0.357195,-0.072478,-3.089964,0.288433,-0.000281,-0.002186,0.000089,-0.000168,-0.000168,-0.000288
3404.584000,0.925109,-1.617681,1.853118,-1.979105,-1.488011,-0.587368,-0.188634,-0.444677,0.357190,-0.072502,-3.089989,0.288365,-0.000192,-0.000332,0.000077,-0.000120,-0.000120,-0.000192
3404.680000,0.925049,-1.617681,1.853167,-1.979129,-1.488011,-0.587332,-0.188657,-0.444661,0.357169,-0.072652,-3.090000,0.288334,-0.000192,-0.000179,0.000064,-0.000096,-0.000096,-0.000144
