timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5
4548.200000,0.879887,-1.457802,1.979311,-2.261736,-1.481617,-0.630527,-0.224567,-0.456316,0.250806,-0.072749,-3.089973,0.288435,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
4548.296000,0.879875,-1.457766,1.979324,-2.261761,-1.481653,-0.630527,-0.224578,-0.456315,0.250785,-0.072774,-3.089963,0.288370,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
4548.392000,0.880007,-1.458953,1.978916,-2.260152,-1.481629,-0.630275,-0.224396,-0.456198,0.251382,-0.072971,-3.090014,0.288385,0.007785,-0.031587,-0.014803,0.034946,0.000000,0.017233
4548.584000,0.884606,-1.479755,1.968917,-2.229322,-1.482168,-0.625897,-0.220493,-0.454905,0.262833,-0.072942,-3.090352,0.287992,0.043706,-0.189536,-0.100514,0.271994,-0.011769,0.041873
4548.680000,0.889732,-1.501420,1.956989,-2.196102,-1.482683,-0.620979,-0.216241,-0.453544,0.275326,-0.072924,-3.090504,0.288128,0.064389,-0.259332,-0.152056,0.399530,-0.005009,0.060137
4548.776000,0.896810,-1.528961,1.939313,-2.151597,-1.483652,-0.614333,-0.210519,-0.451729,0.292127,-0.072687,-3.090391,0.288310,0.083832,-0.313341,-0.220740,0.525844,-0.052563,0.080558
4548.872000,0.905576,-1.560137,1.914957,-2.097079,-1.484874,-0.605936,-0.203578,-0.449521,0.312761,-0.072654,-3.090165,0.288718,0.088408,-0.303473,-0.257274,0.550795,0.002828,0.087149
4548.968000,0.913073,-1.584262,1.892180,-2.050274,-1.485844,-0.598679,-0.197713,-0.447612,0.330130,-0.072810,-3.090577,0.288257,0.068300,-0.216138,-0.219244,0.430881,-0.002804,0.064619
4549.064000,0.918846,-1.601097,1.873691,-2.015386,-1.486838,-0.593006,-0.193314,-0.446186,0.343279,-0.073060,-3.090472,0.288118,0.051491,-0.142315,-0.163727,0.303129,-0.057261,0.046858
4549.160000,0.922762,-1.611842,1.860710,-1.992192,-1.487509,-0.589371,-0.190349,-0.445209,0.352154,-0.072878,-3.090232,0.288311,0.031677,-0.084113,-0.104387,0.186522,-0.018504,0.025023
4549.256000,0.924762,-1.617093,1.853897,-1.980522,-1.487796,-0.587452,-0.188849,-0.444724,0.356687,-0.072867,-3.090068,0.288620,0.008181,-0.024301,-0.034770,0.065050,0.030080,0.005177
4549.352000,0.924893,-1.617478,1.853130,-1.979141,-1.488059,-0.587344,-0.188766,-0.444678,0.357092,-0.072891,-3.090053,0.288095,0.000741,0.004704,0.001189,-0.001630,-0.002613,0.000000
4549.448000,0.924917,-1.617478,1.853167,-1.979153,-1.488095,-0.587332,-0.188754,-0.444677,0.357075,-0.072879,-3.090047,0.288033,0.000256,0.000358,0.000294,-0.000839,-0.000551,0.000000
4549.544000,0.924905,-1.617549,1.853155,-1.979129,-1.488047,-0.587356,-0.188745,-0.444662,0.357112,-0.072850,-3.090038,0.288149,0.000153,-0.000051,0.000166,-0.000360,-0.000288,0.000000
4549.640000,0.924917,-1.617597,1.853155,-1.979153,-1.488095,-0.587296,-0.188736,-0.444653,0.357137,-0.072924,-3.089958,0.288192,0.000102,-0.000396,0.000115,-0.000240,-0.000192,0.000000
4549.736000,0.924905,-1.617669,1.853155,-1.979165,-1.488071,-0.587224,-0.188729,-0.444637,0.357173,-0.073045,-3.089919,0.288319,-0.000064,-0.001214,0.000089,-0.000168,-0.000144,0.000024
