timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5
4537.216000,0.925025,-1.617645,1.853155,-1.979177,-1.488011,-0.587140,-0.188676,-0.444669,0.357163,-0.072983,-3.089991,0.288370,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
4537.312000,0.924869,-1.617165,1.853849,-1.980438,-1.487975,-0.587416,-0.188803,-0.444722,0.356734,-0.072776,-3.089927,0.288496,-0.006251,0.015020,0.022882,-0.041346,0.000000,-0.018504
4537.408000,0.923504,-1.613508,1.858866,-1.989274,-1.487844,-0.588543,-0.189844,-0.445069,0.353520,-0.073032,-3.089704,0.288751,-0.025988,0.066805,0.089636,-0.138490,0.002205,-0.013926
4537.504000,0.919899,-1.603904,1.870553,-2.010320,-1.487388,-0.592046,-0.192574,-0.445954,0.345578,-0.072958,-3.089628,0.288695,-0.048614,0.127883,0.155201,-0.266745,0.006927,-0.048608
4537.600000,0.914403,-1.588195,1.888097,-2.042806,-1.486634,-0.597408,-0.196754,-0.447285,0.333156,-0.072838,-3.089831,0.288213,-0.068748,0.197845,0.206589,-0.397445,-0.005681,-0.064355
4537.696000,0.907085,-1.565544,1.910095,-2.087211,-1.485580,-0.604365,-0.202407,-0.449089,0.316598,-0.072888,-3.089614,0.288577,-0.083091,0.277293,0.249732,-0.511175,0.021596,-0.081780
4537.792000,0.898283,-1.534872,1.934608,-2.141444,-1.484598,-0.612594,-0.209404,-0.451334,0.296092,-0.073258,-3.089628,0.287995,-0.086184,0.325677,0.240682,-0.552736,0.008629,-0.083914
4537.888000,0.891145,-1.506359,1.953708,-2.188661,-1.483365,-0.619683,-0.215253,-0.453319,0.278444,-0.072820,-3.089680,0.288426,-0.066153,0.274442,0.161988,-0.439462,0.031614,-0.066033
4537.984000,0.885648,-1.483411,1.966749,-2.224090,-1.482575,-0.624925,-0.219772,-0.454771,0.265049,-0.072875,-3.089801,0.288323,-0.046390,0.206896,0.108235,-0.318301,0.064763,-0.047314
4538.080000,0.882031,-1.467465,1.974952,-2.247924,-1.482012,-0.628392,-0.222764,-0.455722,0.256051,-0.072875,-3.089874,0.288372,-0.029491,0.129583,0.061666,-0.192922,0.012655,-0.024759
4538.176000,0.880115,-1.458977,1.978845,-2.260104,-1.481797,-0.630119,-0.224365,-0.456223,0.251420,-0.073062,-3.089884,0.288279,-0.011390,0.048154,0.019839,-0.073919,0.030799,-0.008341
4538.272000,0.879923,-1.457814,1.979288,-2.261664,-1.481725,-0.630310,-0.224558,-0.456319,0.250814,-0.073045,-3.089939,0.288293,0.000268,-0.003221,-0.001061,0.002684,-0.001582,0.002109
4538.368000,0.879911,-1.457814,1.979264,-2.261545,-1.481736,-0.630310,-0.224563,-0.456314,0.250812,-0.073073,-3.089998,0.288169,0.000268,-0.000499,-0.000000,0.000000,-0.000575,0.000623
4538.464000,0.879935,-1.457826,1.979252,-2.261628,-1.481713,-0.630419,-0.224555,-0.456326,0.250832,-0.072857,-3.089934,0.288315,0.000166,0.000000,-0.000000,0.000000,-0.000288,-0.002253
4538.560000,0.879947,-1.457790,1.979288,-2.261593,-1.481653,-0.630443,-0.224542,-0.456327,0.250795,-0.072803,-3.090055,0.288251,0.000115,0.000000,-0.000000,0.000000,0.000072,-0.000503
4538.656000,0.879911,-1.457790,1.979252,-2.261605,-1.481701,-0.630419,-0.224568,-0.456324,0.250812,-0.072897,-3.089983,0.288257,0.000089,0.000000,0.000026,0.000000,0.000072,-0.000288
