timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5
5735.792000,0.981349,-1.363474,1.990198,-2.812218,-1.341074,-0.388970,-0.185928,-0.511127,0.263844,-0.173705,-2.887982,0.964920,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
5735.888000,0.981313,-1.364457,1.990868,-2.811655,-1.341027,-0.389054,-0.185755,-0.510839,0.263999,-0.173675,-2.888196,0.964661,-0.003618,-0.037608,0.021195,0.031542,0.000000,-0.004314
5735.984000,0.980474,-1.372658,1.995539,-2.807820,-1.340691,-0.389630,-0.184715,-0.508527,0.265787,-0.173982,-2.888234,0.964360,-0.016772,-0.147735,0.083180,0.075405,0.067711,-0.025910
5736.080000,0.978438,-1.393817,2.006844,-2.797680,-1.339554,-0.391129,-0.182001,-0.502710,0.270589,-0.174339,-2.888115,0.964398,-0.029900,-0.278660,0.151429,0.129526,0.051964,-0.033700
5736.176000,0.975025,-1.427349,2.024089,-2.780958,-1.337362,-0.394200,-0.177728,-0.493514,0.278087,-0.173992,-2.887949,0.964684,-0.042478,-0.414980,0.207867,0.218185,0.020948,-0.037918
5736.272000,0.970175,-1.474011,2.046161,-2.755510,-1.334261,-0.398314,-0.171813,-0.480888,0.288434,-0.173943,-2.887949,0.964864,-0.056118,-0.551389,0.250384,0.301571,0.041034,-0.053162
5736.368000,0.963624,-1.533505,2.071574,-2.720169,-1.330262,-0.404048,-0.164346,-0.464942,0.301374,-0.173740,-2.887871,0.964832,-0.079984,-0.685856,0.276487,0.425512,0.052755,-0.067807
5736.464000,0.955767,-1.599934,2.095947,-2.676864,-1.325388,-0.410897,-0.156117,-0.447396,0.315728,-0.173464,-2.887585,0.965205,-0.084139,-0.697552,0.232283,0.479800,0.056398,-0.076340
5736.560000,0.947037,-1.666811,2.116583,-2.628772,-1.320012,-0.418333,-0.147947,-0.429871,0.329931,-0.173569,-2.887666,0.965184,-0.095784,-0.697552,0.193588,0.514507,0.063373,-0.079024
5736.656000,0.937349,-1.734160,2.133362,-2.576116,-1.314144,-0.426503,-0.139783,-0.412320,0.344119,-0.173884,-2.887721,0.965146,-0.103914,-0.703599,0.152503,0.564361,0.066704,-0.095083
5736.752000,0.926702,-1.801621,2.145879,-2.519088,-1.307535,-0.435834,-0.131579,-0.394812,0.358414,-0.173622,-2.887601,0.965530,-0.118180,-0.703011,0.110792,0.617739,0.069413,-0.103496
5736.848000,0.914881,-1.868043,2.154370,-2.457687,-1.300458,-0.446341,-0.123473,-0.377453,0.372321,-0.173561,-2.888288,0.964621,-0.135297,-0.690023,0.065450,0.664405,0.076220,-0.113131
5736.944000,0.901229,-1.934852,2.158598,-2.392103,-1.292568,-0.458012,-0.115303,-0.359809,0.386603,-0.174037,-2.888086,0.964625,-0.151161,-0.690164,0.019545,0.702419,0.092854,-0.126673
5737.040000,0.886151,-2.000213,2.158131,-2.322850,-1.283575,-0.471591,-0.107048,-0.342302,0.400945,-0.173500,-2.887936,0.964889,-0.168917,-0.678109,-0.023112,0.736095,0.097120,-0.152679
5737.136000,0.868558,-2.063814,2.153448,-2.250264,-1.273385,-0.486897,-0.098912,-0.324783,0.415143,-0.173878,-2.887911,0.964981,-0.191837,-0.655892,-0.069796,0.778975,0.111262,-0.171398
5737.232000,0.848486,-2.125318,2.144382,-2.174150,-1.261951,-0.505009,-0.090711,-0.307300,0.429242,-0.173658,-2.888141,0.964540,-0.229688,-0.636155,-0.118295,0.810014,0.129597,-0.203588
