timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5
3135.880000,0.925145,-1.617753,1.853155,-1.979141,-1.488119,-0.587320,-0.188611,-0.444661,0.357209,-0.072528,-3.089867,0.288350,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
3135.976000,0.925121,-1.617249,1.854040,-1.980690,-1.488071,-0.587320,-0.188675,-0.444736,0.356707,-0.072534,-3.089794,0.288592,0.000000,0.016017,0.029043,-0.048824,0.000000,0.000000
3136.072000,0.924714,-1.614024,1.860363,-1.990439,-1.487999,-0.587728,-0.189134,-0.445050,0.353156,-0.072424,-3.089662,0.288902,-0.008756,0.058790,0.109386,-0.170176,0.001366,-0.009947
3136.168000,0.923624,-1.605558,1.874840,-2.013153,-1.487952,-0.588507,-0.190367,-0.445871,0.344577,-0.072716,-3.089743,0.288675,-0.012643,0.115790,0.189101,-0.300445,0.000455,-0.027779
3136.264000,0.921984,-1.591936,1.896120,-2.048137,-1.487868,-0.589551,-0.192216,-0.447092,0.331628,-0.073323,-3.089591,0.288870,-0.021361,0.175398,0.259422,-0.422803,0.001366,-0.008629
3136.360000,0.919839,-1.571743,1.923698,-2.095782,-1.487712,-0.591758,-0.194649,-0.448703,0.313988,-0.072816,-3.089557,0.288876,-0.025196,0.248569,0.308701,-0.555349,0.001222,-0.023873
3136.456000,0.917121,-1.543325,1.955708,-2.155583,-1.487532,-0.594337,-0.197736,-0.450721,0.291794,-0.072571,-3.089849,0.288332,-0.028762,0.336875,0.339355,-0.676414,0.002493,-0.026365
3136.552000,0.914522,-1.512235,1.984341,-2.215197,-1.487425,-0.596628,-0.200768,-0.452725,0.270069,-0.072577,-3.089770,0.288376,-0.024556,0.301836,0.254002,-0.557986,0.002972,-0.019462
3136.648000,0.912510,-1.485486,2.004892,-2.262072,-1.487329,-0.598380,-0.203142,-0.454296,0.252910,-0.072649,-3.089969,0.288035,-0.018957,0.247482,0.176638,-0.429227,0.001989,-0.025383
3136.744000,0.911109,-1.464768,2.018664,-2.296740,-1.487257,-0.599567,-0.204876,-0.455488,0.240477,-0.072706,-3.089793,0.288385,-0.011198,0.181189,0.114665,-0.302362,0.000599,-0.018504
3136.840000,0.910187,-1.450776,2.027048,-2.318855,-1.487257,-0.600299,-0.206003,-0.456243,0.232377,-0.072864,-3.089911,0.288121,-0.003733,0.103288,0.060477,-0.174203,0.000551,-0.005177
3136.936000,0.909923,-1.444685,2.030568,-2.328370,-1.487197,-0.600622,-0.206411,-0.456583,0.228903,-0.072706,-3.090010,0.288091,-0.001202,0.023457,0.011364,-0.030056,0.000431,-0.001774
3137.032000,0.909923,-1.444578,2.030640,-2.328550,-1.487245,-0.600803,-0.206418,-0.456586,0.228838,-0.072432,-3.089967,0.288038,-0.000345,-0.001176,-0.000601,0.001031,0.000407,-0.002517
3137.128000,0.909935,-1.444566,2.030580,-2.328586,-1.487233,-0.600838,-0.206425,-0.456605,0.228863,-0.072349,-3.089916,0.288150,-0.000179,0.000000,-0.000230,0.000407,0.000240,-0.000791
3137.224000,0.909840,-1.444554,2.030616,-2.328550,-1.487209,-0.600922,-0.206460,-0.456578,0.228837,-0.072371,-3.089976,0.288066,-0.000895,0.000000,-0.000141,0.000240,0.000168,-0.000743
3137.320000,0.909863,-1.444626,2.030628,-2.328562,-1.487245,-0.600971,-0.206444,-0.456571,0.228868,-0.072259,-3.089899,0.288116,-0.000268,-0.000166,-0.000102,0.000168,0.000144,-0.000551
