timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5
3283.840000,0.909756,-1.444506,2.030688,-2.328646,-1.487113,-0.600875,-0.206488,-0.456560,0.228794,-0.072564,-3.090054,0.288130,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
3283.936000,0.909780,-1.444494,2.030688,-2.328598,-1.487137,-0.600863,-0.206478,-0.456562,0.228783,-0.072554,-3.090082,0.288037,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
3284.032000,0.909780,-1.445285,2.030304,-2.327482,-1.487185,-0.600863,-0.206436,-0.456500,0.229214,-0.072562,-3.090002,0.288055,0.000000,-0.026998,-0.012834,0.044557,0.000000,0.000000
3284.224000,0.911073,-1.465115,2.018652,-2.295636,-1.487197,-0.599927,-0.204815,-0.455388,0.240533,-0.072264,-3.090332,0.287536,0.012361,-0.185190,-0.117644,0.293086,0.000000,0.007790
3284.320000,0.912486,-1.486133,2.004508,-2.260740,-1.487257,-0.598667,-0.203093,-0.454221,0.253251,-0.072266,-3.090210,0.287728,0.017871,-0.251816,-0.179757,0.422108,0.000000,0.022890
3284.416000,0.914546,-1.512930,1.983982,-2.213589,-1.487317,-0.596748,-0.200665,-0.452621,0.270395,-0.072397,-3.090227,0.287809,0.024390,-0.304380,-0.253120,0.557818,-0.002085,0.015100
3284.512000,0.917217,-1.544153,1.955133,-2.154083,-1.487400,-0.594277,-0.197602,-0.450636,0.292298,-0.072521,-3.090023,0.288343,0.031178,-0.335136,-0.348290,0.683748,-0.000575,0.025574
3284.608000,0.919923,-1.572307,1.923219,-2.094102,-1.487544,-0.591866,-0.194517,-0.448616,0.314304,-0.072563,-3.090123,0.288266,0.024544,-0.248479,-0.311897,0.560646,-0.003427,0.026557
3284.704000,0.922008,-1.592548,1.895772,-2.046840,-1.487628,-0.589994,-0.192089,-0.446973,0.331946,-0.072610,-3.089976,0.288675,0.019379,-0.168981,-0.253887,0.429634,-0.002253,0.025910
3284.800000,0.923588,-1.605834,1.874493,-2.012133,-1.487748,-0.588735,-0.190324,-0.445812,0.344767,-0.072436,-3.090148,0.288379,0.013077,-0.109974,-0.187389,0.301212,0.037798,0.020733
3284.896000,0.924534,-1.614108,1.860183,-1.989790,-1.487999,-0.587860,-0.189193,-0.444988,0.353214,-0.072531,-3.089897,0.288425,0.006392,-0.062829,-0.108785,0.177127,-0.054600,0.012631
3284.992000,0.924941,-1.617513,1.853418,-1.979693,-1.487940,-0.587548,-0.188725,-0.444678,0.357028,-0.072460,-3.089929,0.288567,0.003643,-0.015378,-0.027394,0.039188,0.032381,0.002996
3285.088000,0.924953,-1.617502,1.853142,-1.979189,-1.488047,-0.587380,-0.188735,-0.444686,0.357103,-0.072736,-3.090026,0.288180,0.000511,0.001227,0.000665,-0.001222,0.001750,0.001318
3285.184000,0.924965,-1.617490,1.853155,-1.979189,-1.488071,-0.587224,-0.188732,-0.444688,0.357091,-0.072964,-3.090035,0.288134,0.000217,0.000486,0.000243,-0.000431,0.000479,0.001007
3285.280000,0.925037,-1.617537,1.853155,-1.979153,-1.488047,-0.587140,-0.188690,-0.444691,0.357109,-0.072979,-3.090058,0.288176,0.000741,0.000000,0.000141,-0.000264,0.000264,0.000719
3285.376000,0.925061,-1.617549,1.853155,-1.979153,-1.488071,-0.587128,-0.188679,-0.444692,0.357115,-0.072963,-3.090036,0.288169,0.000371,-0.000371,0.000102,-0.000168,0.000192,0.000719
