timestamp,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5
3392.160000,0.925061,-1.617717,1.853142,-1.979129,-1.487987,-0.587248,-0.188646,-0.444660,0.357198,-0.072756,-3.089982,0.288433,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000
3392.256000,0.925049,-1.617490,1.854040,-1.980378,-1.488024,-0.587188,-0.188654,-0.444657,0.356786,-0.072851,-3.089875,0.288553,0.000000,0.006698,0.029069,-0.034395,0.000000,0.000000
3392.352000,0.925253,-1.615151,1.860375,-1.989214,-1.488119,-0.586936,-0.188676,-0.444843,0.353547,-0.072851,-3.089756,0.288701,0.006225,0.043770,0.111316,-0.142397,-0.001198,0.002493
3392.448000,0.925948,-1.608688,1.875858,-2.011161,-1.488275,-0.586288,-0.188693,-0.445415,0.345337,-0.072614,-3.089829,0.288670,0.012042,0.090236,0.205515,-0.294668,-0.006543,0.013566
3392.544000,0.926977,-1.597860,1.899269,-2.045639,-1.488539,-0.585401,-0.188726,-0.446273,0.332631,-0.072125,-3.089750,0.288891,0.010508,0.140040,0.285435,-0.415829,-0.012104,0.024999
3392.640000,0.928271,-1.581145,1.929806,-2.092805,-1.488945,-0.583853,-0.188833,-0.447438,0.315204,-0.072195,-3.089907,0.288670,0.017423,0.191428,0.320449,-0.516256,-0.010786,0.032357
3392.736000,0.929540,-1.564609,1.956163,-2.135814,-1.489460,-0.582258,-0.188823,-0.448413,0.299559,-0.072414,-3.089839,0.288586,0.012106,0.156453,0.229586,-0.392531,-0.014381,0.020781
3392.832000,0.930295,-1.551683,1.974079,-2.166457,-1.489735,-0.581238,-0.188884,-0.449097,0.288369,-0.072639,-3.090029,0.288271,0.003132,0.108210,0.143772,-0.256127,0.045660,0.017833
3392.928000,0.930738,-1.543733,1.984054,-2.184484,-1.489843,-0.580818,-0.188939,-0.449532,0.281921,-0.072472,-3.090023,0.288396,0.002352,0.054635,0.066958,-0.121592,-0.049351,-0.018504
3393.024000,0.930858,-1.541551,1.986701,-2.189502,-1.489927,-0.580591,-0.188962,-0.449653,0.280205,-0.072597,-3.089877,0.288578,0.000537,0.001087,-0.005356,0.000839,0.025910,-0.011361
3393.120000,0.930858,-1.541659,1.986712,-2.189442,-1.489951,-0.580555,-0.188947,-0.449630,0.280244,-0.072653,-3.089836,0.288600,0.000243,0.000383,-0.000371,0.000719,-0.000839,-0.000815
3393.216000,0.930930,-1.541599,1.986712,-2.189418,-1.489975,-0.580386,-0.188922,-0.449651,0.280213,-0.072812,-3.089894,0.288485,0.000447,0.000192,-0.000192,0.000336,-0.000360,0.003907
3393.312000,0.930930,-1.541599,1.986749,-2.189453,-1.489987,-0.580326,-0.188919,-0.449645,0.280200,-0.072906,-3.089889,0.288475,0.000294,0.000128,-0.000128,0.000216,-0.000240,0.000575
3393.408000,0.930942,-1.541575,1.986712,-2.189490,-1.489999,-0.580326,-0.188924,-0.449659,0.280209,-0.072885,-3.089848,0.288523,0.000166,0.000089,-0.000089,0.000168,-0.000168,0.000288
3393.504000,0.930930,-1.541611,1.986712,-2.189453,-1.489987,-0.580326,-0.188923,-0.449650,0.280223,-0.072902,-3.089856,0.288534,0.000115,0.000077,-0.000077,0.000120,-0.000120,0.000192
3393.600000,0.930954,-1.541563,1.986712,-2.189442,-1.490011,-0.580339,-0.188919,-0.449660,0.280199,-0.072853,-3.089881,0.288439,0.000115,0.000064,-0.000064,0.000096,-0.000096,0.000144
